gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	1.3248672790983961e-238	-11.04057883555913	0	0.837	4.395512171864749e-234	-0.837
NOV	1.5941514293747294e-88	-9.085792958477896	0	0.448	5.288916197236539e-84	-0.448
CYP21A2	9.89739281546981e-81	-8.824121338776607	0	0.417	3.2836580143884193e-76	-0.417
DLK1	1.2116520145093224e-47	-8.132455945753485	0	0.266	4.019897888537579e-43	-0.266
TBX3	6.514390646576209e-50	-8.063126979458966	0	0.278	2.161279384814589e-45	-0.278
CYP17A1	5.486686643591812e-232	-8.04760905257808	0.01	0.842	1.8203180277444555e-227	-0.832
HSD3B2	2.1760034386233247e-88	-7.9842144016121654	0.003	0.462	7.219326608320604e-84	-0.459
STAR	2.260706992327747e-84	-7.899504404432753	0.003	0.446	7.500347588445767e-80	-0.443
RARRES2	6.92652628300928e-77	-7.881312816925209	0.003	0.415	2.298013624913989e-72	-0.412
GML	1.9204433110246154e-200	-7.391916699054431	0.01	0.788	6.371454772986367e-196	-0.778
GSTA1	2.2424559367393135e-46	-6.914039870717465	0.003	0.276	7.43979606132002e-42	-0.273
CYP11A1	1.8808635028380848e-81	-6.691450185101449	0.005	0.443	6.240140843365914e-77	-0.438
IGHA1	6.641338563251399e-52	6.616077023254413	0.203	0.003	2.203396895129917e-47	0.2
ADGRG1	6.432617751548916e-45	-6.561008894547337	0.005	0.276	2.134149591431384e-40	-0.271
AL117190.1	9.437795136136858e-64	-6.415674360471556	0.008	0.372	3.1311772923161253e-59	-0.364
DCN	8.76771983228938e-55	-6.409422651780206	0.008	0.33	2.9088664087586472e-50	-0.322
IGHG1	5.777901825518885e-51	6.21629514287685	0.216	0.006	1.9169344886524006e-46	0.21
CLU	1.408622414295858e-61	-5.834519149115055	0.01	0.371	4.6733865839093684e-57	-0.361
WHRN	7.419184797865592e-45	-5.830533684586047	0.008	0.283	2.461462940387867e-40	-0.27499999999999997
SCN9A	5.4961500916314685e-127	5.777478926473924	0.506	0.021	1.8234577159005723e-122	0.485
RALYL	1.7899671051858582e-139	-5.7223036873337625	0.028	0.675	5.938573864875122e-135	-0.647
LONRF2	8.208412826988686e-33	-5.655581331403246	0.01	0.219	2.723305123610036e-28	-0.209
BLK	3.9522166539859183e-51	5.625065512934146	0.201	0.003	1.311226919292908e-46	0.198
MEG3	1.3991177653093288e-169	-5.5510250125443825	0.028	0.751	4.64185300996676e-165	-0.723
IGHG3	5.50158301418521e-44	5.512781454836203	0.213	0.014	1.825260196616227e-39	0.19899999999999998
HSPA1B	3.3999530421980582e-46	-5.511611313859768	0.01	0.298	1.1280024208100497e-41	-0.288
CDH2	3.1109871267168353e-31	-5.394720403025941	0.008	0.211	1.0321321990308445e-26	-0.20299999999999999
LINC00290	3.653766450805767e-36	-5.338534599957258	0.008	0.239	1.2122100953838293e-31	-0.23099999999999998
KCNQ3	2.193787169343459e-135	-5.181485139817269	0.085	0.72	7.278327691730795e-131	-0.635
IGKC	1.7910764161251196e-120	5.169548932706441	0.53	0.033	5.94225422577831e-116	0.497
AL117190.2	7.658297933877928e-54	-5.028985021892399	0.01	0.339	2.54079350552268e-49	-0.329
RIMS2	8.704060820559537e-116	-4.991910506633735	0.039	0.629	2.8877462584370376e-111	-0.59
SPON2	3.7064048679846314e-41	-4.877432076825362	0.09	0.29	1.2296739430512612e-36	-0.19999999999999998
VCAM1	5.531618527814739e-63	4.87742625078809	0.324	0.029	1.835225078973096e-58	0.295
RGN	1.3440510577499728e-51	-4.842814204625111	0.005	0.31	4.459158194297085e-47	-0.305
HS3ST2	2.5001991036846918e-77	4.738526661889233	0.414	0.04	8.294910566294702e-73	0.374
MT2A	1.2910241104977781e-76	-4.720363970784752	0.021	0.465	4.283230691398478e-72	-0.444
MEG8	7.120037834416002e-57	-4.664695299506919	0.023	0.381	2.3622149523241973e-52	-0.358
KCNK3	4.2031717708114747e-45	-4.630594502061774	0.021	0.317	1.394486298402123e-40	-0.296
CD36	4.0906646030274964e-75	4.549919488424848	0.404	0.041	1.3571597953464325e-70	0.36300000000000004
AOX1	4.126913261527703e-59	-4.503127356588576	0.018	0.383	1.369186012777046e-54	-0.365
HSPA1A	3.62618323102519e-46	-4.501977766221208	0.054	0.367	1.2030588105572274e-41	-0.313
LINC01807	1.2366463165502155e-47	-4.465959950114944	0.01	0.308	4.10282148441865e-43	-0.298
C3	1.066312645079599e-74	-4.345579981027665	0.051	0.511	3.5377054625805854e-70	-0.46
AC010127.1	3.794976975197167e-55	4.344325380870212	0.29	0.023	1.259059511061164e-50	0.26699999999999996
GSTA4	1.0175255536750357e-51	-4.343987696207333	0.026	0.362	3.375844529427666e-47	-0.33599999999999997
MEIS1	2.1315953774100787e-69	-4.278611462992063	0.023	0.441	7.0719939836334185e-65	-0.418
SLIT2	9.556497896885733e-87	-4.252084300401982	0.057	0.56	3.17055930724978e-82	-0.503
IGLC2	1.6088494965233249e-37	4.209198722493209	0.203	0.015	5.337679974615435e-33	0.188
SORBS2	1.4030046330152683e-154	-4.1659523260553835	0.1	0.777	4.654748470954756e-150	-0.677
JAG1	1.1041606425788003e-89	4.112296044983153	0.452	0.038	3.663273763883686e-85	0.41400000000000003
DHCR24	1.0873995955752873e-99	-4.0652789812942185	0.031	0.567	3.6076656382401307e-95	-0.5359999999999999
CADM1	1.0559674280673009e-29	-4.061805592989077	0.057	0.284	3.503383136098884e-25	-0.22699999999999998
HSPE1	3.507524466166124e-31	-3.9965679627959254	0.028	0.256	1.1636913921399351e-26	-0.228
CTNNAL1	8.295337449040786e-32	-3.9694221994873335	0.026	0.256	2.7521441054682614e-27	-0.23
FDXR	6.816992772736023e-27	-3.8976811809106353	0.015	0.211	2.2616736922106303e-22	-0.196
PGM5	5.334271439286628e-57	-3.8652458308194304	0.046	0.426	1.7697512354121244e-52	-0.38
CCDC141	2.013216787635786e-60	3.856074336720461	0.368	0.053	6.679249336339248e-56	0.315
MAPK4	4.2882255174614345e-36	-3.8457803311322847	0.023	0.278	1.42270457992818e-31	-0.255
SULT2A1	9.934660685462163e-30	-3.830223723397624	0.026	0.247	3.2960223756157816e-25	-0.221
SEMA3B	2.4001376409935064e-30	-3.8178984142504904	0.013	0.225	7.962936651524156e-26	-0.212
IKZF3	2.272736591985599e-40	3.7581171681548255	0.231	0.02	7.540258191230622e-36	0.21100000000000002
MEIS2	1.6932882529848047e-50	-3.7102607480807106	0.044	0.391	5.6178224369276865e-46	-0.34700000000000003
NR1H4	9.1703606889234e-29	-3.7001718917883193	0.021	0.234	3.0424505657641164e-24	-0.21300000000000002
