gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	2.8548622886522353e-58	-8.839210507413668	0	0.801	9.471576615061521e-54	-0.801
GML	5.138517151346861e-50	-7.6029486873968875	0.011	0.761	1.704805835302348e-45	-0.75
CYP17A1	1.6812323097646957e-56	-7.205953521255055	0.011	0.811	5.577824434106331e-52	-0.8
NOV	1.5440038410174093e-22	-6.937034608270248	0	0.436	5.122541543343459e-18	-0.436
HSD3B2	1.8108374774510506e-22	-6.914272488632475	0	0.435	6.007815498939351e-18	-0.435
STAR	1.8108374774508428e-22	-6.9064724732594405	0	0.435	6.0078154989386615e-18	-0.435
CYP21A2	1.0398016425465144e-20	-6.656244809168792	0	0.407	3.449749909476571e-16	-0.407
IGHA1	6.821783318651241e-18	6.614849373081071	0.211	0.003	2.263263051628922e-13	0.208
AL117190.1	2.8594257541102813e-18	-6.437070367679943	0	0.366	9.48671682441168e-14	-0.366
CLU	4.348301099114666e-16	-6.346392442901152	0	0.327	1.4426358556532729e-11	-0.327
RALYL	8.607339830485593e-38	-6.340706483688281	0.011	0.666	2.855657135560205e-33	-0.655
AL117190.2	1.4571264440972472e-16	-6.244002084193884	0	0.336	4.834308403581437e-12	-0.336
MEG3	3.119308416803315e-45	-6.006601754282745	0.022	0.745	1.0348929534428357e-40	-0.723
IGHG3	7.359721795107582e-18	5.99137948739624	0.244	0.014	2.441734899962842e-13	0.22999999999999998
RGN	2.0960293569119017e-13	-5.987820429429709	0	0.277	6.953996597426617e-9	-0.277
LINC00290	3.308237170726486e-12	-5.969324466913599	0	0.253	1.0975738461319263e-7	-0.253
GSTA1	1.5711903220642765e-12	-5.948550444731366	0	0.259	5.2127381315126505e-8	-0.259
TBX3	2.380233520072637e-13	-5.948165590229348	0	0.276	7.896900749544988e-9	-0.276
ADGRG1	2.3405510939843397e-14	-5.9434388129272016	0.011	0.335	7.765246364511844e-10	-0.324
DLK1	2.0760744281364336e-11	-5.856676761659071	0	0.237	6.887792130228245e-7	-0.237
IGHG1	2.7866467068519803e-22	5.851429157462225	0.289	0.009	9.245257779322815e-18	0.27999999999999997
RARRES2	8.280037706420894e-18	-5.768676297899575	0.011	0.402	2.74706810985926e-13	-0.391
SEMA3B	1.1177247763512084e-10	-5.676369723857553	0	0.222	3.708275490500404e-6	-0.222
SCN9A	1.7355834801847268e-18	5.621126217638257	0.256	0.011	5.758145312208869e-14	0.245
HSPA1B	7.99766733108285e-12	-5.6119219422943445	0.011	0.287	2.6533860904333574e-7	-0.27599999999999997
SIGLEC8	1.7066914503074154e-12	-5.539655971436082	0.011	0.305	5.662290224684912e-8	-0.294
DCN	4.1137815892261264e-13	-5.526334072678941	0.011	0.312	1.364829317857552e-8	-0.301
IGKC	1.314810222512906e-45	5.299290670519788	0.611	0.031	4.3621458752310683e-41	0.58
KCNQ3	2.0003438435794753e-47	-5.191274787821469	0.078	0.809	6.6365407698436255e-43	-0.7310000000000001
GSTA4	4.015468429396712e-13	-5.11715650364683	0.011	0.318	1.3322119608209472e-8	-0.307
PGM5	1.0107429093180589e-19	-5.0665557674473085	0.022	0.46	3.353341750244524e-15	-0.438
CYP11A1	1.4300599062369963e-19	-4.910981467563656	0.011	0.437	4.7445097509224824e-15	-0.426
DHCR24	7.060888284099984e-23	-4.784409051188465	0.044	0.527	2.3425909060158516e-18	-0.48300000000000004
AOX1	2.4994096478848576e-14	-4.7755873817911265	0.022	0.36	8.292291388787592e-10	-0.33799999999999997
SPON2	3.5304394062147835e-13	-4.754223138682322	0.1	0.324	1.1712938817998787e-8	-0.224
PBX1	2.271952195366509e-27	-4.737335396089049	0.044	0.594	7.537655798567467e-23	-0.5499999999999999
WHRN	2.91926968884678e-11	-4.712765510527911	0.011	0.284	9.68526104668696e-7	-0.27299999999999996
IGHM	1.4474236370772333e-17	4.686888526344127	0.211	0.004	4.802117400731136e-13	0.207
BLK	1.1755243837523579e-16	4.612820913906099	0.211	0.005	3.900037247975198e-12	0.206
MAPK4	2.6837518933870886e-9	-4.603935238348845	0.011	0.242	8.903883656690343e-5	-0.23099999999999998
HS3ST2	1.3670581827936979e-19	4.572426836344399	0.344	0.029	4.535488933054652e-15	0.31499999999999995
FDXR	7.251853080327785e-8	-4.553461830568862	0.011	0.208	0.002405947296460349	-0.19699999999999998
