pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
Ion Channel Complex (300g)	1.8734642528971792	0.3801493299234887	-0.4868416399008056	-0.5517312073826071	-0.7892262813026977	-0.4258144542345598
Transmembrane Transporter Complex (323g)	1.9130013281750893	0.2810877577114889	-0.5250370316350373	-0.38753083295364477	-0.7256818667299988	-0.5558393545678991
Transporter Complex (331g)	1.9181745059618418	0.2674345008830905	-0.5071857199010774	-0.3964890297123524	-0.7214864658267399	-0.5604477914047651
Postsynaptic Membrane (284g)	1.8291802717392438	-0.05072330215895116	-1.0037367161552677	-0.11207633899239342	-0.7851554621003424	0.12251154766770923
Neurotransmitter Receptor Complex (54g)	1.8392536663671295	0.4733342494766697	-0.5996491263826734	-0.753258071148261	-0.5328983555150474	-0.42678236279781473
Ionotropic Glutamate Receptor Complex (52g)	1.837278640302708	0.4759615142707807	-0.6042678505432024	-0.7529969135421911	-0.5442424090646424	-0.4117329814234527
Gaba-Ergic Synapse (72g)	1.7601322577333307	-0.17655807573444438	-0.3534305473051869	-0.9544837187556183	0.49336540220640696	-0.7690253181444875
Interstitial Matrix (12g)	1.8337630697772183	-0.7933305656996383	-0.07231998249559175	-0.20782519438563576	-0.9591513130341092	0.19886398583775525
Myosin Complex (66g)	1.8562696689316018	-0.5582981858638728	-1.0052451768936135	0.14321426794554928	0.02339641276920577	-0.4593369868888739
Sodium Channel Complex (26g)	1.9249798295461373	-0.35147088630893814	0.17919672381583024	-0.3137075728344735	-0.6693033936351375	-0.7696947005834184
Ampa Glutamate Receptor Complex (26g)	1.9834092206721217	-0.2845183088227299	0.0060921714226180495	-0.6575192651170758	-0.47802484412651935	-0.569438974028417
Extrinsic Component Of Postsynaptic Membrane (9g)	1.784270641223536	-0.5732892403299398	-0.8912584875029214	-0.6257975529215786	0.510047553875803	-0.20397291434489762
Axonemal Central Apparatus (3g)	1.9663275558343853	0.0034664749069233977	-0.23885477878332728	-0.666170760588962	-0.35094159772012623	-0.7138268936488938
Voltage-Gated Sodium Channel Complex (17g)	1.7925382357974695	-0.5018306866389499	0.2285863369685371	0.08198971237489382	-1.1120450967221858	-0.489238501779764
Distal Portion Of Axoneme (1g)	2.0006733202983975	-0.33121478864768156	-0.31966637784788865	-0.5163391382001318	-0.12390543115641006	-0.7095475844462852
Kainate Selective Glutamate Receptor Complex (5g)	1.8725941234388528	0.05316278503594816	-0.1081641929696861	-0.861657320152365	-0.10413224116345288	-0.8518031541892964
Cell Pole (2g)	2.0070348750879545	-0.3133246250425282	-0.3567139023868061	-0.4269327766751168	-0.18115733072144527	-0.7289062402620587
Asymmetric, Glutamatergic, Excitatory Synapse (6g)	1.7807677712841303	0.023620336324423622	-0.09406824241868927	-0.9083150754499129	0.17900505015268867	-0.9810098398926403
Ca3 Pyramidal Cell Dendrite (3g)	1.8181286395267544	-0.7634687213349401	0.04534391067781177	-0.5337723916482607	0.29318529002345006	-0.8594167272448149
Mutsalpha Complex (2g)	1.827064382935783	-0.9241694183612115	0.18703172051903977	-0.392168186854828	0.08444304120263321	-0.7822015394414166
Pet Complex (3g)	1.799445812568278	-0.6411047327796096	-0.058096993357900126	-0.37720447059390433	0.3254765068206138	-1.0485161226574777
Perineuronal Net (2g)	1.8380775445962219	-0.6934864356421743	-0.16191156477751364	-0.47092397493642457	0.3612185925078126	-0.8729741617479212
Axonemal Central Pair Projection (1g)	2.000458008880605	-0.5386531079177248	-0.16242252797294332	-0.3276009948543704	-0.2599066507290165	-0.71187472740655
Ciliary Base (35g)	1.7765773027825404	-1.0186101261795095	-0.6697877546492889	0.0849335437131394	-0.49606417843615	0.32295121276926286
Basal Dendrite (7g)	1.7936975343779988	0.3945356365643226	-0.04752811963511254	-0.8908786737089552	-0.46674545164737985	-0.7830809259508748
Collagen Type Xiv Trimer (1g)	1.8197209770374516	0.09282384409735321	-0.09159995352547586	-1.218857941981509	-0.34972473474472443	-0.2523621908830946
Mutsbeta Complex (2g)	1.9791379125274329	-0.6169721624059753	-0.5363290315323984	-0.5812605152158417	-0.2754825822839117	0.030906378910690577
G Protein-Coupled Receptor Homodimeric Complex (1g)	1.9345319080238257	-0.7524848389956891	-0.07127186877955517	-0.19445369050255915	-0.12004953627895162	-0.7962719734670701
Golgi Cis Cisterna Membrane (1g)	1.790616761299055	-0.995578962724229	0.16777855175564615	-0.33415349797700006	0.16790163445460649	-0.7965644868080781
Caveolar Macromolecular Signaling Complex (2g)	1.76753820838892	-0.5745501006679373	0.3131679081814754	-0.49738946786460786	0.08359013865815032	-1.092356686696
Cytoskeleton Of Presynaptic Active Zone (6g)	-0.2716065963088116	2.020840391565607	-0.324537747219287	-0.6287979335852453	-0.5097423345573896	-0.28615577989487384
Presynaptic Cytoskeleton (8g)	-0.2736212955708104	2.0207396100537403	-0.31477421405623307	-0.6295676579455971	-0.5111141637128735	-0.2916622787682264
Contractile Actin Filament Bundle (67g)	-0.19592114182507242	2.014117304448157	-0.6728736255552581	-0.41629437761102406	-0.28344177659860986	-0.44558638285819147
Stress Fiber (67g)	-0.19592114182507242	2.014117304448157	-0.6728736255552581	-0.41629437761102406	-0.28344177659860986	-0.44558638285819147
Actin Filament Bundle (74g)	-0.15013925771215936	2.008489573283243	-0.6635863598251905	-0.44867468635808083	-0.26476858186192276	-0.48132068752588963
Growth Cone Lamellipodium (3g)	-0.26940311792522514	2.004082033535872	-0.36537849969646424	-0.35861772783605356	-0.7682379892836751	-0.24244469879445418
Inner Dynein Arm (4g)	-0.20323194031271807	2.01698945691749	-0.2984748437422894	-0.6452716413757713	-0.49213689134102534	-0.3778741401456861
Stereocilia Ankle Link (6g)	-0.19520009586500897	2.0146193300155337	-0.23278303426355845	-0.5763643732771904	-0.5621335626299686	-0.4481382639798074
Stereocilia Ankle Link Complex (6g)	-0.19520009586500897	2.0146193300155337	-0.23278303426355845	-0.5763643732771904	-0.5621335626299686	-0.4481382639798074
Stereocilia Coupling Link (7g)	-0.19837116212739384	2.002549735668658	-0.16846503894443507	-0.5351018899989445	-0.6728944434478711	-0.42771720115001377
