pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
Transmitter-Gated Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential (54g)	1.9400780135113416	-0.4631532575449305	0.09862446992501694	-0.4022646608073652	-0.3022619186095842	-0.8710226464744784
Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Membrane Potential (57g)	1.9013942532994186	-0.3850388776546382	0.07808019846958134	-0.5151239969304808	-0.10231212150269245	-0.976999455681188
Neuroligin Family Protein Binding (5g)	1.9257466889683121	-0.5367728464580617	-0.23587757271891083	-0.5750402532546588	0.18530873916475643	-0.7633647557014374
Muscle Alpha-Actinin Binding (18g)	1.8861593084704897	-0.1780206325016899	-0.3349350806698267	0.2069905319815429	-0.7301871774168512	-0.8500069498636643
Gaba Receptor Activity (22g)	1.904098179001523	-0.7516167614774018	0.03489926569403956	0.03049328522255819	-0.42765534160742735	-0.7902186268332919
G Protein-Coupled Glutamate Receptor Activity (7g)	1.86633997266473	-0.3759438537752565	0.033302759666689205	-0.7099798376842047	0.11236660698064431	-0.9260856478526022
Adenylate Cyclase Inhibiting G Protein-Coupled Glutamate Receptor Activity (7g)	1.86633997266473	-0.3759438537752565	0.033302759666689205	-0.7099798376842047	0.11236660698064431	-0.9260856478526022
Ephrin Receptor Activity (19g)	1.9495547091640897	-0.6735126242118888	0.08846830586599158	-0.6630340690015485	-0.18927322946950545	-0.5122030923471389
Dynein Intermediate Chain Binding (29g)	1.8811013847852482	-0.9543389215518469	-0.38950888925457566	-0.010995051204695619	0.09769113757532075	-0.6239496603494483
Group Iii Metabotropic Glutamate Receptor Activity (4g)	1.898790526416788	-0.36850146810351936	-0.08883993325083897	-0.6743640999025825	0.1174225630020648	-0.8845075881619117
Transmembrane-Ephrin Receptor Activity (14g)	1.9864162758805057	-0.6930751889992756	-0.02539424273730396	-0.5463709094552676	-0.27624446290265486	-0.4453314717860033
Suramin Binding (1g)	1.9655234327512376	-0.6039639684129489	-0.21363153248164293	-0.5893646364764757	0.05460424321591917	-0.6131675385960891
Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration (3g)	1.9509159009245503	-0.6776111540208343	-0.0973983129854361	-0.5441318223530578	0.022959872224999744	-0.6547344837902216
Glutamate-Gated Calcium Ion Channel Activity (5g)	1.9011646031973066	-0.18968452811909878	-0.13989544324609746	-0.7007987634941446	0.04406992942806547	-0.9148557977660319
Microfibril Binding (3g)	1.8863640499995724	-0.011956571415733275	0.13544699924907783	-0.4661553035318687	-0.6871811624461122	-0.8565180118549365
Calcium-Dependent Phospholipase C Activity (1g)	1.9355881901827785	-0.7822617327684378	-0.18395799998034204	-0.44755769843119336	0.10738341084100042	-0.6291941698438055
Rna Polymerase Iii General Transcription Initiation Factor Binding (3g)	1.8800744548681516	-0.5804026082610645	-0.8095431977767861	-0.12480193701712014	0.2593690754510928	-0.6246957872642747
Tfiiic-Class Transcription Factor Complex Binding (3g)	1.8800744548681516	-0.5804026082610645	-0.8095431977767861	-0.12480193701712014	0.2593690754510928	-0.6246957872642747
Single Guanine Insertion Binding (3g)	1.9562352608353846	0.0616745412232229	-0.5075148970047966	-0.6979907989198065	-0.18874273119389237	-0.6236613749401113
Brain-Derived Neurotrophic Factor-Activated Receptor Activity (1g)	1.872195817227572	-0.5252480711459842	0.0057883483350460105	-0.7512327576842208	0.1859258390597108	-0.7874291757921238
Single Base Insertion Or Deletion Binding (4g)	1.9584017493326074	-0.17480745961549332	-0.23167204949505	-0.7824306397389167	-0.09133769354782695	-0.6781539069353185
Dimethylglycine Dehydrogenase Activity (1g)	1.908912818644306	-0.7826509768791433	0.05167866848300983	-0.5960825743060945	0.03789077765612584	-0.6197487135982042
Dna Insertion Or Deletion Binding (6g)	1.9036067099633882	-0.38705632672666396	0.032596378957938946	-0.7881373967934708	0.016155238682638722	-0.7771646040838296
Dinucleotide Insertion Or Deletion Binding (3g)	1.8879995446265514	0.35800994524831825	-0.6881435517077561	-0.599963925738359	-0.3923478713364991	-0.5655541410922567
Rna Polymerase Iii Type 1 Promoter Dna Binding (4g)	1.9485110607621918	-0.48227025039468974	-0.6057934793930175	0.006266382096201884	-0.09564491253603688	-0.7710688005346475
Rna Polymerase Iii Type 2 Promoter Dna Binding (4g)	1.9485110607621918	-0.48227025039468974	-0.6057934793930175	0.006266382096201884	-0.09564491253603688	-0.7710688005346475
5s Rdna Binding (4g)	1.9485110607621918	-0.48227025039468974	-0.6057934793930175	0.006266382096201884	-0.09564491253603688	-0.7710688005346475
G Protein-Coupled Neurotransmitter Receptor Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration (1g)	1.8771423558653346	-0.6413956285504595	0.044983637811859344	-0.6830120306993769	0.1581887832721102	-0.7559071176994672
Gq/11-Coupled Serotonin Receptor Activity (1g)	1.8721852290846712	-0.8522768005795207	0.186676321883835	-0.4266116606075164	-0.03818961861002751	-0.7417834711714419
Interferon-Gamma Binding (1g)	1.8914790597082125	-0.23208239386754598	-0.12355959164457278	-0.03947281980986448	-1.0888187826256308	-0.40754547176059985
Netrin Receptor Activity Involved In Chemorepulsion (1g)	-0.3761397214357661	2.0367927972728257	-0.3778166938112051	-0.4960598996148378	-0.4697574633107592	-0.3170190191002576
3',5'-Cyclic-Gmp Phosphodiesterase Activity (18g)	-0.21165413208650524	2.0282259607856012	-0.40388521244275954	-0.5618996501099136	-0.40631118944610806	-0.4444757767003133
Myosin Ii Head/Neck Binding (1g)	-0.3987708339505848	2.037154840408979	-0.42488539392177577	-0.34378412901868616	-0.5187178744628457	-0.35099660905508706
Myosin Head/Neck Binding (2g)	-0.3962421590754719	2.0382990775198477	-0.4033155576650907	-0.3499492965125882	-0.5085263916242326	-0.38026567264246464
Myosin Ii Heavy Chain Binding (3g)	-0.4133963329369664	2.0391710945348374	-0.4097804032736125	-0.35106417452638056	-0.48569372217706763	-0.37923646162081087
Voltage-Gated Calcium Channel Activity Involved In Bundle Of His Cell Action Potential (1g)	-0.30800679832629946	2.0284263758624785	-0.4142679253776056	-0.5696868221754289	-0.4760912060846896	-0.2603736238984553
Protein Tyrosine Kinase Collagen Receptor Activity (2g)	-0.46462903884336865	2.0341333429364155	-0.3095045958908031	-0.490160130481654	-0.46871973908098286	-0.30111983863960695
Geranial:Oxygen Oxidoreductase Activity (1g)	-0.5249544790996967	2.026215176888819	-0.2929101507547548	-0.43708940360768866	-0.5349782750391143	-0.2362828683875639
Heptaldehyde:Oxygen Oxidoreductase Activity (1g)	-0.5249544790996967	2.026215176888819	-0.2929101507547548	-0.43708940360768866	-0.5349782750391143	-0.2362828683875639
Transforming Growth Factor Beta Receptor Activity, Type Iii (1g)	-0.35741481982862283	2.03582302551452	-0.3108033703650489	-0.5138436735482071	-0.46287459983602885	-0.39088656193661214
Oxidoreductase Activity, Acting On Ch Or Ch2 Groups, Nad Or Nadp As Acceptor (2g)	-0.5002167137383289	2.0298582774057334	-0.28485677550825855	-0.4625011446916039	-0.5103560661255873	-0.27192757734195505
Xanthine Dehydrogenase Activity (2g)	-0.5002167137383289	2.0298582774057334	-0.28485677550825855	-0.4625011446916039	-0.5103560661255873	-0.27192757734195505
Collagen Fibril Binding (2g)	-0.3335316263157206	2.0347109532950114	-0.34302204774865164	-0.5025048406298228	-0.5067635452262731	-0.34888889337454354
Phosphatidylethanolamine Flippase Activity (2g)	-0.383957512901118	2.035704759949702	-0.2835529645234677	-0.4964266811057386	-0.4646209696635272	-0.4071466317558498
Ceramide Floppase Activity (2g)	-0.44472467983787345	2.033759740149181	-0.23961642741546296	-0.47497822247949695	-0.455900658759276	-0.41853975165707163
Peptidylamidoglycolate Lyase Activity (1g)	-0.25116572891177835	2.0310238539824077	-0.36291226281982886	-0.40039966773254027	-0.468589385521516	-0.5479568089967439
Peptidylglycine Monooxygenase Activity (1g)	-0.25116572891177835	2.0310238539824077	-0.36291226281982886	-0.40039966773254027	-0.468589385521516	-0.5479568089967439
Sap Kinase Activity (3g)	-0.30854723660284467	2.0324166618165758	-0.5010911769210237	-0.46709950538866546	-0.4760269948934875	-0.2796517480105549
Jun Kinase Activity (3g)	-0.30854723660284467	2.0324166618165758	-0.5010911769210237	-0.46709950538866546	-0.4760269948934875	-0.2796517480105549
Nadph-Adrenodoxin Reductase Activity (1g)	-0.5480959502157381	2.032392939708207	-0.29441590985989846	-0.4373716836903467	-0.4389438310721335	-0.3135655648700897
Oxidoreductase Activity, Acting On Iron-Sulfur Proteins As Donors (1g)	-0.5480959502157381	2.032392939708207	-0.29441590985989846	-0.4373716836903467	-0.4389438310721335	-0.3135655648700897
Oxidoreductase Activity, Acting On Iron-Sulfur Proteins As Donors, Nad Or Nadp As Acceptor (1g)	-0.5480959502157381	2.032392939708207	-0.29441590985989846	-0.4373716836903467	-0.4389438310721335	-0.3135655648700897
Ferredoxin-Nadp+ Reductase Activity (1g)	-0.5480959502157381	2.032392939708207	-0.29441590985989846	-0.4373716836903467	-0.4389438310721335	-0.3135655648700897
Chenodeoxycholic Acid Binding (1g)	-0.5181929281544041	2.0269942805972274	-0.3557532721856526	-0.5237282439518556	-0.42396884566895066	-0.2053509906363646
Ribokinase Activity (1g)	-0.5046705713217051	2.0285114785716987	-0.32987883169096066	-0.22244187132847165	-0.4752099264607425	-0.49631027776981923
Calcium:Sodium Antiporter Activity Involved In Regulation Of Cardiac Muscle Cell Membrane Potential (1g)	-0.32604833350491574	2.034691955360738	-0.47054591108154276	-0.45004158434975383	-0.49214539025431675	-0.295910736170208
Angiotensin Type I Receptor Activity (1g)	-0.489482488353361	2.0342817615074167	-0.3770239661567187	-0.4771965019717599	-0.2622487712899357	-0.42833003373564127
Hydro-Lyase Activity (55g)	-0.4029440759793999	2.028286236646358	-0.4335432266086868	-0.30562192809029626	-0.28549459662498833	-0.6006824093429869
N-Formylglutamate Deformylase Activity (1g)	-0.2827401121168296	2.0309488112395546	-0.3359933364381027	-0.5732560338933462	-0.3889462817144574	-0.45001304707681844
Choline Dehydrogenase Activity (1g)	-0.46988486879080044	2.0316757230907236	-0.41402636069311555	-0.5409930772229107	-0.34415857578228176	-0.2626128406016146
V1b Vasopressin Receptor Binding (1g)	-0.3282138436710463	-0.7614277058886139	1.8958903959366027	-0.41955039859812204	0.29003093002783253	-0.6767293778066529
Rna Lariat Debranching Enzyme Activity (1g)	-0.2925452769543971	-0.48615456345045394	1.8895237891083798	-0.6611044311438156	0.30880116383225764	-0.7585206813919709
Dna Polymerase Processivity Factor Activity (2g)	-0.22669457538289053	-0.4956019521870931	1.8766998616360235	-0.8222587815371974	0.3081198778847775	-0.6402644304136199
Adp-Ribose Diphosphatase Activity (5g)	-0.4882354784061737	-0.737848727797927	1.8995930696138335	-0.49967913405880754	-0.5016219407970931	0.3277922114461633
Glucosaminylgalactosylglucosylceramide Beta-Galactosyltransferase Activity (2g)	-0.6487404966402702	-0.23207406980401804	1.9481925781918685	-0.7466526180801387	0.08550368076208127	-0.4062290744295225
L-Serine Transmembrane Transporter Activity (5g)	-0.730839059122823	0.024204924339290935	1.9050301363815954	-0.6373626024495082	0.08862977968213771	-0.6496631788306944
Mads Box Domain Binding (1g)	-0.3471496076659557	-0.8396617586447553	1.8784423946988347	-0.15096428105388623	0.21801024038679104	-0.7586769877210283
Pyrimidine-Specific Mismatch Base Pair Dna N-Glycosylase Activity (2g)	-0.7545090489339278	-0.6512919558972284	1.90415096860625	-0.2917719128633967	0.26703237368350446	-0.47361042459520347
Amylin Receptor Activity (4g)	0.0926709932262389	-0.6862787652630801	1.9213491995375989	-0.7687180375673485	-0.07743522395639812	-0.4815881659770099
Kisspeptin Receptor Binding (1g)	-0.12945995238181815	-0.9098268478956043	1.9052246157077393	-0.2476295825115624	0.0603735859504261	-0.6786818188691804
Active Borate Transmembrane Transporter Activity (1g)	-0.6010317271358162	0.17088892717502532	1.9423384986196675	-0.40628191995626267	-0.3793317862130957	-0.7265819924895182
