pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
primary adaptive immune response (1g)	1.2922933845198996	-1.1273644774100953	0.1769394831425304	-0.15560329973450818	0.903401406456768	-1.089666496974595
primary adaptive immune response involving T cells and B cells (1g)	1.2922933845198996	-1.1273644774100953	0.1769394831425304	-0.15560329973450818	0.903401406456768	-1.089666496974595
transitional stage B cell differentiation (1g)	1.1537442297540585	-0.10444999592360997	-0.37343092229329206	0.9375042004598043	-1.624645340265292	0.01127782826833053
transitional one stage B cell differentiation (1g)	1.1537442297540585	-0.10444999592360997	-0.37343092229329206	0.9375042004598043	-1.624645340265292	0.01127782826833053
isotype switching to IgA isotypes (7g)	1.3537619085800714	-1.6178483265012287	0.08980612656194631	-0.28122155796183335	0.651427579030826	-0.19592572970978422
T-helper 2 cell activation (2g)	1.3247823397151	-1.1896207488925377	0.9802645780191515	-0.4777531821973318	0.14874989506856218	-0.7864228817129445
V(D)J recombination (15g)	1.1227136509337576	-1.4119075647905044	-0.6883778394465002	-0.4139806219674261	0.9532427628718523	0.43830961239882577
diapedesis (6g)	0.94318268030476	-1.5246623155124903	-0.8599081192852288	0.6921721209877812	-0.0039453524321063005	0.7531609859372851
type IV hypersensitivity (4g)	1.0426737976346503	-0.8837807158056729	0.7596042206692681	-0.04237426478784822	0.6033733228698674	-1.4794963605802642
monocyte extravasation (8g)	-0.6793757500662241	1.748647022391798	-0.6903482613350203	-0.7385968106701214	0.6236237797460766	-0.2639499800665096
lymphocyte anergy (5g)	-1.1285456525726565	1.4364903251729149	-0.5793167460907528	-0.7988676269243908	0.7763421231456112	0.2938975772692753
T cell anergy (5g)	-1.1285456525726565	1.4364903251729149	-0.5793167460907528	-0.7988676269243908	0.7763421231456112	0.2938975772692753
antifungal innate immune response (5g)	-0.9966624758640154	1.798470779241353	0.19200548830589687	-0.5225232171920697	-0.6546994260947108	0.18340885160354617
antifungal humoral response (5g)	-1.0078692283430517	1.8119414430243077	0.18281898235332492	-0.5591083077108575	-0.5768954703634304	0.1491125810397068
induction of bacterial agglutination (6g)	-1.2895338619607162	1.6084290874601062	-0.24173353280265505	-0.2886088368486287	-0.43555878515342156	0.647005929305316
T-helper 17 cell differentiation (25g)	0.1323721340392334	1.0579608179265625	-1.1934728312975376	0.3625316550038269	0.8792679221514664	-1.2386596978235493
immune complex clearance (3g)	-1.1387269159350528	1.6686334205157671	0.3723071245563326	-0.7834286475131449	-0.34182437834726415	0.22303939672336195
opsonization (12g)	-1.5675012336358836	1.1491096426879313	-0.14576564110676415	-0.36893799932616267	-0.09460774904586614	1.0277029804267455
basophil activation involved in immune response (2g)	-0.052353404438284026	1.972396019088994	-0.1355744973944643	-0.7249975872174903	-0.5008197233474179	-0.5586508066913372
mucosal immune response (31g)	-0.48029485920984966	0.6426807026196504	1.2060716825957445	-1.3115256767112349	0.739632129227698	-0.7965639785220092
innate immune response in mucosa (19g)	-0.4962625830570523	-0.30010758112565517	1.3905235379718746	-0.7242979167173954	1.113172196463271	-0.9830276535350415
complement activation, classical pathway (161g)	-1.046026725217142	-0.9214318368753104	1.5724672063890666	0.04754174470048262	0.6843702359974352	-0.33692062499453485
antimicrobial peptide production (6g)	0.24032072243391067	-0.9916104189946305	1.3124212487657307	-0.48747795099027824	0.9622122411499383	-1.0358658423646705
antibacterial peptide production (6g)	0.24032072243391067	-0.9916104189946305	1.3124212487657307	-0.48747795099027824	0.9622122411499383	-1.0358658423646705
natural killer cell differentiation involved in immune response (4g)	0.4707636795764586	-0.7809256768368622	1.3023119342251088	-0.8145352645999165	0.8581031896929114	-1.0357178620577
myeloid dendritic cell chemotaxis (4g)	-0.20396869479484184	-0.4080529198896401	1.759732130346183	-0.34986563429725415	0.393083943799167	-1.1909288251636132
peripheral tolerance induction (4g)	0.10418849253314498	-1.0984686903694976	1.6742767516425185	-0.2804618435206719	0.44087131648834393	-0.8404060267738379
immunoglobulin production in mucosal tissue (3g)	0.8018163759332895	-1.0020386401653367	1.3436251248224624	-0.5109848851031894	0.4208794690182029	-1.0532974445054286
complement activation (195g)	-0.4301640949905015	-1.7962752837913878	0.8161657693876938	0.6560796450093649	0.6991083364550398	0.05508562792978996
