pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
blood coagulation, fibrin clot formation (27g)	1.2221551304373162	-1.0503566362713084	-0.007275228695372262	0.9793510034246072	-1.2003009961571012	0.05642672726185988
cAMP metabolic process (22g)	1.1916293908184152	1.1667252218010982	-1.0406565856910646	-0.422259229473981	0.07982081089636127	-0.9752596083508297
neurotransmitter receptor metabolic process (3g)	1.6664304263033232	-0.8843225803854653	-0.17984561869531185	-0.6724284857015912	0.7257411637434326	-0.6555749052643877
protein O-linked mannosylation (19g)	1.3162581991679563	1.004027122489027	-0.538642628000716	-0.5682227354188512	0.0678961782645031	-1.2813161365019203
protein side chain deglutamylation (5g)	1.646467332909419	-1.360489906875809	-0.34351101811337764	0.25664523594614747	0.24287900025233697	-0.44199064411871697
peptide cross-linking (34g)	1.4467636659539298	-1.238762423392408	0.18073904277884034	0.7725757460821712	-0.3956239569166943	-0.7656920745058406
C-terminal protein deglutamylation (5g)	1.5705233553170022	-1.41125606204256	-0.32128104011667036	0.31820334183065346	0.3251050595680022	-0.481294654556428
protein deglutamylation (8g)	1.688197488900168	-1.3358827697529034	-0.3221424080381682	0.19390310261901003	0.2033409735883981	-0.4274163873165047
protein mannosylation (25g)	1.1985317663173902	1.069077519886309	-0.45184658729361893	-0.6254715053314591	0.1521222121038465	-1.342413405682466
neurotransmitter receptor internalization (25g)	1.1556624601920127	0.061019595562782136	-1.2037303640985633	0.2966064910042786	-1.1735689501518698	0.8640107674913582
cGMP metabolic process (18g)	-0.2812268692582168	2.005901111418604	-0.35155110490189195	-0.5730800843641144	-0.6502501953902489	-0.1497928575041311
steroid metabolic process (323g)	-0.5062630211206914	1.9712926580459553	-0.2760417340192262	-0.25212232869424056	-0.8419831519576241	-0.09488242225417297
glucocorticoid biosynthetic process (19g)	-0.7913242998088816	1.9058336725464	-0.2636796714363053	-0.4440919071700913	-0.6461676422028025	0.23942984807168174
aldosterone metabolic process (10g)	-0.747605113228426	1.9096161072008793	-0.2929573658566819	-0.4378572294468785	-0.6760027926502489	0.24480639398135615
aldosterone biosynthetic process (10g)	-0.747605113228426	1.9096161072008793	-0.2929573658566819	-0.4378572294468785	-0.6760027926502489	0.24480639398135615
C21-steroid hormone metabolic process (40g)	-0.6910751284727695	1.9544537987904123	-0.2674230517353845	-0.4170563644192302	-0.669917918968476	0.09101866480544839
hormone biosynthetic process (87g)	-0.7860691574861652	1.9282875463942026	-0.2947315105966422	-0.3750397164726647	-0.6391366021998924	0.166689440361162
cortisol biosynthetic process (10g)	-0.7883915564051863	1.9014755943632808	-0.28883811805258325	-0.43126485038880596	-0.6526678181195104	0.2596867486028052
tertiary alcohol biosynthetic process (10g)	-0.7883915564051863	1.9014755943632808	-0.28883811805258325	-0.43126485038880596	-0.6526678181195104	0.2596867486028052
glucocorticoid metabolic process (26g)	-0.7899013198668223	1.9208947032039068	-0.26230706838338136	-0.43581403519091955	-0.6249648214871242	0.19209254172434115
mitochondrial translation (136g)	-1.2894931022473677	0.9378303592550951	1.2986513710007952	-0.7553101764910567	0.20609006730063006	-0.39776851881809855
mitochondrial translational elongation (88g)	-1.3940904971180126	1.0336074955195298	1.2141687652730342	-0.6735493886165325	0.05837052839649926	-0.2385069034545153
mitochondrial gene expression (166g)	-1.445273518136249	0.7662151848219599	1.353413223792381	-0.5798580659707088	0.2281342237221045	-0.32263104822948485
retinol metabolic process (44g)	0.20272333598049383	0.7039611393090369	1.4370086164475704	-0.16638813536612077	-1.075715099438904	-1.1015898569320783
cofactor catabolic process (66g)	0.9077978764218481	-1.0273354797523575	1.0758644802808375	0.6335742764769635	-0.4091454153769977	-1.1807557380502949
exogenous drug catabolic process (26g)	0.8143422194784429	-0.6916524657239801	0.9524718487967674	-0.7071529206210894	0.9076642317600975	-1.2756729136902394
epoxygenase P450 pathway (21g)	-0.1303775744259363	0.35187806351185363	1.305419160143372	-0.7280514857686888	0.6743233852078981	-1.4731915486685006
phenylpropanoid metabolic process (8g)	-0.22950002434698466	-0.7754967982771447	1.520944954206783	-0.4439989603830863	0.9213491534039417	-0.9932983246035083
