pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
startle response (27g)	1.8058394443756602	0.06004538152131189	-0.8039308236829644	0.06996300952797549	-1.0368729357782391	-0.09504407596374187
detection of muscle stretch (4g)	1.780129715979291	-0.5941634190066304	-0.04530994761650547	0.4530770098717427	-0.7770771948229119	-0.8166561644049857
detection of abiotic stimulus (138g)	1.7414247147334447	-0.3989384366170196	-0.43333563711592354	-0.5334877161688373	0.6075734195345063	-0.9832363443661706
detection of external stimulus (135g)	1.7437032575403009	-0.40634343012285445	-0.447687479182777	-0.5139855937261611	0.6056326551839377	-0.9813194096924434
detection of mechanical stimulus (45g)	1.184576442751532	0.9648022750436283	-0.1433937985657935	-0.6579470190465087	0.13340784840015696	-1.4814457485830157
blood coagulation, fibrin clot formation (27g)	1.2221551304373162	-1.0503566362713084	-0.007275228695372262	0.9793510034246072	-1.2003009961571012	0.05642672726185988
response to amyloid-beta (47g)	1.3382600816219579	-0.47342760819134033	-0.43614338703889666	1.1933007442219803	-0.6446924375535168	-0.9772973930601829
response to histamine (11g)	1.6376504975538289	-0.948454267346105	-0.16374048516630904	0.7362016224520224	-0.7949047617653243	-0.4667526057281143
cellular response to histamine (8g)	1.622897798156217	-0.8916503303655041	-0.23944554492040723	0.7806268883096275	-0.8540588197990504	-0.41836999138088354
detection of light stimulus involved in sensory perception (18g)	1.8752575038258716	-0.5534446904619268	0.09842752704217432	-0.6316209775237425	0.08397631138113723	-0.8725956742635131
cellular response to sterol (21g)	-0.32847189425384166	1.9403673304098097	-0.46975233764331775	-0.30634717405019135	-0.8991918300083257	0.06339590554586728
response to potassium ion (15g)	-0.4000909893327767	1.9615649492096296	-0.4103684686920402	-0.5056877957369151	-0.7468466334931466	0.10142893804524898
cellular response to potassium ion (10g)	-0.4142418721029647	1.9559334541298719	-0.43429010660129685	-0.47667396904813925	-0.7558143357185901	0.12508682934111842
response to cortisol (5g)	-0.3577040135945809	2.001912881280027	-0.3948538027861432	-0.5943323400444676	-0.5927704936443186	-0.06225223121051716
detection of lipopolysaccharide (4g)	-0.7678440635417615	1.5549460643659305	-0.33553547571235576	-0.1211944736335698	-1.1166883191932078	0.7863162677149645
cellular response to heparin (5g)	-0.1861425030908566	2.0021972561159838	-0.5237313546315056	-0.4513478425156142	-0.6704155340855378	-0.17056002179247035
response to anticoagulant (8g)	-0.2008255423953206	2.0078022212615037	-0.48937203688983233	-0.4651483127919099	-0.6599058291783194	-0.19255050000612217
response to heparin (6g)	-0.19074439382666464	2.0034430843855184	-0.5119926620671313	-0.4540068272432022	-0.6714664379812499	-0.17523276326727041
response to sterol (30g)	-0.40822296506505934	1.7092528142859265	-0.6389327654177279	-0.05547136255907178	-1.1146387180995279	0.5080129968554621
