pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
glutamate receptor signaling pathway (100g)	1.4079823822936501	0.9066408443104881	-1.2031548086973014	-0.8259824075953325	-0.2545652484449358	-0.030920761866567396
adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate (1g)	1.9549646596021306	-0.8150657143936422	-0.4610156411906961	-0.28448727228611165	0.06976501199438445	-0.46416104372606526
adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate (1g)	1.9549646596021306	-0.8150657143936422	-0.4610156411906961	-0.28448727228611165	0.06976501199438445	-0.46416104372606526
ionotropic glutamate receptor signaling pathway (25g)	1.295603493691607	1.1886758026586814	-0.9390925316083784	-0.8664937061974665	-0.4900833257871756	-0.1886097327572665
Notch signaling pathway involved in heart induction (4g)	1.525193723958487	0.973274965538145	-0.5324434223787219	-0.8594043623442266	-0.33866752056442057	-0.767953384209264
adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway (7g)	1.933255693312541	-0.28246465585492975	-0.11924023391697512	-0.5785765816723824	-0.0407767057046757	-0.9121975161635786
lipoprotein particle mediated signaling (3g)	1.4039049635896748	-1.3287461400415392	-0.3314247204624729	0.3482405523916671	0.6709997893855605	-0.7629744448628903
low-density lipoprotein particle mediated signaling (3g)	1.4039049635896748	-1.3287461400415392	-0.3314247204624729	0.3482405523916671	0.6709997893855605	-0.7629744448628903
gamma-aminobutyric acid signaling pathway (25g)	1.6257433328598716	0.13111848264981676	-0.5501416263981945	-0.9268470327978114	-0.8945559643558166	0.6146828080421342
neuropeptide signaling pathway (105g)	1.165268149382902	-1.5314824268205858	0.5443980046631451	-0.08236564820826113	0.6552864798010086	-0.7511045588182088
planar cell polarity pathway involved in axis elongation (6g)	-0.2176763280986042	2.0200343073387437	-0.3230015482498762	-0.6191823888553629	-0.5149748621820469	-0.3451991799528531
smoothened signaling pathway (141g)	0.02340183051919859	1.9802730496829388	-0.4757101375488244	-0.694689655149357	-0.5212880701772323	-0.31198701732672623
cGMP-mediated signaling (34g)	-0.32125424351542725	2.0178760600986183	-0.5048008352042929	-0.5874815261325508	-0.15656684003075275	-0.44777261521559275
