pathway	Eosinophil	Foam_Cell	FOLR2_Mac	M2_Mac	Mast	TREM2_Mac
synaptic signaling (729g)	1.4999189952324554	0.381764456975108	-1.2905512385700073	0.3705590537883095	-0.8926935112664717	-0.06899775615939938
trans-synaptic signaling (724g)	1.4752464439111053	0.4054471538017933	-1.288527533173562	0.3880486728901289	-0.9190392357907116	-0.06117550163875048
anterograde trans-synaptic signaling (716g)	1.4289323643814542	0.46496359802221465	-1.2823176938652474	0.41879866386543113	-0.9575637877712471	-0.07281314463260918
chemical synaptic transmission (716g)	1.4289323643814542	0.46496359802221465	-1.2823176938652474	0.41879866386543113	-0.9575637877712471	-0.07281314463260918
cell-cell signaling (1666g)	1.0695020718992099	0.2466001747298638	-1.3022408477856016	0.8033599580401054	-1.1570122588548768	0.33979090197130224
synaptic transmission, glutamatergic (103g)	1.6168727119822697	0.15506411022895922	-1.235515422608322	0.33255985194451537	-0.8510354208241113	-0.01794583072331423
trans-synaptic signaling by trans-synaptic complex (8g)	1.6541377615287391	-1.3971945767852045	-0.45586028407175916	-0.14821196512398357	0.06951910562532865	0.27760995882687955
excitatory chemical synaptic transmission (8g)	1.8987090815726164	-0.20173658385753335	-0.4745371496750473	-1.05156247679438	-0.15115650941937905	-0.019716361826278738
retrograde trans-synaptic signaling by nitric oxide (2g)	1.805471325689655	-0.9527519731870512	0.02098936908298544	-0.5930488417794326	0.32924673290115475	-0.6099066127073115
retrograde trans-synaptic signaling by soluble gas (2g)	1.805471325689655	-0.9527519731870512	0.02098936908298544	-0.5930488417794326	0.32924673290115475	-0.6099066127073115
spontaneous synaptic transmission (11g)	-0.0980374456947301	1.9322714456501016	-0.5234794235446175	-0.27425591770424207	-0.9485422351432065	-0.087956423563305
cell-cell signaling involved in cardiac conduction (30g)	-0.03613540427854004	1.9978456983579405	-0.4829979271765723	-0.6448975028178094	-0.48937603741141084	-0.34443882667360876
regulation of heart rate by cardiac conduction (38g)	0.0276941729034975	1.9763398428914845	-0.6386162707823323	-0.5774650156105999	-0.5381681133184487	-0.24978461608360103
atrial cardiac muscle cell to AV node cell signaling (19g)	0.06916566958414892	1.9554993686302993	-0.5564134975138754	-0.7620913351620459	-0.47863492774559885	-0.22752527779292772
multicellular organismal signaling (200g)	0.719746003974412	1.609241896975485	-1.1467771611572153	-0.5764146391196092	-0.4781978727024876	-0.12759822797058643
