cluster	origin	percentage	N_count	T_count
Eosinophil	N1	5.4373522458628845	207	735
Eosinophil	N2	2.7756360832690823	207	735
Eosinophil	N4	5.992509363295881	207	735
Eosinophil	N7	1.7964071856287425	207	735
Eosinophil	T1	1.549053356282272	207	735
Eosinophil	T2	12.02445652173913	207	735
Eosinophil	T4	23.8716148445336	207	735
Eosinophil	T7	12.874779541446209	207	735
Foam_Cell	N1	10.795902285263987	286	0
Foam_Cell	N2	7.478797224363917	286	0
Foam_Cell	N4	3.058676654182272	286	0
Foam_Cell	N7	0.8982035928143712	286	0
Foam_Cell	T1	0	286	0
Foam_Cell	T2	0	286	0
Foam_Cell	T4	0	286	0
Foam_Cell	T7	0	286	0
FOLR2_Mac	N1	23.08904649330181	1044	991
FOLR2_Mac	N2	19.198149575944488	1044	991
FOLR2_Mac	N4	25.71785268414482	1044	991
FOLR2_Mac	N7	26.94610778443114	1044	991
FOLR2_Mac	T1	35.628227194492254	1044	991
FOLR2_Mac	T2	22.48641304347826	1044	991
FOLR2_Mac	T4	15.59679037111334	1044	991
FOLR2_Mac	T7	25.044091710758376	1044	991
M2_Mac	N1	27.97478329393223	1697	1983
M2_Mac	N2	41.017733230531995	1697	1983
M2_Mac	N4	41.26092384519351	1697	1983
M2_Mac	N7	44.61077844311377	1697	1983
M2_Mac	T1	41.82444061962134	1697	1983
M2_Mac	T2	41.64402173913044	1697	1983
M2_Mac	T4	45.135406218655966	1697	1983
M2_Mac	T7	40.0352733686067	1697	1983
Mast	N1	7.092198581560283	339	815
Mast	N2	10.10023130300694	339	815
Mast	N4	5.617977528089888	339	815
Mast	N7	8.383233532934131	339	815
Mast	T1	19.10499139414802	339	815
Mast	T2	22.078804347826086	339	815
Mast	T4	12.83851554663992	339	815
Mast	T7	21.693121693121693	339	815
TREM2_Mac	N1	25.6107171000788	929	90
TREM2_Mac	N2	19.429452582883577	929	90
TREM2_Mac	N4	18.352059925093634	929	90
TREM2_Mac	N7	17.365269461077844	929	90
TREM2_Mac	T1	1.8932874354561102	929	90
TREM2_Mac	T2	1.766304347826087	929	90
TREM2_Mac	T4	2.5576730190571717	929	90
TREM2_Mac	T7	0.3527336860670194	929	90
