gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FCN1	8.635321085016786e-10	-4.173678663088674	0.625	1	2.864940476376019e-5
IL1R2	1.2854182895481826e-13	-4.089629578799878	0.75	1	4.264632259234006e-9
MPPED2	2.8705767192036732e-11	3.977915066206581	1	0.75	9.523712381302027e-7
FGF13	3.551928640355015e-11	3.4551246335646697	1	0.875	1.1784233650105832e-6
VCAN	1.6351348220150995e-23	-3.4119525072304127	1	1	5.424886798999496e-19
FLT3	3.125905793843262e-31	-3.346233220739547	0.875	1	1.037081765223379e-26
LILRB5	4.718896521442726e-29	3.0891417071647496	1	1	1.5655882989190533e-24
LYZ	5.069658070900911e-16	-3.058722734662463	1	1	1.681960458182795e-11
AC100849.1	6.086696043813414e-16	2.838651244241026	1	0.875	2.0193831464559765e-11
SULF2	6.2465167943409684e-15	-2.6924039588672013	0.75	1	2.072406876858503e-10
CD300E	6.786419226968121e-26	-2.6817621949930555	0.5	1	2.2515303069312136e-21
CLNK	9.414756234621675e-9	-2.6745301966495822	0.875	1	3.123533675960433e-4
SELENOP	2.2233242833805977e-7	2.6196415370543487	1	1	0.007376322974971809
LGMN	2.1689131960043035e-9	2.5993113284550966	1	1	7.195803310383478e-5
IL18R1	5.0297887447370836e-11	-2.5975971485940064	0.75	0.875	1.6687330118414222e-6
SLC40A1	2.788418954200506e-10	2.58751169440139	1	0.875	9.251137564351019e-6
IGF1	1.159476538642557e-13	2.5837888889437104	1	0.75	3.846795312254412e-9
PLEKHG5	7.060445669753887e-15	2.57735237821178	1	0.875	2.342444059854247e-10
FAM20A	3.0497867441889394e-9	2.5767604584022235	1	0.875	1.0118277481195644e-4
ME1	1.2188102976166442e-16	2.57212302395093	1	1	4.043646924402741e-12
MERTK	1.5349283097871325e-27	2.560744750833339	1	1	5.09243165338077e-23
COLEC12	1.5144778551132395e-15	2.522657620621099	1	1	5.024583179909195e-11
MUC6	2.7736187726886012e-11	2.5185607465759947	1	1	9.202035002148972e-7
EDA	7.4460886235061005e-16	2.5146805957778757	1	1	2.4703888226206188e-11
WLS	6.016463683706141e-20	2.4945700466477443	1	0.875	1.9960821563431867e-15
C9	1.5484656425686915e-11	2.4721650512676403	1	1	5.137344462350148e-7
SLCO2B1	1.7957022930471722e-19	2.411005370935359	1	1	5.957601497642603e-15
AC016205.1	6.921250843738966e-10	-2.391147162971097	0.75	1	2.296263392427277e-5
GLT1D1	1.460724752792449e-11	-2.374768334753412	0.75	1	4.846246512339508e-7
CCDC26	3.7744354662232665e-18	-2.3321124076190474	0.875	1	1.2522444546288931e-13
NPL	3.1712132051705534e-14	2.313379780022804	1	1	1.0521134050794345e-9
AC007240.1	1.182045118718328e-11	-2.3001250368862527	0.875	0.875	3.921671090371797e-7
F13A1	6.5266715326942145e-12	2.2795073960899037	1	1	2.1653538144019596e-7
AL162414.1	5.160720937092282e-10	2.277698262572856	1	0.625	1.7121723852991064e-5
PMP22	1.906654884883419e-11	2.2769711886429738	0.875	1	6.325708911577719e-7
GPAT3	4.508312930095694e-7	-2.2645598328313907	0.875	1	0.014957229808178485
VDR	1.5165907603003246e-9	-2.2616496477691657	0.75	1	5.031593165448387e-5
SH2D3C	2.3847571194179413e-12	-2.251307773949584	0.75	1	7.911908695092903e-8
P2RX1	1.5337198644668492e-14	-2.2488858447999682	0.875	1	5.088422394341665e-10
LYVE1	3.056256268683598e-20	2.24457230238779	1	1	1.0139741422611572e-15
TBC1D16	5.3516636544132114e-17	2.2348663137610862	1	1	1.7755214506246711e-12
SPN	2.1738265656441828e-14	-2.219175771557319	0.875	1	7.212104396837705e-10
MPP7	1.1548941014538428e-10	-2.2121862944959236	0.875	1	3.831592160393414e-6
FYN	4.3052280529980175e-10	-2.1938596814182945	1	1	1.4283455111431523e-5
RGL1	9.604960972775903e-9	2.1845501476711675	1	1	3.186637901937861e-4
SGMS2	1.232505247921597e-19	-2.158472564592457	0.875	1	4.0890826610294825e-15
DAB2	2.220205192460124e-13	2.1386914631748457	1	1	7.3659747670249534e-9
SIGLEC1	1.0325514482353291e-11	2.1381826073151786	1	1	3.4256959398103513e-7
NLRP12	5.57932382226369e-13	-2.1354184575549717	0.75	1	1.8510522645124244e-8
TFCP2L1	5.672468568469899e-8	2.113616816287033	1	0.875	0.0018819548969612584
