gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LINC01443	7.707211472643587e-14	2.884761829116134	0.023	0.004	2.557021550278963e-9
MANCR	1.93118160896618e-40	2.69105813632642	0.059	0.008	6.407081224067096e-36
LINC00705	5.3304220178750095e-14	2.6468976190756432	0.019	0.002	1.768474112870392e-9
CCL18	1.908706990552599e-22	2.431603500503951	0.04	0.007	6.3325171825563574e-18
CXCL8	8.500548551614258e-26	2.4193511654256463	0.056	0.013	2.8202269929690625e-21
AC099670.3	6.351347573925196e-11	2.3987401327476214	0.032	0.012	2.1071865846011625e-6
MMP19	1.611508508964055e-146	2.2799535267748468	0.393	0.152	5.346501780190045e-142
NR4A3	2.678413365450531e-189	2.2284810051757136	0.428	0.138	8.886172022555227e-185
CCL4	8.666641759077007e-108	2.163133252431635	0.238	0.061	2.8753317364089785e-103
CXCL1	1.9508621927572858e-7	2.128008399589593	0.012	0.002	0.006472375496910847
CXCL3	1.1404655622025888e-7	2.1025482077813056	0.022	0.007	0.003783722595719529
SUCNR1	1.5725476165315018e-13	2.0579395947453305	0.035	0.01	5.217241227366564e-9
CCL4L2	8.638104197362497e-140	2.0240595190893838	0.316	0.086	2.865863829558956e-135
TIMD4	7.642646869485327e-95	2.019765947974474	0.251	0.084	2.535600951889147e-90
IL10	3.7005346367524554e-21	1.9670688646827383	0.08	0.035	1.2277263764353621e-16
CCL8	7.940848163819732e-17	1.9343696815167273	0.048	0.015	2.6345351953104726e-12
PTGER2	1.7904396924681203e-7	1.9226510885371404	0.021	0.007	0.005940141767701483
IL1RN	5.604289164094253e-22	1.8895840534662365	0.055	0.014	1.85933501597155e-17
VCAM1	5.855101152154645e-118	1.879080880681094	0.334	0.121	1.9425469092503466e-113
ELL2	0	1.878901632980197	0.882	0.543	0
SLC16A10	1.154333234406991e-206	1.8394888207938676	0.649	0.335	3.8297313717920738e-202
STX11	1.6503487905011053e-147	1.8094478445672666	0.416	0.151	5.475362182245517e-143
SULT1C2	8.060230594209995e-33	1.7992737769262765	0.099	0.031	2.67414270424105e-28
FABP5	2.842910622134774e-20	1.795991185064892	0.063	0.021	9.43192457105654e-16
CD83	1.9059709123252294e-209	1.7883584559166472	0.554	0.214	6.323439695821414e-205
CD5L	2.0782234604247688e-11	1.7846057041631456	0.031	0.009	6.894921974651256e-7
EGR3	3.052518187576066e-98	1.7837563708002881	0.279	0.092	1.0127339590921112e-93
CEMIP2	1.159603170950791e-195	1.7635729272316023	0.658	0.378	3.847215440263439e-191
ITGAD	3.918246617357263e-83	1.755825212326578	0.218	0.064	1.299956680240619e-78
TNFAIP8L3	5.916553455251967e-29	1.7405339987657649	0.126	0.053	1.962934939848945e-24
AP003110.1	4.6309222312588634e-23	1.7341043658455597	0.107	0.051	1.5364010686647532e-18
LINC01349	1.0095580592830132e-10	1.6957290962056883	0.034	0.012	3.349410773283253e-6
TNFSF18	1.6781535678875086e-10	1.6839665066251324	0.029	0.008	5.567610092180387e-6
CCL3	1.1202055297914422e-119	1.6791904276622207	0.363	0.133	3.7165058861890676e-115
TMEM88	1.3957194491120226e-6	1.6605919047338067	0.023	0.008	0.046305784163189576
KMO	1.9323291378266342e-55	1.659817713378109	0.279	0.151	6.410888380567425e-51
AC243829.4	4.3633991094830306e-18	1.6529659998211528	0.072	0.028	1.447644922553185e-13
PNPLA3	2.048626132862908e-21	1.5964125281500592	0.084	0.033	6.79672692099927e-17
GLUL	3.8522659082983884e-177	1.5959578027738914	0.622	0.347	1.2780662603961564e-172
AP000812.1	1.4192523660665159e-139	1.5827468706168475	0.472	0.205	4.70865357489888e-135
ANKRD20A3	1.756413605285891e-7	1.5793381957572121	0.013	0.002	0.005827253418257
TFRC	3.538812504553225e-76	1.5720867171677635	0.38	0.227	1.1740718246356234e-71
RCAN1	5.422352300889335e-103	1.5611264057150702	0.447	0.241	1.7989738228660545e-98
AC144831.1	5.545397527754156e-17	1.5542809215262534	0.047	0.014	1.8397965377829963e-12
HBEGF	3.472922689737576e-51	1.5535618624046754	0.208	0.087	1.1522115607742355e-46
BBS5	2.831891706114771e-27	1.544357734919665	0.167	0.092	9.395367113376975e-23
ZBED3-AS1	2.3718578537387216e-43	1.538672580632899	0.18	0.079	7.869112801348957e-39
ATF3	8.98751372413239e-50	1.5368698123094142	0.196	0.076	2.9817874282554026e-45
AC135050.3	3.6783181599337365e-44	1.515671459813418	0.212	0.102	1.2203556159212158e-39
