gene	cluster_1	cluster_2	cluster_3	cluster_4_1	cluster_4_2	cluster_4_3	cluster_5	cluster_6	cluster_7
PTPRC	32.72	65.07	56.95	53.05	44.97	67.07	51.15	35.32	19.05
CD68	7.82	17.15	17.95	10.45	6.15	14.63	15.69	8.46	1.49
ITGAM	22.24	55.09	37.38	25.4	17.04	41.06	40.48	31.84	1.79
CSF1R	37.03	77.81	50.94	34.89	13.13	44.72	50.31	51.24	1.19
LYVE1	46.36	61.87	71.84	15.43	11.45	18.29	61.92	48.01	2.98
CD163	77.38	93.85	94.82	57.72	33.8	80.89	86.61	69.4	3.87
MRC1	82.66	94.91	95.66	51.61	30.45	76.02	90.38	78.11	7.74
FOLR2	13.76	29.55	23.62	4.18	1.68	4.88	18.31	17.41	0.6
TIMD4	8.02	5.09	27.27	1.45	3.07	3.25	24.9	1.74	0.6
CLEC4F	0.04	0.44	0.1	3.7	1.4	4.88	0.52	0.75	0
CD5L	1.04	0.34	2.86	0.64	1.4	0	3.56	0	0.89
MARCO	9.52	15.12	24.26	3.86	5.03	8.94	26.67	13.18	0
ID1	1.04	1.6	1.23	1.29	0.84	0.81	1.26	2.49	0.3
VSIG4	30.91	63.86	55.67	23.47	8.38	37.8	43.41	36.32	0.6
P2RY12	11.52	40.12	17.55	13.34	6.15	16.67	13.81	25.87	0.89
TMEM119	1.35	4.46	2.71	0.48	1.4	2.85	4.18	1.99	0.6
CX3CR1	0.89	5.96	1.04	4.66	1.12	3.66	2.82	1.99	0.3
HEXB	9.71	22.09	20.02	13.67	10.61	21.54	24.37	16.42	6.85
SLC2A5	5.13	15.5	8.78	2.89	5.31	4.07	9.73	8.96	1.19
C1QA	26.97	55.47	44.33	25.4	9.78	35.77	33.05	32.09	2.68
PPARG	23.01	21.95	49.56	14.47	21.51	27.24	51.26	15.42	8.33
FABP4	2.47	2.03	5.42	4.18	2.79	6.5	8.79	0.25	3.27
ITGAX	9.06	10.13	17.6	32.8	20.67	47.56	12.03	7.21	1.79
SIGLEC1	44.59	63.28	70.71	15.59	9.22	26.02	68.93	34.08	0.89
CD14	16.07	38.42	30.67	13.18	8.66	28.46	24.16	25.12	0
VCAN	8.02	17.73	16.03	31.99	25.14	46.75	23.95	34.08	2.68
CCR2	0.31	0.34	0.35	2.41	1.4	7.32	0.63	0.25	0
LYZ	3.2	10.71	9.71	25.72	12.29	47.97	7.32	4.23	1.19
S100A8	0.54	0.58	0.89	3.38	5.31	6.5	0.63	0	0.89
S100A9	1.23	2.37	3.25	2.25	3.35	6.5	2.62	1	4.76
FCN1	0.46	0.87	1.28	28.94	15.64	50	3.45	1.49	0.6
SELL	0.89	1.16	1.97	2.25	2.51	3.25	3.66	0.75	3.57
FCGR3A	6.44	18.94	12.28	13.67	3.35	8.13	5.75	10.45	0.3
MS4A7	57.65	86.09	88.26	30.23	15.64	50.81	68.72	53.23	2.98
NR4A1	23.58	26.5	52.22	31.99	26.26	52.03	41	41.04	8.04
CDKN1C	1.62	4.94	1.97	2.57	1.12	0.81	2.62	8.46	0.3
LILRB2	6.86	13.28	13.46	20.42	12.57	21.54	10.56	6.72	0.6
CD80	2.66	3	8.53	1.77	1.12	5.69	5.65	1.49	0
CD86	22.47	50.82	47.78	35.85	19.55	73.17	35.46	28.36	2.98
STAT1	12.83	32.36	22.19	15.27	12.29	24.39	20.19	24.88	6.25
IL1B	0.54	1.45	2.66	3.86	2.79	17.89	0.63	0.25	0.3
CXCL9	0.08	0.15	0.05	0.16	0	0	0	0.25	0
CXCL10	0.19	0.24	0.2	0.32	0	0.41	0.31	0.25	0
HLA-DRA	21.5	49.18	31.11	51.13	29.61	76.42	23.33	36.32	10.12
NOS2	0.12	0.1	0.25	0.16	0.28	0.81	1.26	0.75	0
TNF	1.93	3.2	8.93	1.29	1.12	4.88	7.64	1	0
IRF5	5.78	12.74	10.4	4.98	3.63	10.57	11.09	5.22	0
SOCS3	1.23	1.84	2.66	1.61	2.23	3.25	0.84	2.49	2.68
CCL18	0.73	0.19	4.04	0.16	0.84	0	2.62	0.5	0
ARG1	0.27	0.63	0.89	0.48	0.28	0.81	1.57	1.24	2.38
IL4R	14.49	32.56	25.94	18.81	18.99	28.46	29.18	26.37	8.93
STAT6	21.7	44.91	37.33	24.44	24.3	42.68	37.87	43.28	6.85
MAFB	12.87	31.69	26.04	13.83	5.87	17.07	21.03	15.92	1.19
TGFB1	32.79	54.84	48.27	33.76	29.05	48.78	55.02	42.04	13.39
CD209	3.12	7.61	6.8	1.93	0.56	2.03	9.41	2.74	0
TREM2	2.81	9.79	3.35	4.66	1.12	2.85	3.35	1.99	0
APOE	32.52	60.51	41.91	27.33	11.17	15.04	32.22	68.41	1.79
LPL	5.01	7.32	10.5	12.7	10.89	17.07	17.89	4.23	2.98
CD36	10.94	11.39	27.17	16.24	16.2	27.24	34.31	5.97	59.23
MSR1	42.81	75.58	71.79	38.59	20.11	55.28	61.3	51.24	1.79
PLIN2	11.52	18.36	25.89	10.61	9.5	17.89	26.88	13.18	6.25
SPP1	1.23	3.25	4.39	4.66	3.35	4.47	11.4	1.24	1.79
GPNMB	10.44	14.24	30.18	4.5	5.03	4.88	22.18	5.47	0.6
CD9	4.16	11.77	6.07	7.07	5.87	6.1	8.16	23.88	0.6
LGALS3	6.2	10.51	16.32	5.79	4.19	10.57	14.44	5.97	10.12
CLEC9A	0.62	1.99	0.84	1.13	3.91	2.03	2.72	0.5	0
XCR1	0.12	0.15	0.1	0.32	1.68	0	1.26	0.25	0
BATF3	2.12	6.88	2.86	2.73	4.75	6.1	2.09	2.74	0
IRF8	13.49	27.23	26.04	13.34	24.3	21.54	24.27	10.45	2.68
THBD	1.16	2.47	5.03	3.05	1.12	8.54	3.66	2.49	1.49
CD1C	0.04	0.29	0.25	4.34	1.68	11.38	0.31	0.25	0.3
SIRPA	15.88	41.18	29.59	17.68	10.06	33.74	23.33	29.35	0.89
CLEC10A	4.39	11.77	5.57	13.83	5.87	29.27	7.53	4.73	0
FCER1A	0.04	0.05	0.1	0.8	0.84	8.94	0.42	0	0
IRF4	0.66	0.97	1.48	2.25	5.31	7.72	3.97	1	2.38
HLA-DQA1	7.4	18.99	13.26	31.67	18.99	69.11	6.69	15.17	2.38
CD2	1.7	1.7	3.8	3.05	3.91	7.72	6.07	1	3.27
CLEC4C	0.62	1.16	1.48	0.48	8.94	2.03	6.17	1.24	0.89
NRP1	64.78	87.74	86.05	23.95	26.54	36.18	75.42	66.17	5.06
TCF4	38.11	70.2	66.32	29.74	28.77	40.65	59.41	67.66	11.01
LILRA4	0.04	0.97	0.99	0	3.35	0.41	1.15	0.5	0.3
GZMB	0.15	0	0.1	0.16	0.56	0.41	0.31	0.5	0
IRF7	2.08	4.8	3.5	3.22	5.31	8.54	3.66	3.23	1.19
