gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FST	1.9315672447879218e-11	6.073286613313503	0.571	0.4	6.408360648032888e-7
AC069544.1	8.852574149511743e-7	4.75544128673185	0.714	0.422	0.02937018525583511
MEIS1-AS2	2.8565553249277444e-8	4.636601055717945	0.714	0.578	9.477193601512778e-4
LINC01798	3.065573481330091e-9	4.417699579455075	0.714	0.733	1.0170653139008843e-4
LRCH2	3.200033519007341e-7	4.3708425144555685	0.714	0.733	0.010616751206010655
AC139491.7	5.7993449818178896e-11	4.219965087691965	0.571	0.689	1.9240486846177213e-6
FAM222A	2.4762168138678203e-7	4.072314290034615	0.714	0.733	0.008215344523369267
GGT5	3.992626023345437e-10	3.9422188406819627	0.571	0.8	1.3246335357653156e-5
PDGFD	1.4176140461449647e-7	3.9367596995694165	0.857	0.889	0.004703218120895149
TMEM150C	3.1539619649710606e-7	3.7526455589978074	0.857	0.8	0.010463899611184487
AP003716.1	4.0678870966748524e-7	3.7426359509046216	0.571	0.578	0.013496029020638158
ALDH1L1	9.545148831128365e-7	3.554404663984272	0.714	0.756	0.031667940277034574
ABLIM1	4.670638220852785e-7	3.5351826625676313	0.714	0.933	0.015495776425323285
PRDM5	9.684522255878125e-8	3.5016132331228533	0.714	0.778	0.0032130339488326853
TPD52L1	3.1828527209490946e-8	3.4197279696977123	0.714	0.867	0.001055975047229281
CDH11	5.905691424704171e-7	3.174117440979523	0.571	0.733	0.019593312439741026
PTH1R	7.788101631604402e-7	3.150222635095357	0.714	0.667	0.025838584783173923
KALRN	2.3645195121449253e-9	3.110157416344573	0.857	0.956	7.844766385443219e-5
PRKG1	1.9175790261172413e-7	3.082349325625801	0.857	0.978	0.006361951934949171
ABCA8	1.0122857876182735e-7	2.9597351008102604	0.714	0.844	0.003358460557581146
RIC3	9.454652423029901e-8	2.805743809931947	0.571	0.889	0.00313677003438863
LINC01483	5.414703620874748e-7	2.8020094878150412	0.571	0.889	0.01796436220297615
PRKCB	1.1839525033018968e-7	-2.789933884446462	0.429	0.978	0.003927999220204703
TSHZ2	1.1097079797822654e-6	2.775212003431144	0.714	0.956	0.03681678164523622
CACNA2D1	2.1103562612064555e-7	2.7644760969352715	0.714	0.933	0.0070015289678046575
GULP1	2.3323255631322413e-8	2.7477558005065625	0.714	0.933	7.737956520803837e-4
ABCB1	5.593252605678992e-7	2.72693180385521	0.571	0.911	0.018556734169861193
CNTN6	2.7708476694812477e-9	2.7259570155074377	0.571	0.8	9.192841313037936e-5
RORA	1.2914362015871103e-8	2.6183899270948094	0.857	1	4.284597886005556e-4
MAGED1	4.17605613112523e-7	2.592769630814812	0.857	0.933	0.013854901426234176
PLCXD3	5.668343116270081e-9	2.592050817645665	0.571	0.778	1.8805861956849247e-4
AC023095.1	7.268183640769592e-7	2.589521056586391	0.571	0.556	0.024113652864981273
C1orf21	2.5416937007918413e-7	2.5383708324207053	0.714	0.889	0.008432577191117091
APBB1IP	6.9901523903014875e-9	-2.4987143059249055	0.571	1	2.3191228585303246e-4
DNM3	6.646023519248794e-7	2.4901394235412657	0.714	0.911	0.022049512229811725
NFATC4	4.803137915007289e-7	2.4834609590063943	0.429	0.689	0.01593537066061968
NFIB	4.427047363086083e-7	2.4614353786310197	0.714	0.911	0.014687615036510697
PDGFRB	1.3234826478060094e-7	2.4236904776436528	0.571	0.822	0.0043909183806259975
TNFAIP8	2.6129001366333816e-7	-2.4100104913389733	0.429	0.978	0.00866881878330857
AL162426.1	8.806088932977983e-7	2.4005699889113465	0.429	0.511	0.029215961252941056
PLA2R1	9.062295969876645e-8	2.3303760590149025	0.571	0.844	0.0030065979339259745
ADAMTS9	2.359912667936458e-7	2.310551417183118	0.571	0.822	0.007829482258412786
ADCY7	3.2936999959345714e-10	-2.289452872323654	0.429	1	1.0927508476512127e-5
MAST4	1.910154546537717e-8	2.285953881515476	0.857	0.911	6.337319739048185e-4
DUBR	9.647453237937809e-7	2.276777587726487	0.571	0.711	0.03200735560750627
TMEM8B	8.846725634182823e-7	2.273716495970998	0.571	0.756	0.029350781636528354
ZNF415	1.0197381172506223e-7	2.2729011177525544	0.571	0.822	0.0033831851516023894
ENAH	5.5444595403148424e-9	2.260062926196113	0.714	0.867	1.8394853416902552e-4
TGFBR3	2.646999682596399e-7	2.21732009449836	0.714	0.889	0.008781950846950074
MAP3K13	4.117169408857662e-8	2.1923339921863345	0.714	0.956	0.0013659532947767066
COBLL1	7.71656123751577e-10	2.1890761811657526	0.857	0.978	2.5601235217706072e-5
MXRA5	1.4481103139649401e-6	2.1871699140161716	0.714	0.756	0.048043955886414816
MAPK10	4.0356527649459934e-7	2.175950520843986	0.714	0.911	0.013389085178261323
LINC00271	3.971878888989205e-8	2.163031278130176	0.571	0.711	0.0013177502589999486
PALMD	1.247920602612614e-6	2.158843395792889	0.571	0.8	0.04140226183287869
DLG2	6.752874491842963e-7	2.1386679162248496	0.857	0.956	0.022404011701587397
AEBP1	3.6239622527015913e-7	2.115896909621631	0.571	0.822	0.012023219565788069
ZNF462	1.3075543533342287e-7	2.015583529520737	0.571	0.844	0.00433807307805697
PAM	1.0456069885766601e-11	1.9798718439549507	0.714	0.956	3.469010306000785e-7
MPDZ	6.018179154014558e-7	1.955381350371038	0.571	0.8	0.019966512979274098
ABCA5	3.1899454284396996e-7	1.9333147448671277	0.571	0.933	0.01058328194793439
ACTR3C	1.1855886841883909e-6	1.9326158348853435	0.571	0.867	0.03933427577531824
ARHGEF3	1.3391386291559882e-6	1.9295992068667105	0.714	0.978	0.04442860229950822
PICALM	2.0367890646482408e-7	-1.9209937682188918	0.714	1	0.006757455079783469
LIMCH1	3.728474015382966e-8	1.9185352651999492	0.857	0.978	0.0012369958240836068
TET3	6.442148340551886e-7	-1.8569907021360295	0.571	0.978	0.02137311554944899
TSPAN14	2.8504871642309584e-7	-1.8413835599930075	0.429	0.978	0.009457061264769051
CEP126	1.4896618706200646e-6	1.752726428073119	0.571	0.8	0.04942251188156188
RBPMS	1.276007778495547e-6	1.7336071282321628	0.714	0.978	0.04233411006714677
CCND3	1.0724204421814028e-6	-1.6878393049077667	0.714	1	0.0355796930102524
SCAP	2.3697951841939721e-7	1.6736975531296863	0.571	0.933	0.007862269482600341
FKBP5	6.692943003674872e-9	-1.6706664325228378	0.714	0.978	2.2205177003292124e-4
PRPF38B	6.527200765500482e-7	-1.6632086832531987	0.429	0.978	0.021655293979700948
SNED1	1.296955636156061e-6	1.6538017357394839	0.857	0.978	0.043029097140749636
TNFSF8	2.6892347683349425e-7	-1.6069708839521106	0.429	0.933	0.00892207419090484
DOCK11	4.743382982937949e-7	-1.5452478040898214	0.714	0.978	0.01573712172249323
BIN2	1.953950604486557e-10	-1.4676114664639657	0.571	0.978	6.48262192050505e-6
CELF2	2.978114328544292e-8	-1.462674119802618	0.714	0.978	9.880489907811397e-4
PIP4K2A	3.1430621676318155e-7	-1.3962111156780739	0.571	0.978	0.010427737353552074
MBP	1.5749818162592576e-9	-1.349732147114671	0.571	0.978	5.225317171803339e-5
SH3KBP1	1.2570229882778975e-6	-1.3476279479684972	0.571	0.978	0.04170425168209581
CAB39	1.464275490010176e-10	-1.3411436909145094	0.571	0.978	4.858026793206761e-6
CDC42SE2	4.804746804328023e-9	-1.3000340184151136	0.571	0.978	1.5940708472719084e-4
TOM1L2	8.371572420060186e-8	1.2986515148704147	0.714	0.956	0.002777436581803368
OSBPL3	1.2906268141847615e-11	-1.2830190938486599	0.714	0.978	4.281912581420783e-7
ACER3	1.2777994483226786e-8	-1.2089946280315205	0.714	0.978	4.2393552297001507e-4
SNX29	3.662872093763618e-9	-1.202812728790408	0.714	0.978	1.2152310745479554e-4
AC004593.3	2.9645047722870507e-8	-1.1846661623757375	0.714	0.978	9.835337483016747e-4
PTAFR	1.364359243437997e-6	-1.1660404055739075	0.571	0.933	0.04526534661954243
ZBTB20	7.948302825050039e-8	1.1555550947140305	0.857	1	0.0026370084282668514
NRROS	6.422144522916433e-7	-1.129809404213776	0.571	0.978	0.02130674888367985
KIAA1958	1.1688020777642469e-6	1.1077601066319782	0.571	0.933	0.038777346533984416
C22orf34	6.372533641845064e-9	-1.088194847253538	0.571	1	2.114215486354937e-4
SMAP2	2.3562745149494509e-7	-1.0107558403833825	0.857	0.978	0.007817411958247793
FLI1	3.58893064047988e-7	-0.9916622635271002	0.714	1	0.011906995185920099
CD53	3.4046349571710084e-7	-0.9740453979979952	0.571	0.978	0.011295557397406255
AKT3	1.152971410741805e-6	0.9691690177559146	0.714	0.978	0.038252132494180864
GRB2	2.2447081688382916e-7	-0.9366336010087686	0.714	1	0.0074472682917548
CORO7-PAM16	9.306950699659837e-7	-0.9169285017763149	0.571	0.956	0.03087767033626144
ANKRD12	1.1658975939650325e-6	-0.8506352342707677	0.571	1	0.038680984474977885
ARHGAP15	9.451346558833053e-9	-0.8291310214667389	0.857	0.978	3.135673247824042e-4
STK10	9.832988321431534e-7	-0.8197770164078908	0.714	0.978	0.0326229053540134
GAB3	7.781166534293626e-7	-0.5573126728728067	0.571	0.933	0.02581557621082596
PTPRC	2.706795652079287e-7	-0.5550744629657574	0.571	1	0.00898033593490345
CDK19	6.105545845843e-7	-0.5381469942213707	0.714	0.978	0.02025636945275332
VPS13C	6.282007646300933e-8	-0.4573204946176339	0.714	0.978	0.0020841816768132604
IKZF1	6.704498620815699e-7	-0.19548088182129586	0.857	0.978	0.022243515074280244
INPP5D	4.099490256386643e-10	-0.11339698101151408	0.857	0.978	1.3600878823613966e-5
CCDC88A	4.535109688403392e-7	0.08167651258290531	0.857	1	0.015046133413215935
TBC1D22A	5.408071331939732e-9	-0.07169143527094768	0.857	0.978	1.794235825797645e-4
