gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FST	4.045277964247281e-10	6.211250309375369	0.571	0.328	1.3421018701983204e-5
LRCH2	6.009161033634372e-7	4.6701287175331405	0.714	0.623	0.019936593561288754
MEIS1-AS2	7.697825036881609e-8	4.511117461745014	0.714	0.492	0.002553907412486211
LINC01798	1.087374182790721e-8	4.494333434130943	0.714	0.656	3.607581326244775e-4
AC139491.7	2.9561459525202576e-11	4.232282831245437	0.571	0.59	9.807605426676458e-7
FAM222A	3.377069157189234e-7	4.198017411941238	0.714	0.623	0.011204102342806721
PDGFD	2.408803915933565e-7	3.9360932112184863	0.857	0.82	0.007991688751892788
GGT5	1.7560367451746207e-9	3.8879054742333232	0.571	0.721	5.826003109465839e-5
PRDM5	2.0557456207886108e-7	3.619262165665942	0.714	0.639	0.006820347246090374
CDC42EP4	1.3537752451087653e-6	3.5429230212018874	0.714	0.738	0.04491420130697351
TMEM150C	3.563902401036763e-7	3.5226803599767402	0.857	0.77	0.011823958995919669
TPD52L1	1.4700090298839665e-7	3.425860378878736	0.714	0.803	0.004877048958446035
AP003716.1	9.74328992412266e-7	3.4043823384616543	0.571	0.508	0.03232531298126175
PTH1R	4.3415764831543603e-7	3.3152716097843173	0.714	0.607	0.01440404829816122
MRAP	1.1115819128014614e-6	3.1557975055023078	0.571	0.656	0.03687895312101409
KALRN	9.778352978184505e-10	3.0987089221873414	0.857	0.902	3.244164167572273e-5
PRKG1	1.607328745405772e-7	3.089969781750413	0.857	0.967	0.0053326345786327296
ABCA8	4.690590732882784e-7	3.082806913506503	0.714	0.787	0.015561972874485214
PRKCB	3.298099218964148e-9	-3.0524153859540117	0.429	0.984	1.0942103778757353e-4
GULP1	1.1442370659965673e-8	2.9799809136888245	0.714	0.82	3.796235313856811e-4
RIC3	5.513112577220585e-7	2.900832148863557	0.571	0.803	0.018290853597444735
NCAM2	1.0699234755005874e-6	2.873730699818593	0.857	0.803	0.03549685114668299
CNTN6	1.4332141174633018e-8	2.8606819030496555	0.571	0.705	4.7549744775079967e-4
CACNA2D1	2.932232991959791e-7	2.812518009091146	0.714	0.902	0.009728269397424999
ABCB1	3.081754679683398e-7	2.772062238378738	0.571	0.869	0.01022433750078561
MAGED1	4.2241724571050315e-7	2.7105989316291668	0.857	0.918	0.014014536960937364
PLCXD3	8.511486461002966e-9	2.6962875601895937	0.571	0.705	2.823855863166954e-4
RUNDC3B	1.253533101253422e-6	2.6636329517541646	0.571	0.77	0.04158846770028478
RORA	2.226436378008421e-8	2.6154970205847174	0.857	0.967	7.386647971318539e-4
MXRA5	1.4787382233657556e-6	2.5314676388736803	0.714	0.623	0.04906009803660567
NFIB	4.654671129855633e-7	2.5061032382804944	0.714	0.852	0.015442802407522034
PDGFRB	2.035588992132007e-7	2.497118853538121	0.571	0.738	0.0067534735991963595
TNFAIP8	4.1987122691412676e-8	-2.4886869966863694	0.429	0.967	0.0013930067695329983
APBB1IP	1.1263788625036798e-9	-2.4669291447551314	0.571	1	3.7369871521284584e-5
NFATC4	4.4332527007478537e-7	2.454705116201029	0.429	0.607	0.014708202485271155
ZNF415	2.4373574304425244e-7	2.444731775876816	0.571	0.672	0.008086420746979163
C1orf21	4.766142897326186e-7	2.373944903996386	0.714	0.869	0.015812632290459087
ADCY7	3.536423031680734e-10	-2.3417574894505715	0.429	1	1.1732790692207171e-5
PLA2R1	1.4706231770554055e-6	2.330921833469751	0.571	0.738	0.048790865145167187
ENAH	1.978692644467766e-8	2.316471870592922	0.714	0.803	6.564708586550707e-4
TGFBR3	6.543443158899893e-7	2.2309862184869487	0.714	0.836	0.021709181368282177
COBLL1	1.9373767317638514e-8	2.2212882841907344	0.857	0.951	6.42763478297293e-4
PIK3AP1	4.294137857798431e-7	-2.1942970546027554	0.429	0.984	0.014246661170817855
