gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPTA1	1.1724742878606247e-6	-7.772340259697442	0	0.031	0.038899179448351945
AL161669.3	1.1527764262037796e-6	7.307339712748563	0.01	0	0.038245663492162796
FCRL1	7.943184290255975e-16	-7.270407118329529	0	0.081	2.6353102519782246e-11
SLC4A1	6.696796832796214e-7	-7.185528404281589	0.007	0.047	0.022217962852167997
IGHA1	1.5272546414317443e-22	-6.836766708674867	0.005	0.135	5.066972723878098e-18
HBA2	1.0019933416810298e-10	-6.288148480281873	0.022	0.104	3.3243133096951527e-6
IGHM	1.0658829059175249e-14	-6.031799113893426	0.002	0.089	3.5362797169625725e-10
HBA1	3.7284071072775803e-7	-5.92938763431421	0.025	0.074	0.012369736259814829
HBB	5.365181950309302e-7	-5.8576554234634575	0.042	0.09	0.01780006415654117
AC022537.1	1.3108963462872544e-28	5.67761441012915	0.067	0.001	4.3491608080772235e-24
AC009414.2	4.7164012780673603e-7	5.415663676037647	0.015	0	0.015647604520244083
CD52	5.6192237437953803e-8	-5.406066062835897	0.002	0.049	0.0018642898614789933
ADAMDEC1	4.6981351620582926e-7	-5.348777517038816	0.002	0.04	0.015587003027160798
IGKC	1.463434022391394e-47	-5.137778156850915	0.025	0.306	4.855235056087928e-43
AL590426.2	8.206793550517336e-13	5.007749377216169	0.032	0.001	2.7227678962551364e-8
TMEM74B	1.600864672863541e-8	4.987145999143322	0.022	0.001	5.31118872515937e-4
LINC02593	4.216648598277272e-7	4.924163319545573	0.02	0.001	0.013989575054504506
CA1	1.2808808108465933e-6	-4.864254490074877	0.027	0.047	0.042495782661457426
IGHG4	6.727350218175935e-12	-4.769756687288316	0.005	0.081	2.23193298188423e-7
CYP11B2	1.9438057788714355e-29	4.7625252699752245	0.117	0.01	6.448964432561762e-25
HS3ST2	2.3252984796185183e-28	-4.762512917260513	0.055	0.244	7.714642765830358e-24
BLK	2.0526659865239218e-11	-4.747106968796863	0.005	0.078	6.810129943490416e-7
