gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PTGDS	1.702375066284316e-7	3.460453471497425	0.75	0.7	0.005647969757411476
AC021006.2	5.739837213084847e-9	3.225269400821383	0.875	0.525	1.9043057921851598e-4
AC079950.1	4.2418185006156655e-7	3.153407545090065	0.875	0.475	0.014073081239492594
AL136537.1	4.619842274402661e-7	3.1190924941089726	0.875	0.375	0.015327250713785708
DGKB	2.4565389427891578e-12	3.0918530342611685	1	0.725	8.150059250491589e-8
SLC22A14	1.1855183939730901e-6	3.08653091032215	0.875	0.45	0.03933194375684521
AC022639.1	8.347960636911918e-10	3.0343726693939037	0.875	0.625	2.7696029005082672e-5
LINC01387	5.1930182156351913e-8	3.016839156861943	0.875	0.4	0.0017228876534012875
PDGFRL	2.3056993584238195e-7	3.0142098465529514	0.75	0.55	0.007649618761442706
CGN	1.7366368908900167e-8	3.0051423825223993	0.875	0.4	5.761640212905808e-4
AC012593.1	1.3083666076888599e-7	2.9920967432468015	0.875	0.675	0.00434076789432933
AL445623.2	4.5902005489364065e-9	2.9831728796541794	0.875	0.5	1.5228908361206316e-4
SLC9C1	6.619011410555202e-7	2.9814027602126085	1	0.55	0.021959894156798995
LINC01470	2.38142453542081e-10	2.9719694337718527	1	0.625	7.90085218116562e-6
AC093912.1	4.0214777316940225e-7	2.964462081094332	1	0.525	0.013342056670441258
SYNPR	5.203567006320493e-8	2.9597964795898806	1	0.6	0.00172638742568695
MUC17	1.0003811394694677e-6	2.9566025266392884	0.75	0.55	0.03318964506417853
AF121898.1	1.243203962369417e-6	2.9485483750323453	0.75	0.575	0.04124577785953015
ADAMTS19	2.205585811616496e-12	2.93335450173568	1	0.65	7.317472047200049e-8
AC239727.1	9.163547625989146e-7	2.931487002148411	0.875	0.5	0.03040190195874419
LINC01194	1.3094691545860318e-9	2.929275831113886	1	0.55	4.344425814170078e-5
COBL	2.0881342035160726e-11	2.922991034070277	1	0.7	6.927802847005274e-7
SNTG1	4.498058444177853e-13	2.9148570489209664	1	0.7	1.4923208500248865e-8
MIR3976HG	2.8279503865479948e-8	2.8929948164626937	0.875	0.425	9.382290997450283e-4
FSTL5	2.5828219156780602e-12	2.886420715773389	1	0.775	8.5690282696451e-8
SKOR2	8.055004802291153e-8	2.86782099458106	0.875	0.3	0.0026724089432561358
