gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AC090809.1	1.2425034644947745e-7	3.3030222774296747	1	0.517	0.004122253744154314
AC010343.3	1.5146140030091423e-7	3.085930434271431	1	0.617	0.005025034877783431
DGKB	9.530034524749398e-7	3.079937769354252	1	0.55	0.031617795542761076
AC022639.1	9.766260970439726e-9	2.9900418084455813	0.875	0.6	3.240152402162788e-4
LINC01470	3.539707912686275e-7	2.961423769136136	0.875	0.567	0.011743688941919255
CDH18	7.504481587336293e-8	2.9466364130260305	1	0.683	0.0024897618562305618
LAMA1	7.215134765884665e-8	2.8799843673549073	1	0.65	0.0023937652612775555
FAM155A	4.318352124226594e-7	2.8506263215590697	1	0.65	0.01432699684254657
CSMD3	5.671786257400582e-8	2.8394148366025385	1	0.683	0.001881728526617791
SNTG1	3.2489747737574265e-10	2.8308955873300894	1	0.667	1.0779123606895013e-5
MIR4527HG	1.350205062527499e-6	2.813667481597839	0.75	0.517	0.04479575335947483
GNGT1	4.8745692687215055e-8	2.780104278394276	0.875	0.55	0.001617235846283734
LINC00871	6.588105066997363e-9	2.7035744654258393	0.875	0.583	2.1857356180777154e-4
AL591518.1	1.1082306959829996e-6	2.699960225514743	0.75	0.483	0.03676776980062798
NRXN1	2.2354828418743098e-8	2.6974695229058234	1	0.75	7.416661424486398e-4
EPHA6	2.7980730533969243e-7	2.650698304265097	0.875	0.633	0.009283166969254976
AC099753.1	1.6466205033662912e-7	2.6331054015973208	0.875	0.583	0.005462992844018345
AC034268.2	5.543242878617675e-13	2.5987175272421625	0.875	0.7	1.839081689838986e-8
FSTL5	1.9492963145358588e-7	2.572001898911946	1	0.65	0.006467180382735619
LINC01322	4.0108520532401813e-7	2.5325834748722587	1	0.65	0.013306803857034949
KCNS3	5.560370867545652e-7	2.4895247962606772	0.875	0.583	0.01844764242725621
LINC02240	5.679782565697739e-7	2.4627209932010534	1	0.7	0.01884381461821539
EGFLAM	1.4606753605992638e-6	2.4480740055385772	0.875	0.633	0.04846082643860177
NTRK3	1.1251040629785868e-7	2.41771437335045	0.75	0.55	0.0037327577497440574
AC114689.3	1.3554641894699072e-6	2.3672825208677066	0.75	0.617	0.04497023541404311
LINC01060	2.5740071194825736e-7	2.2861293891766596	0.875	0.6	0.008539783420307335
GRM7	3.681515475497585e-7	2.285553367811205	0.875	0.667	0.012214163893058337
DCC	2.5840287587502665e-10	2.276038322874696	1	0.8	8.57303221290576e-6
C8orf86	1.117569949728017e-6	2.26718892283726	1	0.65	0.03707761822212642
PTPRD	8.417593436536008e-8	2.2585294013759345	1	0.8	0.002792704974439551
RBFOX1	7.157021300894433e-8	2.2400325964256527	1	0.867	0.002374484956997746
GPR156	1.1366667089535014e-6	2.220942438505868	0.875	0.583	0.03771119140295032
CPNE5	2.6255745339276044e-8	2.220754841843703	0.75	0.583	8.710868631211613e-4
GABRG3	1.1173384238193067e-7	2.2183461859216433	1	0.733	0.0037069936887053137
LINC01122	1.143881082023233e-6	2.216102764805841	0.875	0.667	0.0379505426582848
RNF219-AS1	8.78203273065927e-8	2.2051465034310636	1	0.65	0.002913614999050826
CNTN5	2.446453173411003e-7	2.172336010964919	0.875	0.767	0.008116597693425685
PKNOX2	3.894984511939012e-7	2.161713463237517	1	0.733	0.012922390115260059
CSMD1	5.062871523674362e-7	2.1499804025471403	0.875	0.8	0.016797088854094432
IQCJ-SCHIP1	3.4590409756226154e-8	2.131351879074402	0.875	0.733	0.001147606024482315
PPFIA2	6.550501804776537e-8	2.0912573224125737	0.875	0.633	0.0021732599837707115
CNTN4	3.907428662911547e-7	2.064751267015017	1	0.767	0.01296367607494164
KCNH1	5.023553808929548e-7	2.0540719272299985	0.875	0.717	0.016666644471885563
AC090578.1	9.290633844660531e-7	2.04758781631173	0.75	0.683	0.030823535906430242
KSR2	1.6165515670092115e-7	2.0367424416305466	1	0.817	0.005363233133866461
AL589740.1	9.616860471441297e-8	2.0213605815834086	0.875	0.733	0.0031905857986100792
AL445250.1	9.562258915790705e-7	1.9863121782294788	0.75	0.617	0.031724706404918826
KIF6	9.546122488137527e-7	1.965982376272637	0.875	0.683	0.031671170578893876
ALK	1.3416719080672896e-7	1.940847316242738	0.875	0.767	0.004451264889394847
FAM189A1	1.0138743837548826e-6	1.9172783309041366	0.875	0.783	0.03363731042983574
PLCB4	1.0567865664488904e-8	1.8849927536194446	1	0.717	3.5061007915074835e-4
AC113414.1	6.741043495014264e-7	1.869779850812975	1	0.817	0.022364760003408823
SHANK2	2.818535601181184e-7	1.8693146743490012	1	0.817	0.009351055564038814
TENM2	1.4028672094110726e-6	1.8369091118262908	0.875	0.767	0.04654292540663116
PACRG	4.5154751312702495e-8	1.7272973490995098	0.875	0.733	0.0014980991843015308
EYS	4.284890473151344e-11	1.7250547351480012	1	0.8	1.4215981122774213e-6
NRG3	1.6261053221458973e-11	1.684178621264784	1	0.767	5.394929627283443e-7
LINC00504	7.176375963300699e-7	1.671242218727489	0.875	0.783	0.02380906253344273
GRID2	2.879758240270325e-7	1.6464846104868942	1	0.717	0.009554173913744857
NALCN	1.2501060450411568e-6	1.5903704679256951	0.875	0.7	0.04147476825633046
SEL1L2	8.223615385043458e-7	1.2097613356466892	0.875	0.667	0.02728348876295868
DAB1	1.4541000030929277e-6	1.102394024186954	1	0.883	0.048242675802614064
