gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HBQ1	8.272900143819295e-28	11.625897281225715	0.054	0	2.7447000807149276e-23
AC024267.1	5.234547591251732e-163	10.486626354869069	0.333	0.001	1.736665854349587e-158
CYP17A1	5.300222570800217e-73	-9.929478224454428	0	0.393	1.758454842314388e-68
HBM	1.125663014153578e-244	9.453590496205898	0.515	0.006	3.734612182057326e-240
CA1	0	9.301600671025938	0.845	0.017	0
AC100835.2	3.59768399899384e-165	9.040972630263619	0.351	0.002	1.1936036203461864e-160
SPTA1	0	9.036406948366599	0.661	0.007	0
KLF1	5.5585073898358204e-117	8.865145732776865	0.256	0.002	1.8441459967258302e-112
ETV5	1.1877458077459046e-49	-8.803078722977153	0	0.285	3.940584266358588e-45
ALAS2	7.063529247019246e-228	8.65595524869592	0.485	0.004	2.3434670982835753e-223
HBZ	1.1624550994449687e-7	8.63233588265593	0.018	0	0.003856677283428573
CD14	2.412186435073419e-43	-8.550073144778084	0	0.253	8.002910935643082e-39
SLC4A1	0	8.548611946315226	0.747	0.02	0
FAM198B	1.8529189573948108e-42	-8.392659372048673	0	0.249	6.147429224948763e-38
GYPB	9.723799545795651e-178	8.366924992058042	0.393	0.005	3.226064975308623e-173
AHSP	3.69630167055508e-81	8.3445668202659	0.19	0.002	1.2263220052400589e-76
MARCO	2.1971467986447284e-25	-8.216217166916703	0	0.153	7.289473933863615e-21
HBD	1.3632586071323588e-62	8.171789115403461	0.152	0.002	4.522883080883027e-58
HSD3B2	7.444900863703325e-35	-8.165040854478281	0	0.208	2.4699947595508522e-30
CYP11A1	1.4595299728927259e-34	-8.127785827160345	0	0.206	4.8422825910661965e-30
CTSE	3.497692329232265e-30	8.123581114699473	0.074	0.001	1.1604293840693885e-25
DLEU7-AS1	2.513226060625062e-31	-8.065639082610774	0	0.188	8.338130101335768e-27
NOV	3.9603953791065905e-32	-8.05503652883507	0	0.192	1.3139403749261935e-27
PAQR9	1.2553939010765119e-15	7.912359317583138	0.039	0.001	4.165020345601544e-11
HEMGN	3.7512813031117793e-93	7.847014850574599	0.22	0.003	1.244562597933395e-88
MS4A14	3.627667186981179e-33	-7.821677272108841	0	0.198	1.2035511426247458e-28
HIST1H3C	3.775211065016019e-8	7.79611264242822	0.018	0	0.0012525017750403646
AL138900.3	1.4241910503315135e-14	7.788909343927373	0.036	0	4.725038647684862e-10
EPB42	5.2672023785125225e-148	7.783148519436903	0.345	0.006	1.7474997331190995e-143
HBA1	2.1686735357539327e-258	7.769477901048152	0.676	0.05	7.195008189570823e-254
GYPA	1.5156233732343907e-160	7.759969148018531	0.366	0.004	5.028383665379738e-156
LINC01807	3.2737261702423946e-26	-7.752964331923824	0	0.158	1.0861241315013193e-21
KEL	3.2519550791300547e-211	7.743777369219256	0.467	0.009	1.0789011366029782e-206
TRIM10	7.619536796447632e-56	7.739195827458702	0.134	0.001	2.5279337229574308e-51
RHAG	2.572412255922396e-148	7.6662736243442735	0.348	0.007	8.534492141473733e-144
HBB	1.14e-322	7.656461190272702	0.801	0.062	3.77007e-318
DCN	1.9669791654213597e-26	-7.622474547980373	0	0.16	6.525846777118445e-22
CA2	1.7362403813326243e-212	7.6009748800376595	0.488	0.01	5.760324713147248e-208
SIGLEC1	5.01268984326558e-101	-7.496165327386223	0.009	0.527	1.6630601093002215e-96
LST1	6.791512933550166e-23	-7.494274337691491	0	0.139	2.2532202459639386e-18
DUSP6	4.399639126517739e-19	-7.491878608462167	0	0.116	1.4596682730047904e-14
HBA2	4.2175439259283734e-280	7.4661903731789945	0.75	0.077	1.3992545483052564e-275
AL117190.2	5.0022623371123414e-26	-7.43309350051874	0	0.157	1.6596005755837614e-21
C3AR1	3.2376638214783038e-40	-7.3944369395882985	0.003	0.253	1.0741597260518569e-35
ADAP2	1.2174414744935633e-140	-7.375630963363526	0.006	0.643	4.039105579927295e-136
RGN	3.796130602911976e-23	-7.363032140163414	0	0.14	1.2594422501281063e-18
ST3GAL4	3.0833133290797295e-23	-7.356205723764245	0	0.141	1.0229508631887818e-18
PLEK	2.1073028960383323e-39	-7.334620692916536	0.003	0.25	6.991398818186375e-35
NFE2	2.534846675158685e-88	7.313556945739604	0.223	0.004	8.40986081417397e-84
HIST1H1B	9.890981958666648e-23	7.311214757804636	0.06	0.001	3.2815310844268335e-18
TLR4	1.1832485684130428e-24	-7.309907751440252	0	0.149	3.925663775423952e-20
TBX3	5.60760250493474e-22	-7.3034739694303665	0	0.133	1.8604342830621987e-17
EBI3	1.777600776163502e-21	-7.287451871232621	0	0.13	5.897546095077651e-17
HIST1H2AI	1.5574433568718432e-7	7.271171955301934	0.018	0	0.005167129825093714
ANK1	0	7.254094062447223	0.905	0.07	0
FGL2	1.738409202680926e-53	-7.243321604914956	0.003	0.322	5.767520211734508e-49
LINC00290	2.768923931927153e-20	-7.1701746719370725	0	0.123	9.1864589289547155e-16
AC110995.1	5.16327977879207e-22	-7.168429802101131	0	0.133	1.7130213322098452e-17
GSDME	1.7623861232202878e-22	-7.167410813455487	0	0.136	5.847068441007949e-18
CDH2	2.9332853003560333e-19	-7.1188028156531065	0	0.117	9.731760640991212e-15
SPTB	1.2830374489855594e-273	7.099591680902105	0.595	0.024	4.256733344499391e-269
SLC38A5	2.696681487303785e-84	7.079501047820551	0.211	0.004	8.946780170427767e-80
