gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CA1	4.4375889919582535e-26	8.500078879036616	0.8	0.571	1.4722588998619897e-21
SPTA1	7.572684352121555e-17	7.792360552160039	0.8	0.365	2.512389487503368e-12
HBM	4.861875626655178e-13	7.602030726293565	0.8	0.317	1.6130244766553883e-8
SLC4A1	2.300517929252053e-18	7.532310306309307	0.8	0.556	7.632428333879536e-14
ALAS2	3.393304488961694e-58	7.238822757432152	0.8	0.333	1.1257966303028213e-53
AC100835.2	3.629842709280436e-24	7.236344649041856	0.8	0.222	1.2042729156579702e-19
GYPB	1.861842312004575e-23	7.01825632338393	0.8	0.349	6.1770342385375785e-19
KEL	2.0735091944722428e-34	7.015615379328466	0.8	0.429	6.87928145450056e-30
ANK1	2.4147508385688787e-49	6.795850257342227	0.8	0.746	8.011418857119969e-45
SLC25A21	3.4277318242641973e-39	6.780890184287312	0.8	0.667	1.1372185873361327e-34
CA2	8.577863533684718e-60	6.752591861845026	0.8	0.587	2.8458777845705788e-55
HBB	7.0476365333045815e-9	6.728031452143056	0.8	0.841	2.338194372654461e-4
KLF1	3.507943017523367e-15	6.686761543022731	0.8	0.159	1.1638302549237274e-10
GYPA	8.266983729722283e-12	6.682281088083461	0.8	0.302	2.742737192009962e-7
EPB42	5.536196887446618e-28	6.522049302646361	0.8	0.286	1.8367440413481643e-23
RHAG	1.1169134655411798e-22	6.449894806097304	0.8	0.365	3.7055838046259726e-18
HBA1	4.540460219877492e-8	6.4487149933155035	0.8	0.698	0.0015063884871487556
HBA2	1.8868288644960277e-8	6.405320853951237	1	0.794	6.259932123738472e-4
CR1L	2.9058510558235957e-48	6.233370499105083	0.8	0.619	9.640742047905943e-44
SPTB	5.1554502647813105e-24	6.131102527493184	0.8	0.667	1.7104237343464953e-19
HEMGN	7.2289424561418e-12	5.919681027454397	0.8	0.222	2.398346238674165e-7
TFR2	8.782537500501685e-121	5.881501023100149	0.8	0.683	2.913782466541444e-116
DMTN	2.0517587914421663e-53	5.8072466438000525	0.8	0.587	6.807120142367675e-49
C17orf99	1.0502624074507997e-31	5.67201540339638	0.8	0.556	3.484455589199518e-27
ADAMTS3	1.6417114220574704e-11	5.651634461905183	1	0.492	5.44670598496007e-7
EGFL8	8.699478402366956e-15	5.637375438140038	1	0.492	2.886225949553285e-10
FHDC1	2.1671804186692525e-54	5.615125815859738	0.8	0.46	7.190054475018979e-50
MYL4	3.948667536824421e-19	5.557341725242613	0.8	0.365	1.3100494286922382e-14
GLOD5	8.378755156227045e-25	5.551220963914108	0.8	0.365	2.7798195981814466e-20
SLC38A5	1.7839322856946055e-19	5.548312176431525	0.8	0.365	5.918552144248993e-15
