gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FCN1	7.610037220299672e-19	5.771248792642709	1	0.525	2.5247820485788224e-14
CLEC4F	7.516892642170389e-8	3.9364141278133276	0.625	0.225	0.00249387947189287
CD1C	1.4254552464834412e-21	3.9144278626820155	0.875	0.25	4.729232871258113e-17
IL1R2	2.8287089351715085e-14	3.914242808045887	1	0.825	9.384807634218513e-10
MPPED2	2.9362534282173815e-20	-3.8643634884904783	0.875	1	9.741607998796807e-16
LYZ	1.1471452427002564e-19	3.8234427923708694	1	0.775	3.805883771706641e-15
CD300E	7.001340266464455e-20	3.7123135387807746	1	0.575	2.322834660204912e-15
VCAN	1.005899377285855e-34	3.6986450529686214	1	0.875	3.337272364021281e-30
FLT3	7.786852784824109e-24	3.6277627404375106	1	0.85	2.5834441484210946e-19
SERPINA1	1.263360771026304e-16	3.5863459460684006	1	0.675	4.191452030033969e-12
MKI67	4.0128654498400913e-10	3.5437114870470525	0.75	0.4	1.3313483702934471e-5
IL18R1	1.6920596866198886e-13	3.459763577876597	0.875	0.675	5.613746422298804e-9
FGF13	1.681968233363661e-12	-3.4483371832815277	0.875	0.95	5.580266007830618e-8
LILRA5	1.3245214512610057e-10	3.43276113395184	0.75	0.375	4.394364818848639e-6
CLNK	1.2588514140051771e-12	3.3112930701201653	0.875	0.775	4.1764913362449765e-8
GAPT	2.0441628788339398e-10	3.2865012961612035	1	0.325	6.781919183107362e-6
SULF2	3.3266469435115734e-22	3.2539739723843883	1	0.875	1.1036816564488347e-17
SPN	1.8594887165700318e-14	3.2417709335578455	1	0.675	6.169225714964395e-10
AC100849.1	1.699882759645881e-25	-3.199011463653521	1	1	5.639701031677139e-21
ITGA2B	2.4083753391181586e-8	3.166918061410159	0.875	0.725	7.990266862592315e-4
CCR2	2.042650783477405e-9	3.0818103181176215	0.875	0.3	6.776902504342988e-5
LILRB5	1.2043122761094677e-33	-3.0773765937953175	1	1	3.995546838448381e-29
VDR	1.7305941092143604e-18	3.075824205054465	1	0.75	5.741592076140483e-14
AC064805.1	5.120437540487804e-9	3.072406693820561	0.875	0.3	1.6988075628076386e-4
GPAT3	6.428513760253516e-15	2.9796158474860746	1	0.8	2.1327880102393092e-10
AC007240.1	5.41411594993201e-10	2.9559556836835608	1	0.725	1.796241248708943e-5
CENPF	1.2720112502471618e-9	2.9187471057751124	0.875	0.525	4.2201517249450084e-5
TOP2A	3.7002684370120224e-9	2.8902848738116966	0.75	0.6	1.2276380593474786e-4
MYO1G	1.2515083647852866e-19	2.883121686699826	1	0.65	4.152129301848145e-15
LGMN	3.9686399033216514e-17	-2.881270539023676	1	1	1.3166756607250242e-12
RRM2	4.7059038847139936e-7	2.873958988636976	0.75	0.4	0.015612777318315616
BUB1B	4.842816057874732e-10	2.8330586474414137	0.875	0.625	1.6067010835210998e-5
IDO1	4.7454680236327494e-8	2.831096359345964	0.875	0.45	0.0015744039262006373
ARHGAP11A	1.9179542512914253e-10	2.804345573683692	0.875	0.6	6.363196819509561e-6
CD1D	1.6457878237457496e-8	2.8031179440808813	1	0.65	5.460230262841273e-4
NCAPG	2.3146545664832663e-12	2.792170027171416	0.875	0.475	7.679329455221532e-8
P2RX1	1.4809845475832135e-22	2.7867095863466687	1	0.85	4.913462433516827e-18
COLEC12	4.229255182681828e-28	-2.750566126622855	1	0.975	1.40313999195835e-23
NRGN	1.0829987749324095e-6	2.749514582001429	0.875	0.45	0.03593065035593255
SLC2A6	2.7938548868325033e-11	2.7048266907291905	1	0.65	9.269172358044196e-7
KIF18B	1.233819062324937e-10	2.6966951111227466	0.875	0.55	4.0934415030754435e-6
GLT1D1	3.589962280064424e-7	2.6895672841517624	1	0.75	0.011910417856569738
SLCO4A1	3.330056701907157e-11	2.680981059858282	1	0.6	1.1048129119917374e-6
PRAM1	6.924208545837291e-20	2.6754088318740914	1	0.825	2.297244669252438e-15
CDCA3	1.791490614872999e-7	2.6541897814090385	0.75	0.45	0.005943628412964149
ANLN	4.582915647430323e-9	2.651245204652381	0.75	0.575	1.5204739243479583e-4
CD48	1.2137706395326592e-13	2.6306552816074245	1	0.7	4.0269268507775036e-9
CD244	1.5930706951859525e-10	2.629509850074779	0.875	0.6	5.285330645418434e-6
SGMS2	6.012198519562662e-20	2.6173232065644116	1	0.825	1.9946671028353044e-15
TMEM154	4.0382003510302525e-11	2.6131373716485076	1	0.8	1.3397537304613068e-6
KCTD15	1.0752313025309894e-6	2.6119806081127326	1	0.5	0.035672948924070635
FGR	1.0296157206321928e-14	2.6100732725590174	1	0.875	3.415956076341426e-10
DTL	9.222162131175196e-8	2.602773529385332	0.75	0.575	0.003059636730259995
E2F7	7.69927669983453e-7	2.6001088541502893	0.875	0.45	0.02554389030704102
AC016205.1	4.812740408065613e-9	2.5954702809568504	1	0.825	1.5967228851839285e-4
AATBC	2.6281914265148326e-9	2.591749645178633	1	0.675	8.71955069574826e-5
NCAPH	4.8041579018193484e-9	2.572122658188445	0.875	0.55	1.5938754670866053e-4
C11orf21	5.388394005608172e-10	2.567837899080751	1	0.575	1.787707479240623e-5
AC092546.1	1.4347123267894384e-9	2.562498075926879	0.875	0.575	4.75994508658932e-5
GTSE1	8.788356358235183e-9	2.5617393711743377	1	0.6	2.9157129889716864e-4
ITGB2-AS1	1.3004499519760835e-10	2.548715794499561	1	0.9	4.314502805671052e-6
EDA	3.0002173895760583e-29	-2.535198938682394	1	1	9.95382123339649e-25
CDCA2	4.1298233235952173e-7	2.511046710206214	1	0.55	0.013701514840691853
IQGAP3	4.6347462278421516e-8	2.5017187203124336	0.75	0.625	0.0015376697560111907
BUB1	4.208172598801129e-7	2.4815500492764637	0.75	0.525	0.013961454231042506
AP000812.1	1.5235302883494095e-7	-2.4766915474880986	1	1	0.005054616437656836
FAM20A	1.7875133624303046e-12	-2.474346913803297	0.875	0.975	5.930433082535022e-8
TPX2	2.383917900359752e-9	2.456359624367132	0.75	0.7	7.909124418023549e-5
SELENOP	7.735005135631827e-11	-2.434144139968174	1	1	2.5662426538485713e-6
TEDC1	2.5718203728398203e-12	2.4267161797882	1	0.625	8.532528450970672e-8
BRIP1	1.7026026137466825e-8	2.4251383947838696	0.875	0.775	5.648724691627369e-4
ME1	4.5262857271107e-18	-2.424707572095675	1	0.975	1.501685815683517e-13
ST18	6.050301305024785e-11	2.4070890898359067	1	0.775	2.007308463968073e-6
LYVE1	4.0584006283705164e-25	-2.4055476091120678	1	1	1.3464555764744862e-20
DIAPH3	1.805684682362907e-8	2.397372412537275	0.875	0.8	5.990720070675417e-4
SOX4	1.3627883310205947e-8	2.3823322140855487	0.875	0.675	4.5213228458270267e-4
SH3BP4	1.3661201802322332e-10	2.378031179470513	1	0.8	4.53237692195648e-6
AC027627.1	9.36407039895509e-8	2.3772710974247024	0.875	0.45	0.0031067176362613302
PLEKHG5	2.283900154513419e-14	-2.3536723504373973	0.875	1	7.57729554262917e-10
KIF11	1.0493298331274355e-12	2.350757415211402	0.875	0.725	3.481361587366893e-8
SECTM1	9.069167670662698e-7	2.347587626103362	1	0.625	0.030088777580957633
SPNS3	1.3104204985267603e-8	2.3435179055914075	0.875	0.7	4.3475820879622325e-4
C2orf48	1.5457219791013096e-7	2.339179474846037	0.875	0.7	0.005128241810064415
CHEK1	9.51887783120467e-7	2.3221371486016404	1	0.625	0.03158078098058773
AC007192.1	5.181085762592617e-9	2.313826753386015	1	0.875	1.7189288234553527e-4
LMNB1	1.906128541367167e-17	2.3064407901335997	1	0.825	6.323962661693851e-13
KCNMA1	1.02454081800325e-9	-2.3024225688069455	1	1	3.399119071889383e-5
POLQ	5.926985439378671e-10	2.2901620042633115	0.875	0.775	1.9663959592226617e-5
SLC40A1	3.5033743310318127e-7	-2.28752977273155	0.875	0.975	0.011623145018064244
SH2D3C	3.134316457486132e-14	2.276155198079294	1	0.8	1.039872171100174e-9
CEACAM4	8.087776974072759e-13	2.274376339000294	1	0.75	2.6832817666881193e-8
TMEM71	1.8291846977282377e-9	2.268276681222349	0.875	0.7	6.068686071652974e-5
RGL1	5.9600629145874205e-15	-2.26196234936981	1	1	1.9773700731726685e-10
OSCAR	9.655925348198623e-14	2.2295107739876974	1	0.725	3.2035463527718573e-9
LILRA1	1.9721087377828984e-7	2.228307290674813	1	0.675	0.006542865159342322
CCDC141	2.653954938362114e-8	-2.2271830824108623	0.875	0.95	8.805026299003986e-4
C9	5.995944409321224e-16	-2.205871802792079	1	1	1.9892744766805025e-11
ADAM8	3.351691590430308e-7	2.200937082364132	1	0.625	0.011119907189570632
NOD2	7.246378111362825e-10	2.187448577553754	1	0.725	2.4041308660068444e-5
F13A1	1.5994824525952577e-13	-2.180560855612378	1	1	5.306602932975286e-9
TRAF3IP3	2.988664930274462e-9	2.177942758348303	1	0.8	9.915493639171583e-5
JAML	1.1526703132066697e-13	2.176181937510821	1	0.975	3.824214298125768e-9
ORC6	6.25790815119119e-7	2.1617612224656693	1	0.6	0.020761861873207013
MUC6	2.0137119356909056e-11	-2.1565444329658323	1	1	6.680892089041717e-7
MERTK	5.085261017366242e-57	-2.1563689479484145	1	1	1.687137047731598e-52
NPL	3.102554065198808e-17	-2.1513238265053	1	1	1.0293343622110085e-12
C21orf58	3.5665221811000964e-9	2.1511083336852437	1	0.75	1.183265064023579e-4
LINC00298	5.434284637217432e-19	2.1508329354839675	1	0.975	1.8029326140896277e-14
MCOLN2	1.0053356131398726e-8	2.1448335940814802	1	0.725	3.335401963714155e-4
HK2	9.947920282134157e-7	2.1367577888988234	1	0.775	0.03300421512003649
MELK	4.4146811546717466e-7	2.135158893486196	0.875	0.775	0.014646587666854453
WLS	3.1479544924347354e-15	-2.130673677861681	1	0.975	1.0443968619550722e-10
CLSPN	9.351480350441286e-7	2.1180244924757106	1	0.75	0.031025406358659056
APOBR	8.600766946944246e-13	2.110774406280407	1	0.725	2.8534764499876925e-8
SLC24A4	7.689549981613818e-11	2.109167571523986	1	0.8	2.5511619974000167e-6
RAB3D	2.095053030038097e-9	2.105247283081855	1	0.8	6.950757437757394e-5
ZNF804A	2.525681715730287e-12	2.0998053520280697	1	0.875	8.379454228278373e-8
SLCO2B1	1.4869871741325507e-39	-2.082281804976353	1	1	4.933377347619564e-35
PLAC8	3.122371949182429e-7	2.078725986693831	1	0.75	0.010359093415802545
SIGLEC1	9.07487126844352e-24	-2.0771070357164683	1	1	3.0107700407315067e-19
DAPP1	2.7107880212964738e-12	2.0685431605612017	1	0.85	8.993581418255312e-8
KNL1	1.4070284472081041e-09	2.0637266157956864	0.875	0.8	4.668098279302327e-5
AL162414.1	2.310006788734895e-9	-2.0574283948845506	0.625	0.95	7.66390952298576e-5
GABBR1	3.1575718625890647e-13	2.0544424591799935	1	0.875	1.047587616851174e-8
NLRP12	3.406604889854942e-11	2.0494535138125682	1	0.85	1.130209304307174e-6
HLA-DPA1	3.380946834481169e-8	2.0458377026578267	1	0.975	0.0011216967312758176
DTYMK	6.389363516872632e-8	2.0401169850654295	1	0.7	0.0021197991339928332
CENPO	5.398544835972218e-9	2.037686342961872	1	0.675	1.7910752202305027e-4
CCDC26	4.159799216787955e-9	2.0373001560677344	1	0.925	1.38009658615374e-4
IGF1	2.6914483917167382e-12	-2.033112003045763	0.75	1	8.929418329198623e-8
CORO1A	2.003524047485048e-9	2.0299293543321433	1	0.925	6.647091732341144e-5
HLA-DRA	2.4924837896190277e-10	2.0226650960152464	1	1	8.269313468819048e-6
CKLF	4.125253111229767e-10	2.02020490291843	1	0.925	1.3686352247126997e-5
TMEM156	9.487284623887851e-11	2.013788094204672	1	0.9	3.147596419667272e-6
LILRB3	2.432794973476269e-8	2.0071903017803843	1	0.85	8.071283883502217e-4
DAAM2	3.336850648687735e-15	-1.9992912209248372	1	1	1.1070669397151299e-10
SLC7A8	4.706514505032214e-11	-1.9961711119992418	1	0.975	1.5614803173345376e-6
EMP3	2.873337551637538e-8	1.9843383520048654	1	0.85	9.532871995067859e-4
AP2A2	8.835406077239145e-16	-1.9714726877483482	1	1	2.931322674245631e-11
ANKH	2.355161489125191e-13	-1.952308762256536	1	1	7.813719272470646e-9
RNASE6	3.0762981248710304e-7	1.9474496392799023	1	0.75	0.010206234288884617
PRC1	9.128816512110641e-8	1.9444919563781975	1	0.75	0.003028667454222947
CD300LF	1.169664042983179e-15	1.9429631214645102	1	0.825	3.8805943954052926e-11
SLC46A2	5.357556919614003e-7	1.9345100645432276	1	0.775	0.017774766592203377
PMP22	8.637262521954833e-11	-1.9308747578590193	1	0.925	2.865584586908955e-6
C19orf38	1.1456921075244654e-6	1.928761196916736	1	0.8	0.03801062705133919
LST1	3.5154488347601157e-12	1.9262769132286008	1	0.925	1.1663204599083636e-7
CENPI	1.6031230934632245e-8	1.91890614716671	0.75	0.775	5.31868148718294e-4
VCL	1.3609335147218836e-11	1.918143550082989	1	0.875	4.515169121792793e-7
FUCA1	2.0367703935325983e-8	-1.88848456539423	0.875	0.975	6.757393134623101e-4
PDGFC	1.5467812781345932e-19	-1.8824783494063315	1	1	5.1317562464671396e-15
AC104123.1	1.56274140029406e-7	-1.8813288524769705	1	1	0.005184707143755603
TBC1D16	1.1266659318473591e-20	-1.8791790722897372	1	1	3.7379395620899835e-16
APOLD1	1.6323509666376987e-14	1.8774393374628482	1	0.925	5.415650802013892e-10
PDE7B	4.755640762925237e-7	-1.8771559974502443	1	0.975	0.01577778935915706
MS4A6E	5.922584781956081e-24	-1.8705555858523144	1	1	1.964935953109569e-19
NRP1	1.3528727071145524e-17	-1.8670250448075203	1	1	4.4884257803939504e-13
NETO2	3.68847735182188e-7	1.8646660707183558	1	0.825	0.012237261310139452
RAP1GAP2	6.331513942495949e-19	1.8603120025861006	1	0.975	2.100606380701881e-14
