gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TPSAB1	2.4636017553741828e-11	7.221104728004084	0.025	0	8.173491543804926e-7
DEFA3	1.1636343324025427e-12	7.207378660247495	0.036	0.002	3.860589624611916e-8
TPSB2	2.841579213667765e-19	6.807588710835997	0.05	0.002	9.427507357185544e-15
PRTN3	2.114198236599228e-21	6.7578765052880705	0.056	0.004	7.014275489565259e-17
CTSG	8.042806381726428e-24	6.673092539051239	0.061	0.001	2.668361873265377e-19
ELANE	1.409008262763257e-26	6.670289860930062	0.078	0.005	4.674666713369658e-22
IL1RL1	6.608095803606322e-34	6.6348497575832885	0.087	0.009	2.1923679447624696e-29
RAB3IL1	1.633977472235825e-15	-6.627244762163644	0	0.088	5.4210470596367966e-11
DEFA4	5.998208427393972e-13	6.603943215044074	0.034	0.001	1.990025609956498e-8
TPSD1	3.85632954715641e-13	6.55543960831257	0.034	0.001	1.2794144538600822e-8
AZU1	6.529731460475571e-31	6.541290371191515	0.081	0.011	2.1663690066419803e-26
LCNL1	1.28951347920313e-7	6.4612555945906305	0.022	0.001	0.004278218869952225
CPA3	1.73170594725244e-33	6.42538862601776	0.089	0.01	5.74528082119942e-29
MPO	3.3128842594937486e-39	6.365510857568165	0.109	0.009	1.099115610772241e-34
GATA2	2.5313945303770035e-25	6.212059915444442	0.075	0.005	8.398407633431785e-21
AC104984.6	9.753893301061281e-11	-5.939951543822145	0	0.059	3.236049180493101e-6
AC078880.3	1.2550824157909563e-8	-5.667466600195681	0	0.047	4.1639869308696554e-4
AC100763.1	6.819442397387456e-9	-5.657762213359375	0	0.048	2.2624864041812364e-4
KIT	7.799205286392529e-28	5.597614122933223	0.081	0.01	2.5875423378664492e-23
CYP4F3	1.2985823706326419e-7	5.467479387999243	0.025	0.002	0.004308306731047916
AC079015.1	2.3599918697568307e-26	-5.414125468523105	0.008	0.181	7.829745026292237e-22
AC084064.1	6.946062377798278e-7	-5.323587092604738	0	0.036	0.023044951150821346
MS4A2	6.300748983117138e-10	5.289432422683764	0.034	0.003	2.090399490128773e-5
RGS13	3.4930113305024716e-13	5.265374586140955	0.045	0.004	1.158876369120805e-8
CLDN7	1.035753323702487e-7	-5.211333228954941	0	0.041	0.003436318802047741
SLC46A1	1.1053753701109965e-11	-5.1134061024531645	0.003	0.081	3.667303865417253e-7
SLC25A34	8.503173590994395e-7	-5.061903610746784	0	0.035	0.028210979022842104
HSF4	3.255601735136532e-9	-5.053515032568347	0.003	0.064	1.0801109876662473e-4
HDC	3.63934168893471e-11	4.773567520676833	0.039	0.006	1.2074243921378686e-6
LILRA4	2.6316966993000353e-9	4.526828081042559	0.034	0.006	8.731180139267727e-5
PEG3	1.3428713563086518e-10	-4.517785422465311	0.003	0.074	4.455244298825214e-6
CLNK	7.995639644258266e-51	4.457706181669219	0.165	0.044	2.652713364775565e-46
SIGLEC11	1.2225156794602379e-15	-4.37588156073976	0.003	0.105	4.055940269745231e-11
RHEX	6.110684982726591e-54	4.332585769696886	0.19	0.033	2.0273419567192012e-49
SLC8A3	6.5854329108265405e-21	4.308467231758977	0.084	0.019	2.1848490768249213e-16
LINC01478	3.6079134040618266e-23	4.284736887595673	0.084	0.016	1.1969974300655923e-18
IDO1	3.327210376666812e-16	4.269218848647352	0.07	0.01	1.1038685866667483e-11
LILRB5	1.3994148833368078e-54	-4.261558067812795	0.028	0.371	4.642838758446527e-50
CLEC4C	8.067942163339189e-25	4.25454707843447	0.089	0.016	2.6767011715310428e-20
CDK15	3.3583492871990867e-26	4.247507282525292	0.098	0.026	1.1141995430140409e-21
BPI	3.0007166139077514e-12	4.21229866290029	0.053	0.008	9.955477509961747e-8
MS4A3	5.984279008668367e-7	4.128628010758655	0.031	0.004	0.019854042467059043
AL358335.2	3.0734138886372056e-8	3.991930182830509	0.036	0.008	0.0010196665258331657
FAM160A1	5.296736915370025e-47	3.945242305070691	0.156	0.051	1.7572984064123132e-42
SLC38A11	1.7193087170115749e-12	3.9158348380098387	0.061	0.01	5.704150530429302e-8
RAB27B	3.367988397036268e-12	3.836733862132173	0.067	0.018	1.1173975104847226e-7
VIPR2	3.895120663126728e-13	3.8351062581622766	0.045	0.013	1.2922841824055546e-8
AC109826.1	8.058519281026766e-7	-3.8036310971052774	0.003	0.05	0.0267357494186625
MZB1	1.985829724835478e-14	3.790703371524431	0.073	0.014	6.588387278086665e-10
AL157371.2	1.9024726692448234e-7	3.7906483288394135	0.039	0.006	0.0063118335747535505
SLC24A3	2.515322323273052e-53	3.7802365146198333	0.179	0.075	8.345084871923005e-49
P2RX1	1.0806317075284979e-41	3.749450113764085	0.193	0.039	3.5852118160672975e-37
AC023590.1	1.250608231324608e-41	3.7453397584929218	0.128	0.048	4.149142929065653e-37
PEG10	5.829799076996908e-11	-3.7077384136812874	0.006	0.085	1.9341524397752643e-6
PRSS57	3.513050622861836e-7	3.692636270524807	0.034	0.007	0.011655248051468713
AC110995.1	2.689646811230534e-19	-3.682053286247096	0.006	0.134	8.923441225619542e-15
MLPH	4.0052428800869986e-7	3.6765899487963196	0.042	0.01	0.013288194303264635
SLC18A2	1.0736617858793813e-16	3.6652660698991917	0.073	0.021	3.5620877070120235e-12
AC092979.1	1.0670210515500198e-12	3.659137265981035	0.067	0.017	3.5400557427275005e-8
MYB	1.0826791720070702e-16	3.6498896358769892	0.081	0.012	3.592004688967857e-12
CIPC	5.95525771096836e-7	-3.6493435822763725	0.003	0.051	0.01975775850767973
VSTM1	1.9166330553110876e-10	3.6187209895153725	0.056	0.012	6.358813487605595e-6
AL122019.1	1.49325258439274e-12	-3.594981250346799	0.014	0.114	4.9541640992397935e-8
VWA5A	1.8184189489656995e-17	3.5657541115698157	0.064	0.023	6.032968546983501e-13
IL18R1	1.5016045459000015e-31	3.5223969648006794	0.156	0.037	4.981873401932435e-27
SLC7A5	6.358553698960821e-22	3.481943123234131	0.12	0.039	2.1095773607042315e-17
KCNK10	2.1801214431239792e-16	3.440720125422729	0.059	0.023	7.232988911852426e-12
AC126177.4	2.902511712485899e-10	-3.4131904257430152	0.008	0.088	9.629663108514467e-6
PACSIN1	1.6617820631041396e-7	3.385455869283142	0.039	0.011	0.005513294350760604
SLAMF7	4.6824980866676863e-11	3.360892996655089	0.067	0.013	1.5535123902137383e-6
DERL3	2.531498083032396e-10	3.3486976426220054	0.053	0.016	8.39875119007658e-6
RAB44	3.024777033391245e-10	3.3039286566090964	0.061	0.012	1.0035302763682135e-5
DISP1	1.1140676867661754e-9	-3.2990774765725317	0.008	0.084	3.69614236438414e-5
AL139125.1	7.233464134093981e-12	-3.2478735185693637	0.014	0.111	2.39984639576836e-7
SLC28A3	1.5762543566301248e-8	3.2137845651439125	0.042	0.013	5.229539078991765e-4
IRF4	8.141206815083512e-10	3.207417053246013	0.053	0.016	2.701008185040257e-5
SMPD3	1.940776218924144e-11	3.2057979071291682	0.061	0.019	6.438913261524633e-7
S100A8	2.6970356884308975e-8	3.1951314765553045	0.053	0.01	8.947955303507188e-4
LINC02147	4.545990147764804e-14	3.1902460366262075	0.073	0.031	1.508223151323929e-9
SPNS3	2.140298597767094e-22	3.189647909372136	0.126	0.03	7.100868657811887e-18
TMEM44	6.96586086248999e-20	3.1395309091585895	0.109	0.036	2.3110636583483042e-15
MT1E	1.2821698993213273e-8	-3.130140544231458	0.006	0.068	4.2538550749783674e-4
SLC40A1	1.599368768593719e-41	-3.1183360210960895	0.047	0.351	5.306225763563382e-37
GLT1D1	2.5966748638800234e-32	3.101582238683653	0.196	0.046	8.614988195894754e-28
SELENOP	7.052081624304913e-56	-3.036238717975033	0.073	0.455	2.339669120495641e-51
HPGD	1.8136972127257446e-9	3.0327515377697516	0.056	0.022	6.017303242660203e-5
