gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CPA3	2.075785831142417e-12	6.1555992450888475	0.375	0.417	6.886834651981197e-8
IL1RL1	1.0178387725369264e-14	5.877343181462177	0.625	0.483	3.376883695645761e-10
VIPR2	5.4720349831504067e-11	5.394704399304581	0.5	0.45	1.8154570463598103e-6
GATA2	4.514809521600949e-10	5.301336393422922	0.5	0.383	1.4978783549815469e-5
CLNK	4.351528933051901e-16	5.089341233421301	0.875	0.7	1.4437067541186291e-11
KIT	3.248485472229738e-7	5.051254921270042	0.75	0.433	0.010777500251216602
RHEX	3.062683849165535e-14	4.737371217310702	1	0.583	1.0161066206376495e-9
ITGA2B	2.5241136845496497e-8	4.601729481730817	0.625	0.65	8.374251971230372e-4
CDK15	6.850784622404841e-12	4.416842602719524	0.625	0.617	2.2728848141752542e-7
CLEC4C	2.0614185285884073e-14	4.2887611639460665	0.875	0.55	6.839168252297759e-10
IDO1	3.4924130271331653e-12	4.277167829083955	0.875	0.417	1.1586778700119703e-7
RAB27B	1.0812794176566747e-8	4.252110897736812	0.375	0.583	3.5873607239595497e-4
SLC38A11	1.18023541080983e-8	4.220256457516864	0.375	0.467	3.915667022443773e-4
FAM160A1	4.4215339269206757e-20	4.176763565892429	1	0.767	1.4669323109344725e-15
AC023590.1	4.798338913100844e-19	4.121599804396169	1	0.733	1.591944901199467e-14
SLC8A3	1.7671737074720188e-9	4.08918269075678	0.625	0.617	5.8629522092799166e-5
SLC24A3	1.1903912094512617e-9	3.7603304593700684	0.75	0.733	3.949360915596451e-5
KCNK10	5.905436625035735e-7	3.746660516699326	0.75	0.55	0.01959246709088106
ASB2	2.6333218058745588e-8	3.743783997814461	0.75	0.433	8.736571755350023e-4
GP6	1.429103055183411e-7	3.642341224249471	0.75	0.7	0.004741335206182002
SLAMF7	3.944765977461136e-7	3.5986127049982617	0.875	0.533	0.01308755008342281
AC099560.1	7.568401044859382e-7	3.542249702581293	0.625	0.583	0.025109684146529972
SLC18A2	1.682870188857057e-10	3.5024544803299937	0.75	0.667	5.5832584255710584e-6
P2RX1	9.270041507336979e-7	3.485296827988683	0.625	0.767	0.030755216708891895
LINC01478	6.095595629699142e-8	3.4642863622599513	0.875	0.55	0.0020223357620652842
SDK2	7.509087076294245e-9	3.4077400698412372	0.875	0.817	2.4912898193021416e-4
PLXNA4	1.6212538385838064e-10	3.374300808023767	0.75	0.8	5.378833860269494e-6
KCND3	1.4575865801458083e-10	3.3710110962481408	0.75	0.717	4.835834996949748e-6
FAM129C	4.3097579624510164e-7	3.3036780945040216	0.75	0.767	0.014298483992023736
SMPD3	6.331412330846799e-9	3.1391408703512136	0.75	0.617	2.1005726690050423e-4
DPP4	1.1226964767588843e-6	3.070303610774465	0.625	0.6	0.03724770100942951
NCALD	4.829269618410077e-12	3.060663953644098	0.875	0.767	1.6022067812999111e-7
SMOC1	9.487866850217693e-7	3.057934773504299	0.875	0.6	0.03147789584896724
LRP8	1.1297142427378586e-6	3.0361441557553426	0.875	0.7	0.037480529431313934
CD226	2.3784976912561894e-7	2.7778389854724397	0.75	0.783	0.00789114179028066
ASAP2	4.785047453589539e-9	2.770788059099594	0.875	0.8	1.5875351936774014e-4
ENOX1	2.8338365719602536e-10	2.766793808189232	0.875	0.817	9.401819594792533e-6
PTPRS	1.7743523547015212e-10	2.763606946737042	1	0.883	5.886768807193237e-6
TOX	3.182416162857429e-9	2.730602610945936	0.875	0.8	1.0558302103512092e-4
TMEM44	2.2707398278076866e-9	2.722403506491472	0.625	0.75	7.533633526717562e-5
PDE3A	4.490742778114679e-7	2.700637591045512	0.625	0.717	0.01489893731495107
WDFY4	6.05093234950547e-20	2.683531875877978	1	0.917	2.0075178255954298e-15
KIAA1549	9.2799993416431e-9	2.6023739028632584	0.75	0.817	3.0788253815769315e-4
LYVE1	6.712526759797505e-7	-2.571062570638414	0.875	0.9	0.022270150030980183
SLC35F3	7.435544587871907e-7	2.5420599000934674	1	0.817	0.024668906279182626
PDGFC	6.483228380214069e-9	-2.54038039710617	0.875	0.967	2.1509406797036218e-4
FCHO1	1.8107568774909887e-7	2.5076743171081333	1	0.833	0.006007548092451853
SIGLEC1	1.2717782343514726e-6	-2.5029517893365485	0.625	0.867	0.042193786481078806
CCSER1	2.619490679823491e-10	2.4494944003362806	0.875	0.933	8.690684228450398e-6
ADAM19	1.4028289169221497e-6	2.425096795828514	1	0.833	0.04654165497672616
ARMH1	4.12075842368778e-7	2.355379796883353	1	0.817	0.013671440222268948
ABCA2	5.050088619997614e-7	2.354632931770155	0.75	0.7	0.016754679014566086
CBFA2T3	1.947427074553357e-7	2.32362400732978	1	0.85	0.006460978805245672
IRF8	2.0542830721629317e-10	2.3137755618160853	1	0.85	6.815494948514959e-6
ERG	2.047431761542148e-7	2.285913946463155	0.75	0.75	0.006792764355268384
STX3	3.148946356330546e-7	2.2733928614010592	0.875	0.833	0.010447259326397852
EDA	1.5012972996560473e-6	-2.2241663045239215	0.875	0.9	0.049808540510688684
PDK4	1.396558090379788e-7	-2.2145461881754738	1	0.95	0.004633360776453023
VWA5A	3.0311687307679414e-8	2.210127995410144	0.625	0.6	0.0010056508498068799
ZFAT	1.4354714604441254e-7	2.1580107408177094	1	0.867	0.004762463664315475
MS4A7	1.0486422912495596e-7	-2.11511541762397	1	0.933	0.0034790805296786636
SEL1L3	2.7719747307637877e-7	2.1096590965853843	1	0.883	0.009196580564255019
NEGR1	6.437173254096961e-7	2.0393477388880057	0.75	0.883	0.021356609705117487
CD163	1.370375629673242e-6	-2.025721585835174	0.875	0.95	0.04546495226566915
MS4A6E	1.2608723563092085e-6	-2.0039101216794277	0.875	0.933	0.04183196216527061
AP1S3	6.303454154260583e-7	1.9940350412598231	0.875	0.833	0.020912969847590338
RUNX2	5.432698826842094e-8	1.9902323382536622	1	0.9	0.0018024064897814015
ZEB1	1.7482274105324633e-7	1.970600867079291	1	0.85	0.0058000940799235534
SLC1A3	3.1692260986078193e-7	-1.8856513865614288	1	0.95	0.010514541427351162
ANKH	4.843679880866501e-7	-1.8562933514491853	0.875	0.95	0.01606987674075079
NCKAP5	7.749050265348275e-7	1.7434464281105893	0.875	0.9	0.025709024065345972
PPM1H	1.1939935852453232e-6	1.718777723418012	0.75	0.85	0.03961312517768409
CARD11	1.2613231014120378e-6	1.681495951063102	1	0.917	0.04184691653554718
VAC14	2.257397118910654e-11	1.6200019020498733	1	0.917	7.489366421409877e-7
DENND1B	9.918677590964568e-8	1.578509116554582	1	0.917	0.0032907196643543147
PEAK1	5.001336120284242e-7	-1.5705240983233377	1	0.983	0.01659293284626703
FAM69A	1.2750131863138535e-6	1.4701280838887927	0.875	0.867	0.042301112482334716
NLRC5	1.3723017276482004e-7	1.3362131659540175	0.875	0.917	0.004552885441818435
