gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LYPD2	1.4418129026522667e-6	6.395738508117316	0.01	0	0.04783502667129425
LGI2	2.870669003238336e-12	-6.113773964592774	0	0.041	9.524018552043827e-8
CCL8	1.938310033679973e-7	-6.068716010308087	0	0.023	0.006430731198740046
LINC01645	4.072691212725369e-9	-5.70629986955584	0	0.029	1.3511967636458959e-4
SPP1	1.158944650165085e-12	5.327019659189774	0.047	0.037	3.8450306658527024e-8
CA1	1.1330466586979062e-7	-4.950121029768159	0.01	0.049	0.003759108899562043
HS3ST2	1.6002918908487395e-34	-4.515242863793997	0.076	0.247	5.309288406268863e-30
AC110995.1	5.314827719080854e-32	-4.451203103561841	0.006	0.137	1.763300392359455e-27
CCDC141	4.4837107852410756e-41	-4.419287677653686	0.013	0.185	1.4875607272194316e-36
LINC00996	7.941049145544661e-11	-4.350528966027907	0.002	0.045	2.634601875017352e-6
FCN1	2.9027491824279e-116	4.234095321263118	0.289	0.031	9.630450962541044e-112
MRO	6.9150779430411e-12	-4.149909724107019	0.003	0.054	2.2942154091627458e-7
AC064805.1	1.4511849277958916e-10	4.057266123531276	0.029	0.003	4.81459623494843e-6
CLEC4F	6.729230250430994e-13	4.0042252696251595	0.037	0.004	2.2325567201854908e-8
PLPPR1	1.1594282175419984e-6	-3.9972907231726413	0.002	0.029	0.03846634997339088
FGF13	6.057686767504229e-67	-3.9605125275293327	0.045	0.328	2.009758738854878e-62
ACSM5	1.2665517784181478e-29	-3.870788185204807	0.008	0.133	4.202038835257889e-25
MPPED2	1.3047634223039435e-106	-3.7955172945433597	0.058	0.456	4.328813606177793e-102
CD1C	9.835388724802143e-14	3.738232490343446	0.043	0.006	3.263086917227607e-9
ANK1	9.111192647192416e-13	-3.719510162676209	0.026	0.104	3.022820384559028e-8
AC139749.1	4.783709799126341e-8	-3.6665878245732593	0.003	0.039	0.001587091400056146
AL138799.4	5.4020544839044787e-14	-3.6511604500505777	0.003	0.062	1.7922396161249888e-9
TIMD4	2.4675834220447163e-23	-3.6010495914912037	0.014	0.126	8.186701519317755e-19
SERPINA1	2.8223597886202002e-39	3.56651522824665	0.127	0.022	9.363743070705239e-35
LILRA5	2.6513338747826353e-12	3.518118733857383	0.042	0.006	8.796330396366349e-8
LINC00639	7.95505400659655e-15	-3.4542228879097667	0.003	0.064	2.6392482677685374e-10
ITGAD	6.306974166898884e-18	-3.3761195057768703	0.013	0.102	2.0924648193520428e-13
LILRB5	1.0913038432864627e-86	-3.369028661535183	0.039	0.381	3.620618760871497e-82
IL1R2	3.177241847389308e-54	3.353378182360766	0.185	0.05	1.0541135277083508e-49
SCN9A	1.0147409528753817e-32	-3.3097133649945634	0.024	0.181	3.366606059354654e-28
GNGT1	1.4310620011203234e-6	-3.2857165176970557	0.002	0.028	0.04747834401116897
HTRA4	8.30889069538023e-7	-3.1679598609671458	0.003	0.034	0.02756640666006299
CD300E	7.260810647430581e-29	3.1591860030217562	0.109	0.022	2.408919148498044e-24
MYO1G	3.259747617016676e-29	3.1524757857304095	0.106	0.027	1.0814864668976226e-24
PLEKHG5	3.925935252602754e-50	-3.1354042746555684	0.04	0.275	1.3025075387560156e-45
GABRB2	6.525018071170195e-51	-3.1213039428293534	0.05	0.293	2.1648052454721356e-46
TBX1	1.3807453649998826e-6	-3.054865010126687	0.005	0.037	0.0458089889746011
HSD17B14	9.263728723401871e-27	-3.000151674887272	0.019	0.15	3.0734272785630387e-22
GAPT	3.40063472438312e-8	2.996217050627324	0.032	0.009	0.0011282285825085878
AQP9	6.963768313340354e-8	2.992106217943002	0.032	0.007	0.0023103694133169293
IL2RA	1.328453631728555e-17	-2.9881699281257057	0.013	0.1	4.407410613985827e-13
LYZ	1.0899422082347461e-64	2.9754290721580556	0.257	0.084	3.616101264260417e-60
AC100849.1	2.2943999491771186e-83	-2.9649576798181805	0.068	0.422	7.612130711384926e-79
SLC25A21	1.4885172811459412e-8	-2.960486529041488	0.018	0.071	4.938453783657889e-4
ADGRL2	1.7159317649990804e-59	-2.9206837567622568	0.14	0.43	5.692946816737449e-55
CD244	2.6054297198993714e-11	2.911058633696243	0.045	0.011	8.644034181710144e-7
PLD4	1.4168264486782715e-7	2.9016227328144435	0.034	0.008	0.004700605108779901
TTN	2.56188000921487e-43	-2.8677052076360017	0.061	0.286	8.499549306572174e-39
AC084064.1	1.3625301131462633e-6	-2.8673552447999575	0.005	0.037	0.045204661563853575
EREG	5.445702819847625e-8	2.8462224086924404	0.032	0.006	0.0018067208245408466
AC126177.4	1.4254370782968207e-18	-2.8317320188100865	0.008	0.09	4.729172594665362e-14
CD1D	1.3892483731093759e-11	2.8177406958750675	0.051	0.016	4.609109327464976e-7
GSDME	5.0209799433431806e-23	-2.816318917742084	0.021	0.139	1.6658105158029671e-18
AC131956.2	5.77687309148078e-7	-2.7985381164161054	0.006	0.042	0.019165931855605785
COLEC12	1.0812801332420301e-101	-2.7885724694203984	0.101	0.516	3.5873630980570835e-97
AL160272.1	1.2132826649876163e-14	-2.7751070492009475	0.005	0.067	4.0253078976294147e-10
