gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HS3ST2	1.60029189084874e-34	-4.515242863794	0.076	0.247	5.30928840626886e-30
FCN1	2.9027491824279e-116	4.23409532126312	0.289	0.031	9.63045096254104e-112
FGF13	6.05768676750423e-67	-3.96051252752933	0.045	0.328	2.00975873885488e-62
MPPED2	1.30476342230394e-106	-3.79551729454336	0.058	0.456	4.32881360617779e-102
LILRB5	1.09130384328646e-86	-3.36902866153518	0.039	0.381	3.6206187608715e-82
PLEKHG5	3.92593525260275e-50	-3.13540427465557	0.04	0.275	1.30250753875602e-45
GABRB2	6.52501807117019e-51	-3.12130394282935	0.05	0.293	2.16480524547214e-46
LYZ	1.08994220823475e-64	2.97542907215806	0.257	0.084	3.61610126426042e-60
AC100849.1	2.29439994917712e-83	-2.96495767981818	0.068	0.422	7.61213071138493e-79
ADGRL2	1.71593176499908e-59	-2.92068375676226	0.14	0.43	5.69294681673745e-55
TTN	2.56188000921487e-43	-2.867705207636	0.061	0.286	8.49954930657217e-39
COLEC12	1.08128013324203e-101	-2.7885724694204	0.101	0.516	3.58736309805708e-97
ME1	2.56486758747219e-87	-2.6836561061358	0.127	0.509	8.5094611949565e-83
VCAN	5.51075639266838e-91	2.65417819599265	0.32	0.165	1.82830364839559e-86
PMP22	2.71887889815927e-48	-2.63379953391976	0.04	0.269	9.020424520423e-44
EDA	1.25401093345726e-111	-2.6045864381065	0.151	0.593	4.16043207393115e-107
SULF2	2.58562604826499e-65	2.53957831337388	0.285	0.104	8.57833154032874e-61
FLT3	2.9183102667576e-71	2.48799518209318	0.318	0.111	9.68207797202169e-67
FGR	2.69604953254953e-79	2.46432796020661	0.35	0.141	8.94468353413959e-75
TSHZ3	5.55324068041474e-68	-2.44236379434713	0.068	0.379	1.8423986605412e-63
AC104123.1	3.55707677558375e-57	-2.4092587473409	0.085	0.372	1.18013136183542e-52
PRAM1	6.48394463871909e-52	2.38795503236524	0.249	0.092	2.15117831278783e-47
DAAM2	7.48429686005122e-97	-2.36904502547709	0.119	0.53	2.48306516925919e-92
FAM20A	2.19767637115089e-50	-2.35721648583518	0.064	0.318	7.29123089656729e-46
MUC6	3.61652091266912e-65	-2.35223366816658	0.1	0.419	1.19985314319623e-60
HMOX1	5.38417437802251e-32	-2.33616738208682	0.15	0.361	1.78630753339653e-27
SLC40A1	1.41561614215589e-48	-2.31449125969788	0.093	0.356	4.69658967483059e-44
WLS	1.67060681326414e-79	-2.31147121479125	0.09	0.447	5.54257222436644e-75
IGF1	2.16535697900003e-38	-2.28853258683951	0.045	0.243	7.18400484922841e-34
LGMN	2.1852408978784e-98	-2.258968470856	0.143	0.561	7.24997372689116e-94
SPATS2L	1.45795512632744e-75	-2.24955835392773	0.133	0.495	4.83705772261656e-71
SLC16A10	1.51510955682863e-56	-2.24930751112787	0.121	0.422	5.02667897669035e-52
LINC00298	1.04404879962241e-44	2.22888015140199	0.203	0.105	3.46384070250727e-40
FUCA1	1.03905075497695e-26	-2.204824563287	0.061	0.225	3.44725868978703e-22
STOX2	1.49120377870455e-23	-2.20350377685729	0.079	0.234	4.9473667766081e-19
NAV2	2.3860387913796e-46	-2.1610806987986	0.15	0.42	7.91616089816011e-42
KCNMA1	2.33354416040328e-117	-2.15426146464409	0.283	0.72	7.74199946096995e-113
HLA-DQA1	8.24272412704165e-58	2.15034038673754	0.317	0.136	2.73468858362861e-53
HECTD2	4.76077344676127e-40	-2.14698605891267	0.059	0.274	1.57948180643199e-35
NPL	2.04807022047537e-95	-2.14297950267469	0.146	0.561	6.79488257047114e-91
TBC1D16	1.87350596457548e-105	-2.13474655934189	0.214	0.648	6.21573073867206e-101
DAB2	9.9816848806312e-75	-2.13067856333213	0.122	0.478	3.31162359284701e-70
C9	7.74951408052057e-75	-2.09984938095369	0.145	0.507	2.57105628649431e-70
ITGAX	1.0335124217004e-51	2.09804998931247	0.328	0.127	3.4288841614754e-47
JAML	3.66329796413058e-81	2.08936119459017	0.395	0.207	1.2153723655596e-76
