gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LRRC25	6.037496374962993e-10	2.463148289874639	1	0.683	2.0030601723214722e-5
ODF3B	2.942280308119303e-7	2.3763484730818307	1	0.667	0.009761603378247411
AC007192.1	1.648916261465307e-7	2.192205537534684	1	0.783	0.0054706094806634496
RAB24	9.76233495215059e-9	2.175224792220919	1	0.7	3.2388498670750013e-4
LILRB2	2.861318871554641e-9	2.1689390590987667	1	0.783	9.492997620156832e-5
SEMA3C	5.614549173309185e-7	1.8913524586101487	1	0.75	0.018627389792287882
AC092069.1	9.107528325871088e-8	1.694746679623846	1	0.75	0.0030216046726742507
WARS	6.64089670898551e-8	1.6094394848168474	1	0.817	0.0022032503011401227
EMC10	3.749980707745975e-7	1.564599516986346	1	0.817	0.01244131099408882
TRABD	8.124106783260275e-8	1.4894600212645648	1	0.817	0.0026953349074822614
TYMP	9.155235376247098e-7	1.4862523664642335	1	0.883	0.030374324407774995
POU2F2	1.9374045286372266e-7	1.4118022310718523	1	0.9	0.006427727004659727
BTG1	4.3354563670369714e-7	1.2940273116981584	1	0.883	0.01438374358891856
PIK3R3	1.4808763138545324e-6	-1.2742829408230942	0.875	0.85	0.04913103346475182
HLA-B	3.289246529184781e-11	1.2618726095073796	1	0.967	1.091273320987635e-6
VIM	1.3694899699606824e-7	1.2049956184619248	1	0.867	0.004543556873338556
HLA-E	4.5831138735698916e-7	0.7635877242258282	1	0.933	0.01520539689834283
HM13	1.339305717051594e-6	0.5015833017339981	1	0.95	0.04443414577462073
