gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
KLF1	1.8441230628062952e-9	-6.4524029577934865	0.001	0.013	6.118247085472446e-5
AC024267.1	9.638643271576118e-11	-5.754874988154141	0.002	0.015	3.1978126782108084e-6
CA1	5.780023053709958e-26	-5.227208253274421	0.02	0.053	1.9176382485293528e-21
GYPB	1.9261455124130798e-13	-4.858889126654244	0.002	0.023	6.390372966532875e-9
KEL	8.912052007948615e-17	-4.85409375560516	0.004	0.03	2.956751494677112e-12
SPTA1	1.1613155544513724e-19	-4.842385412760224	0.007	0.036	3.8528966150033185e-15
AC100835.2	6.926180957509981e-11	-4.681527277598433	0.003	0.017	2.2978990562730864e-6
HBM	1.3696057764719906e-12	-4.614090199028118	0.007	0.028	4.543941084601123e-8
HBB	9.586209864727035e-19	-4.580233986663936	0.073	0.092	3.1804168468204884e-14
ALAS2	4.3668416169324165e-14	-4.568403594091209	0.005	0.025	1.448787043249668e-9
SLC4A1	3.4346437368431194e-20	-4.43935337170046	0.021	0.051	1.1395117525724416e-15
MKI67	2.3129075854008165e-10	-4.437353963410362	0.003	0.02	7.673533496084289e-6
NFE2	1.3697966704610436e-7	-4.360209743355828	0.002	0.014	0.004544574413588604
FCN1	5.728235371071413e-29	-4.198491528693491	0.013	0.057	1.9004566490603626e-24
KIF18B	5.541268944437675e-10	-4.115416669437911	0.005	0.023	1.8384267976960875e-5
HBA1	6.346473405825107e-13	-4.059724385040961	0.058	0.076	2.1055694818505958e-8
HBA2	2.6941369258242253e-15	-3.8468550911224666	0.09	0.103	8.938338078807033e-11
ASPM	2.700048196658468e-9	-3.8002380226660293	0.004	0.021	8.957949902053799e-5
RHAG	4.933332817740834e-10	-3.6825359517365275	0.005	0.023	1.6367318289418765e-5
ANK1	2.8186142401423295e-27	-3.5982291783237654	0.063	0.108	9.351316464520207e-23
GYPA	3.884266174900321e-9	-3.525631875261837	0.004	0.02	1.2886829888466794e-4
SPTB	6.159148867628399e-18	-3.5144188255404467	0.021	0.05	2.0434208198130739e-13
ACHE	7.568748073244239e-7	-3.416908483405032	0.006	0.019	0.02511083548260241
SLC25A21	3.717947555390753e-20	-3.4014051425709573	0.039	0.075	1.2335034604519903e-15
CA2	6.895000306347262e-12	-3.3821726381213866	0.011	0.032	2.2875542516368313e-7
EPB42	8.117543896346526e-8	-3.3340647976356856	0.007	0.021	0.002693157538490887
MBOAT2	6.6424784138413386e-15	-3.1223928517598334	0.017	0.047	2.203775063360141e-10
LINC00705	1.966147366358882e-19	3.0937943244965602	0.022	0.002	6.523087117368862e-15
FAM83D	6.084112530169947e-7	-3.0433887933793664	0.005	0.018	0.02018526014134483
CLEC5A	9.951598659360494e-13	-2.973257190099491	0.007	0.032	3.301641887216031e-8
RHCE	2.1137227228396614e-20	-2.9252718431470535	0.031	0.074	7.012697877565145e-16
C17orf99	4.0553084946001686e-10	-2.8943355254966914	0.018	0.034	1.345429699253498e-5
AC099670.3	1.0657653295143661e-19	2.8906676702478658	0.041	0.009	3.5358896337298125e-15
HMGA2	9.323302619077286e-8	-2.8668391065874648	0.013	0.029	0.0030931921099312714
FHDC1	1.2179684860811598e-6	-2.842958452588114	0.01	0.018	0.04040854046271464
TAL1	1.3858678823744969e-6	-2.835997438341216	0.007	0.02	0.045978938733538685
TOP2A	5.876324122344572e-9	-2.832191442344706	0.017	0.03	1.9495880540702586e-4
DMTN	3.8453824376199344e-12	-2.792795697916368	0.02	0.036	1.2757825313291657e-7
MANCR	1.4542974654845116e-47	2.781078667660071	0.064	0.007	4.824922701237964e-43
TFR2	1.4168707701963811e-14	-2.7516954977608865	0.032	0.061	4.700752154280533e-10
C21orf58	1.7850455372104386e-13	-2.6635093394204703	0.03	0.056	5.922245578803072e-9
CR1L	2.3583402063052403e-10	-2.6496071003218216	0.026	0.047	7.824265302458896e-6
TMEM56	2.870521275806511e-17	-2.645519649226966	0.036	0.072	9.523528436743262e-13
SLC2A1	2.7620670427805544e-8	-2.549622522620621	0.017	0.03	9.163709827833045e-4
FAM149A	2.4368149210402174e-19	-2.527465211359922	0.018	0.062	8.08462086353513e-15
SOX6	2.517504768038121e-20	-2.4742007184426424	0.095	0.14	8.352325568920074e-16
IL1R2	6.892616217054204e-12	-2.457120177951057	0.042	0.063	2.286763282332073e-7
SLC25A37	3.08153340675629e-40	-2.404379545794408	0.228	0.304	1.0223603383595343e-35
SLC22A16	1.7696185906502064e-7	-2.3805481090349074	0.017	0.027	0.00587106359820019
NT5M	3.316235301950603e-10	-2.357651881292624	0.014	0.038	1.1002273861281516e-5
CXCL1	4.003546382736794e-8	2.285391612730538	0.012	0.002	0.0013282565834005862
CXCL8	2.397937958401237e-27	2.2837026397044937	0.059	0.013	7.955638764587784e-23
SPNS3	5.2503886075646185e-9	-2.281545108101237	0.016	0.038	1.7419214283317136e-4
PRC1	1.2633442959195976e-8	-2.2661939487552596	0.024	0.04	4.191397370572449e-4
ADD2	4.591651666279649e-9	-2.2644523866501447	0.022	0.044	1.523372273321599e-4
AC007240.1	9.335344683236721e-9	-2.2489511924341663	0.019	0.038	3.097187305557447e-4
SERPINA1	3.992620812139981e-8	-2.2367546065497566	0.013	0.033	0.0013246318068436814
