gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HS3ST2	1.1891924140263708e-100	-3.2758838652269837	0.114	0.287	3.94538367201529e-96
NR4A3	4.227220751871165e-74	-2.4563078562068603	0.108	0.235	1.4024650288482963e-69
IGKC	6.340355259381018e-100	-2.2527458745290803	0.131	0.346	2.1035396644048403e-95
KCNQ3	4.8725355139785536e-287	2.134188088944721	0.595	0.179	1.6165611074726647e-282
VCAM1	5.208867504737894e-48	-2.1040611216814233	0.087	0.201	1.7281459720468911e-43
MMP19	9.5877468050414e-45	-2.0887171514175353	0.156	0.229	3.1809267575085853e-40
RIPOR2	1.6163004988733282e-60	-1.9672717055760662	0.168	0.298	5.362400165112041e-56
C3	2.4382076798003444e-158	1.9585412460192586	0.421	0.135	8.089241619273603e-154
LNCAROD	6.877680610594395e-145	1.943218274383843	0.375	0.113	2.281808096176902e-140
FYN	5.090107198093479e-47	-1.9330987293220752	0.123	0.223	1.6887448651114734e-42
SLC16A10	3.044153208393544e-88	-1.88257432983054	0.301	0.448	1.009958709948726e-83
FOSB	2.612403896472881e-78	-1.7736023713292097	0.191	0.348	8.667172407328077e-74
NAMPT	4.342560953369159e-87	-1.762251447830995	0.272	0.388	1.440731447499286e-82
FCGBP	5.053578925512828e-81	1.7545759921073651	0.3	0.114	1.676625880117391e-76
ADGRG1	3.8223952530600856e-98	1.7540652535262562	0.223	0.054	1.2681560731077446e-93
FP236383.1	3.069988917772542e-83	-1.7528355453345394	0.399	0.465	1.0185302232493963e-78
ATP1B3	6.603932656215062e-99	-1.747208395206193	0.5	0.5	2.1909867373524712e-94
RASGEF1B	1.8754424962256068e-100	-1.7422845719837383	0.41	0.544	6.222155569727696e-96
CD83	1.3335359735586732e-70	-1.7344556174720598	0.174	0.334	4.42427229947561e-66
NR4A1	3.7390421195201942e-90	-1.7217050046232496	0.261	0.368	1.2405020039932148e-85
STOX2	3.3753668520626463e-60	-1.7083321936072777	0.147	0.253	1.1198454605088242e-55
NR4A2	4.516666656382535e-58	-1.6667680406273	0.173	0.27	1.4984944965880336e-53
PLAUR	1.1885571635732894e-42	-1.653187635349461	0.184	0.222	3.9432761015871023e-38
RBFOX1	3.3845563887450825e-46	-1.630637666038665	0.171	0.233	1.122894273093956e-41
AL139125.1	1.1984601974603102e-92	1.558654428160471	0.253	0.073	3.976131397114071e-88
RILPL2	8.438594298691583e-71	-1.519948543963781	0.331	0.415	2.7996724304769066e-66
ZNF331	6.167434394056105e-63	-1.5134017056603954	0.377	0.365	2.046169708915994e-58
TTN	4.2313995693260085e-53	-1.494386265292136	0.199	0.304	1.40385143511529e-48
STX11	7.763660596828703e-42	-1.4934416471062202	0.157	0.232	2.575749676209859e-37
RGS1	6.262042977509473e-79	1.4863832351195256	0.366	0.166	2.0775579986483177e-74
TFRC	4.7697106973907135e-40	-1.4661412974074233	0.213	0.279	1.582446918073317e-35
NLRP3	9.542640931865557e-44	-1.4614668499867087	0.182	0.252	3.165961981965036e-39
PPARG	6.071490976884075e-49	-1.436879648101303	0.212	0.34	2.0143385614008294e-44
SYAP1	1.3883631434447893e-60	-1.4306889149821953	0.304	0.355	4.606172401006778e-56
NFKBID	1.071209232207914e-71	-1.4281371167774755	0.283	0.381	3.553950869696196e-67
CD36	2.2464271696216095e-25	-1.4270248413862316	0.113	0.201	7.452971420653614e-21
TPM4	3.35995371275382e-63	-1.4242242399000262	0.309	0.378	1.1147318432803348e-58
CNTNAP2	2.890243046394957e-36	-1.3951465966820853	0.161	0.227	9.588959355024548e-32
CEMIP2	1.6820060432006377e-76	-1.3936111960794535	0.37	0.474	5.580391449526755e-72
UNC5B	2.251498525587909e-81	1.383829831464105	0.234	0.072	7.469796658343005e-77
HMOX1	3.3387668518508434e-63	-1.3780347563853423	0.339	0.375	1.1077026784385544e-58
SIGLEC8	1.900882494403073e-75	1.3723584301488692	0.247	0.083	6.306557851681075e-71
AP000812.1	3.79211365904032e-48	-1.3689663591757664	0.225	0.286	1.258109548659807e-43
AC079015.1	1.8121577929968583e-152	1.3606855772671094	0.399	0.124	6.0121959098256764e-148
RCAN1	9.241577584076299e-46	-1.3531834299701848	0.245	0.309	3.0660781950689936e-41
ELL2	1.1345650398521227e-128	-1.3422290732336117	0.61	0.641	3.7641464327173873e-124
MYO1E	4.814169029178901e-65	-1.332101906353853	0.316	0.428	1.597196858810684e-60
ATP2A2	4.5958894541095564e-73	-1.322049706187005	0.481	0.438	1.5247782441899276e-68
USP53	1.277872922113541e-168	1.2900071770758772	0.667	0.323	4.239598993696095e-164
AL163541.1	6.594150183878601e-80	1.2674644003910105	0.432	0.22	2.1877412065054034e-75
PALD1	1.3188690638382604e-197	1.264506635400095	0.607	0.239	4.3756118930961967e-193
SEMA4C	1.6623634366137042e-64	1.2440040809422677	0.222	0.077	5.515223173653287e-60
EMILIN2	1.913529677658511e-42	-1.2438430951483137	0.262	0.27	6.348517411567643e-38
ADGRE5	6.148288950389378e-32	-1.2425314685151738	0.254	0.293	2.039817825070684e-27
CADM1	9.223134831683072e-48	1.2392458002703586	0.239	0.104	3.059959443107493e-43
P2RY12	4.162137117487055e-135	1.236619114224412	0.41	0.143	1.3808722314686803e-130
VASH1	3.022028480364686e-101	1.2357776065253914	0.323	0.111	1.0026183889305918e-96
EBF1	1.8976236634184557e-31	-1.226106272282979	0.174	0.246	6.295746028123411e-27
CCDC141	1.8510289555139986e-25	-1.2131448919921795	0.115	0.204	6.141158765708793e-21
ACSL1	1.1862402491315344e-91	-1.1919732610221683	0.57	0.578	3.935589274543692e-87
LINC01684	1.1064238949838637e-115	1.188235859831619	0.416	0.162	3.670782556387964e-111
OSBPL10	2.4408352332277587e-23	-1.1715927385099631	0.156	0.208	8.097959053279735e-19
LINGO1	4.30048448328118e-80	-1.165951123662851	0.405	0.453	1.426771737018197e-75
BASP1	2.4612122286966895e-27	-1.163874735963958	0.223	0.253	8.165563811147007e-23
FAM177B	1.84540481191297e-97	1.152792131276217	0.323	0.117	6.122499544483661e-93
VPS37B	2.504402732085959e-49	-1.1496186221737679	0.273	0.288	8.308856944241586e-45
USP36	9.377943246831908e-59	-1.1462671349188356	0.369	0.378	3.1113202310014224e-54
SYTL3	1.4120856296550762e-29	-1.140411094292344	0.223	0.271	4.684876493506646e-25
GLUL	1.3161495548685606e-59	-1.1362702652512893	0.394	0.428	4.3665893781874235e-55
WDR45B	5.051813796897651e-37	-1.131845431856745	0.277	0.265	1.6760402633967336e-32
TFPI	1.3685940857083899e-27	-1.1283894309577243	0.145	0.232	4.5405845981547254e-23
SLC25A25	7.950684556871865e-34	-1.1281149907038301	0.248	0.297	2.637798615433379e-29
DDIT4	5.772507226307445e-94	1.1263630334518122	0.563	0.31	1.915144722472021e-89
FAM107B	2.4765339412993706e-28	-1.1239845038193994	0.211	0.249	8.216396657048922e-24
TNFRSF11A	6.834969816514285e-116	1.1239598545462282	0.36	0.127	2.2676379360249446e-111
GPR141	1.4021131443898988e-146	1.1191370658374475	0.499	0.197	4.651790779142367e-142
FMNL3	5.456659989549148e-156	1.113734388997266	0.547	0.226	1.810356084732721e-151
AC008878.3	1.595113371193231e-81	-1.1043362728999004	0.419	0.45	5.292107631607782e-77
KCNE1	7.269260164887643e-38	-1.08745499351366	0.259	0.308	2.4117224449047733e-33
TMTC1	3.126322385685243e-38	-1.072512457104931	0.239	0.229	1.037219977898793e-33
ERCC1	5.165723386865638e-41	-1.0706710735426985	0.266	0.32	1.7138320480604126e-36
ADAM28	1.9729618614727268e-128	1.0687182064679626	0.5	0.214	6.5456955678080654e-124
CLIP4	1.0820425374258907e-27	-1.062040560884988	0.187	0.243	3.5898925264178776e-23
PLPP3	7.572615203380324e-44	-1.059881109583314	0.294	0.301	2.51236654602549e-39
MGAT4A	3.845755654856539e-181	1.0588207856558955	0.781	0.437	1.275906353611754e-176
ETF1	1.4652751875696857e-37	-1.0585752445040384	0.237	0.263	4.861343489799946e-33
AL392172.1	1.7940658381564488e-110	1.0533666567651547	0.476	0.212	5.95217223125165e-106
SNX8	1.8053438915885992e-72	-1.04554004937714	0.42	0.429	5.989589429123496e-68
ELMO1-AS1	1.1011159984598979e-61	1.0445326433808153	0.27	0.111	3.653172548090403e-57
NEDD9	2.458933543624294e-26	-1.0386241035986266	0.221	0.257	8.15800381768232e-22
C5AR1	3.0117491802681604e-64	-1.036635451709438	0.397	0.471	9.992080255375676e-60
MARCH3	7.110569677777117e-62	1.0286046279993175	0.299	0.131	2.359073701996114e-57
MPPED2	7.582235214758873e-67	-1.0151365769507281	0.343	0.486	2.5155581772005513e-62
SERPINB9	4.412447110089152e-84	1.0146113518234199	0.351	0.147	1.463917577714278e-79
PDE7B	1.3483201056526939e-28	-1.0126122731502654	0.225	0.286	4.473321614523942e-24
RILPL1	3.5823678135851547e-32	-1.0044139216008612	0.229	0.253	1.1885221695131468e-27
PFKFB3	1.1993286782613632e-73	-1.0043108463506363	0.523	0.53	3.9790127558677247e-69
IPCEF1	3.3446681761930626e-21	-1.002712334011474	0.203	0.258	1.1096605608155724e-16
FGF13	2.557091089333736e-31	-1.0026012436633156	0.248	0.348	8.483661107082537e-27
GML	7.061779635104722e-220	0.9939189823249596	0.635	0.257	2.3428866295386936e-215
TBC1D8	9.029801950413977e-56	-0.993775788847419	0.385	0.37	2.9958173930888454e-51
SORCS1	4.034563784229364e-25	-0.9934741254236238	0.19	0.242	1.338547226693776e-20
IRAK2	4.766347628025094e-27	-0.9906473054087519	0.212	0.231	1.5813311525498852e-22
MAGT1	5.983871819942759e-36	-0.9884172297152105	0.26	0.273	1.985269153702409e-31
SORL1	6.098669957279946e-91	0.9816030259759635	0.421	0.19	2.023355731726768e-86
SLC8A1-AS1	3.0064169453472827e-80	0.9810989703269036	0.391	0.179	9.97438949957868e-76
ABCC4	9.483737962407069e-82	0.9784395424633276	0.421	0.2	3.1464197437877933e-77
PAQR3	1.146162917099917e-51	0.977849703720875	0.238	0.1	3.802624710062395e-47
BIN1	8.215114055269968e-89	0.9778020673960892	0.383	0.165	2.7255283901169173e-84
CCL3	2.241452441204498e-18	-0.9755667181185899	0.13	0.21	7.436466764184164e-14
AC020916.1	2.623214113021533e-30	-0.9739930402795973	0.225	0.241	8.70303746277154e-26
SKAP1	2.1315790659980274e-34	-0.9710405963638143	0.265	0.301	7.0719398672616555e-30
AC024145.1	7.855795462172061e-117	0.97064632170139	0.501	0.226	2.6063172604848248e-112
AC098864.1	1.2963707479508988e-64	0.9661453974030532	0.292	0.126	4.300969230476697e-60
SH3RF3	4.718057302782883e-130	0.9646390661653367	0.613	0.308	1.565309871344277e-125
ST3GAL6	3.935299957948523e-109	0.9629644597540652	0.47	0.21	1.3056144670485815e-104
MBOAT1	1.7060006957037324e-19	-0.9570001431074883	0.222	0.249	5.659998508136273e-15
AL365273.2	1.6413598306515132e-97	0.9563441991584616	0.408	0.175	5.445539510152525e-93
AL513327.1	5.850916943397457e-88	0.9518606735537314	0.41	0.185	1.941158714310974e-83
PGM5	1.0499397581149318e-88	0.9476700422288826	0.351	0.146	3.483385135497909e-84
AIDA	5.115515729907093e-65	0.9449884980388688	0.298	0.128	1.697174653711276e-60
HSPA1B	2.2074194940345808e-75	0.9416000679512915	0.242	0.088	7.323555655358528e-71
RGN	6.872671405699782e-85	0.9379887594490081	0.25	0.09	2.2801461922690166e-80
UST	7.525035267623637e-56	-0.9358666108945815	0.367	0.327	2.496580950739494e-51
FAM135A	4.811698907204778e-148	0.9312238830451423	0.626	0.301	1.5963773464433292e-143
BROX	5.344588835544812e-46	0.9304211846039702	0.23	0.101	1.7731742379687025e-41
LGMN	1.7790493246804113e-84	-0.928503610932532	0.543	0.565	5.9023519444922004e-80
AC025569.1	1.6847561922726312e-42	0.927588382383715	0.26	0.126	5.589515619102909e-38
GFOD1	7.379884554316068e-28	-0.9259275399574151	0.242	0.302	2.4484242985854418e-23
ARHGAP22	1.6129441673058314e-149	0.9228494494072772	0.708	0.378	5.351264863870557e-145
PATJ	1.1074433625440346e-55	-0.9146481856734456	0.36	0.38	3.6741648439123437e-51
AL117190.2	9.432260371871615e-85	0.9125483070516645	0.274	0.104	3.1293410235758458e-80
AP001636.3	9.499585854410492e-51	0.9072448391467915	0.219	0.089	3.151677598917769e-46
MEIS1	1.7377077111011483e-103	0.9049212588432528	0.359	0.142	5.76519287312028e-99
AC017101.1	2.48090286980911e-46	0.9017360277276358	0.209	0.088	8.230891451165684e-42
ENTPD1	5.519709025421588e-156	0.9006239229582367	0.719	0.383	1.8312738633641203e-151
AC005828.1	4.734122895110097e-44	0.9005543202283143	0.227	0.102	1.570639952910677e-39
AL356805.1	1.5152283791353385e-69	0.9003060133768404	0.347	0.159	5.027073193457312e-65
AP005131.1	1.0585435098257048e-88	0.8999194463560125	0.39	0.172	3.511929802548741e-84
AF241726.2	4.948646872607895e-127	0.8983124969016396	0.623	0.32	1.6418125729251213e-122
ENTPD1-AS1	9.525579717718675e-139	0.8978480019866351	0.718	0.401	3.160301582947525e-134
LPAR6	1.0529851073649077e-110	0.8947389995590957	0.53	0.256	3.493488690704554e-106
BLNK	1.1155523850999128e-95	0.8896251471424614	0.45	0.209	3.7010681480459807e-91
TTYH3	1.1419108505535478e-47	-0.8895256971349547	0.348	0.34	3.788517628881505e-43
AC027644.4	1.6637663400972175e-97	-0.8837159280378013	0.683	0.617	5.519877586540539e-93
DLEU7	1.7985305678769627e-61	0.8810497041412421	0.336	0.159	5.9669848650454e-57
JDP2	4.853168855769159e-59	-0.8776421606759863	0.491	0.474	1.610135831278534e-54
ACACB	2.0650587342433826e-68	-0.8723209942367505	0.452	0.476	6.85124536259927e-64
NOV	7.899008506749456e-130	0.8714517261401455	0.36	0.131	2.620654052284267e-125
AC093152.1	8.825051739762204e-148	0.8714397670421821	0.801	0.492	2.9278874157009065e-143
GFRA2	6.543053150025672e-22	-0.8708252291051669	0.212	0.247	2.1707887435840174e-17
PRMT9	4.335281723614172e-33	-0.8678974345375032	0.238	0.211	1.4383164174434738e-28
MEG3	1.4563712168699582e-201	0.8648594951112254	0.609	0.253	4.8318027862094605e-197
AC069368.1	1.4755499071653036e-39	-0.8644706368799793	0.318	0.313	4.895431927002328e-35
TBX3	3.107717915216172e-71	0.8571941961899618	0.223	0.084	1.0310475727312694e-66
DOCK4	5.139098666608879e-188	0.85640556499576	0.965	0.758	1.7049987646208279e-183
AC015923.1	1.7878362533218887e-47	0.8546998662743515	0.275	0.131	5.93150433764603e-43
RALGPS2	9.82729274305772e-19	-0.8520514308996052	0.2	0.232	3.26040091336426e-14
