gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AC024267.1	3.984507716930214e-14	-8.959154595377758	0	0.016	1.321940125245937e-9
AHSP	1.0586659918102301e-9	-8.796296763671789	0	0.01	3.512336161028801e-5
NFE2	1.768600891337241e-13	-8.00135319971389	0	0.015	5.867687177189564e-9
HBM	2.4621607535911987e-20	-7.768901439703538	0.002	0.029	8.16871073218952e-16
MPO	6.414155140738175e-8	-6.378450367849966	0.003	0.016	0.002128024251042704
SPTA1	4.15866833349632e-24	-6.306491488557174	0.004	0.037	1.379721393004074e-19
CA1	4.746550843435652e-30	-6.03537798555881	0.01	0.056	1.5747631733266461e-25
GYPA	2.8882889436999454e-14	-5.991085043861229	0.001	0.021	9.582476228513309e-10
HEMGN	5.773487929831149e-9	-5.889106674002537	0.001	0.013	1.9154700904800803e-4
AC100835.2	2.916419997319183e-12	-5.793773820549211	0.002	0.018	9.675806625105853e-8
GYPB	1.6522737026579164e-14	-5.733456454502148	0.002	0.023	5.481748463308169e-10
SLC4A1	1.285788455285464e-27	-5.727900983286371	0.012	0.054	4.2658603581005844e-23
CCL18	1.408957692671676e-10	-5.221252027252818	0.002	0.017	4.67449893697682e-6
HBB	5.997863452539843e-24	-5.186838805215352	0.056	0.097	1.9899111576491438e-19
KLF1	3.071234246472796e-8	-5.132658802760671	0.001	0.013	0.0010189433859522797
ALAS2	1.517755210501903e-15	-4.996332332749638	0.003	0.025	5.035456461882163e-11
HBA1	6.124422493076798e-22	-4.871361413652378	0.047	0.079	2.0318996505280894e-17
CA2	2.888805477970115e-17	-4.871254704180463	0.007	0.033	9.58418993426145e-13
EPB42	8.497610938406172e-12	-4.785830456774974	0.005	0.022	2.8192523810350157e-7
HBA2	2.6688152530029807e-25	-4.71000768164117	0.063	0.11	8.85432836488799e-21
MKI67	3.492858034544624e-11	-4.6832645377183155	0.004	0.019	1.15882551012087e-6
SPTB	1.1714805006390067e-21	-4.2832379768827264	0.015	0.052	3.8866208569700326e-17
RHAG	1.5411786550471335e-11	-4.243744686066992	0.004	0.023	5.113168423849875e-7
KEL	1.384863812328532e-14	-4.221877625209668	0.008	0.029	4.5945626701623707e-10
FCN1	1.8587104567564637e-29	-3.8782115938569284	0.009	0.058	6.16664368238092e-25
MANCR	2.1343389705606418e-12	-3.839765668906499	0.003	0.023	7.081096402629041e-8
E2F2	1.8643412972867744e-7	-3.7501674020247497	0.005	0.017	0.006185325122008332
