gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FCER1A	4.288566656199087e-25	5.508518293061343	0.089	0.002	1.422817759527171e-20
IGF1	4.6287788558808495e-22	-4.968502313138471	0.02	0.235	1.5356899610155894e-17
LILRB5	5.192467962860592e-38	-4.90132715608154	0.028	0.367	1.7227050960382587e-33
MPPED2	4.079367059990346e-44	-4.454356633991562	0.081	0.439	1.3534116094929971e-39
AC126177.4	1.1897656167267098e-7	-4.358607678454315	0.008	0.087	0.003947285386614205
IL1R2	2.0043007980200277e-80	4.223060605710784	0.451	0.048	6.649668757591046e-76
GABRB2	1.0729414910358836e-23	-4.21629553080585	0.045	0.283	3.559697984809751e-19
CD1C	2.189311038822157e-24	4.19487537956477	0.114	0.005	7.26347723350027e-20
ITGAD	7.448366787775115e-7	-3.906643139248215	0.02	0.098	0.024711446491801497
HS3ST2	2.8181424743070755e-16	-3.8977796574717023	0.195	0.237	9.349751287008585e-12
PLEKHG5	4.921600272750502e-22	-3.884316724547623	0.037	0.265	1.6328393224904342e-17
GPAT3	1.3598768005143843e-48	3.8689557638745296	0.321	0.042	4.511663261066573e-44
TIMD4	1.0646613786952338e-8	-3.822932890255137	0.033	0.121	3.532227056097177e-4
ADGRL2	5.040964832318456e-32	-3.7998733357260877	0.171	0.418	1.672440902418294e-27
RAB3IL1	8.961283113596997e-7	-3.7506480759525793	0.012	0.087	0.029730848985980756
IL1B	2.9623754640194225e-30	3.721466706778141	0.179	0.015	9.828273076977238e-26
SCN1B	5.208158099521004e-9	-3.656722762485663	0.012	0.111	1.7279106126780834e-4
HLA-DQA2	1.5845651759044126e-17	3.6019933510553432	0.122	0.014	5.25711188409807e-13
AC110995.1	2.711035264131102e-10	-3.6017019003742408	0.016	0.132	8.994401695807757e-6
AL139125.1	4.2027568994509356e-8	-3.5754859067777556	0.016	0.11	0.001394348656530837
AC025569.1	2.940836247343902e-11	-3.5474612464296866	0.024	0.152	9.756812417812863e-7
EREG	3.9645868300813875e-9	3.5298719354420482	0.061	0.007	1.315330972616102e-4
CD300E	5.429286088213856e-46	3.5158087650771597	0.264	0.021	1.801274245486711e-41
FCN1	3.5968977612850867e-99	3.4946607751918877	0.5	0.036	1.1933427702615533e-94
LYZ	6.460962138675434e-72	3.4915893735755614	0.48	0.085	2.1435534087483487e-67
CD1E	7.98629056633965e-9	3.4763591844106827	0.037	0.001	2.6496116211945054e-4
AREG	2.122412096158006e-57	3.4523727705121634	0.394	0.052	7.0415266114234165e-53
CCR2	1.964764440692265e-13	3.384818611806928	0.073	0.005	6.518498984884727e-9
SELENOP	1.2867678415829454e-34	-3.313462428236745	0.13	0.449	4.269109668019738e-30
CNRIP1	8.182915218740847e-10	-3.2935614442181875	0.016	0.128	2.714845782121651e-5
DAB2	2.0589509366715104e-36	-3.2676010192323224	0.114	0.464	6.830981522595071e-32
CLEC4F	1.9121844302002156e-7	3.2634483441867816	0.049	0.005	0.0063440542840752555
TNFRSF25	7.292595036366947e-8	-3.258473793453096	0.016	0.108	0.002419464255215462
MICU3	6.514697097752616e-7	-3.2348655198968252	0.016	0.097	0.021613810561213854
TTN	8.189861938660569e-16	-3.222727071448607	0.089	0.277	2.7171504953894172e-11
EDA	2.4711354323431267e-49	-3.2067250930321682	0.195	0.574	8.198486023884791e-45
COLEC12	1.0585699473971535e-37	-3.1820949602285613	0.154	0.498	3.512017514479536e-33
ME1	6.572050079877414e-40	-3.137662484935984	0.183	0.492	2.1804090550009297e-35
CLEC6A	1.593273229116055e-8	3.1341685395972076	0.049	0.004	5.286002592238335e-4
FGF13	3.031355488917785e-19	-3.1295307908390635	0.085	0.315	1.0057128105582536e-14
WLS	1.108657871656639e-33	-3.0712153237399717	0.093	0.432	3.678194220795231e-29
HLA-DQA1	3.489072791556022e-96	3.0701261967296545	0.691	0.134	1.1575696800545414e-91
SLC40A1	3.577216745310059e-21	-3.0677019034291	0.134	0.345	1.1868131995915184e-16
SCN9A	1.026764207575731e-10	-3.0636073363392	0.053	0.174	3.4064956114740024e-6
VDR	4.606753424739477e-25	3.0143864402798597	0.232	0.051	1.5283825837258162e-20
CLEC5A	7.007967673315554e-21	3.006456141010508	0.167	0.023	2.325033434975901e-16
KCNQ3	3.888585544488663e-15	-2.952720383877054	0.093	0.268	1.2901160260950037e-10
AC007881.2	2.024892317437139e-8	2.9449157571601408	0.077	0.013	6.717985241561196e-4
EMILIN2	7.225341101545938e-99	2.926220961240415	0.756	0.242	2.397151417259896e-94
CCDC141	8.821991990048432e-10	-2.9223608104758716	0.053	0.177	2.9268722825383683e-5
AC100849.1	7.19100082048735e-25	-2.853586043396086	0.15	0.405	2.385758342213088e-20
TREM1	4.9022935107197794e-30	2.837783408932711	0.24	0.034	1.6264339180515011e-25
VCAN	1.0131063482461844e-47	2.833762819718171	0.467	0.167	3.361182931576366e-43
PMP22	2.503573182769115e-15	-2.820231976434544	0.081	0.259	8.306104748473094e-11
PLTP	1.5279176799245314e-8	-2.814054432882394	0.041	0.153	5.069172486685618e-4
GSDME	1.0838307408554096e-7	-2.806764122895329	0.033	0.134	0.0035958252489359925
RND3	6.510204883804456e-7	-2.804444413275933	0.02	0.109	0.021598906742998043
DUSP2	6.48165561039686e-11	2.7947225846244077	0.102	0.018	2.150418881861366e-6
SLCO4A1	2.3643714284709047e-13	2.7593689948217293	0.102	0.013	7.84427508823792e-9
CCDC152	5.257652035861476e-7	-2.7272284004681175	0.028	0.12	0.01744331215937762
CLU	8.83862052318795e-10	-2.6959441343102077	0.065	0.168	2.932389130978066e-5
FLT3	1.8095330591916908e-63	2.694588041894892	0.553	0.113	6.003487830480273e-59
SGMS2	2.5591256976840232e-30	2.6881785207019657	0.28	0.05	8.490411327206284e-26
LGMN	2.241102617903444e-31	-2.678639858479507	0.297	0.541	7.435306155418256e-27
LPAR1	1.8922739189532448e-16	-2.673436695344842	0.106	0.297	6.27799718091118e-12
