gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LILRB5	9.054282561847293e-7	-2.7484382168262154	0.625	0.767	0.030039393255440763
TMEM71	9.20959004197724e-7	2.2344545206338906	0.75	0.733	0.030554656882267887
LINC00937	5.073103534767369e-7	2.2171327953409015	1	0.85	0.0168310355972977
JAML	1.2913409483613795e-6	2.181256441659001	1	0.933	0.04284281864378549
RIPK2	2.0033445485070116e-7	2.1270704330048935	1	0.85	0.006646496208581713
TMTC2	7.234772393447195e-7	1.6427768690534013	0.875	0.883	0.02400280436973976
APAF1	5.276614058531134e-8	1.4640501815645754	1	0.917	0.0017506222461988745
STK38L	2.3753083727876e-8	1.4609957147590105	0.875	0.917	7.880560588397421e-4
TTC28	1.384186143425164e-6	-1.4248773876961047	0.75	0.933	0.04592314368041667
MAP2K1	1.1934293720421222e-6	1.424317408119477	1	0.95	0.03959440627624149
RPS6KA3	5.3107558687940525e-8	1.3626485344837072	1	0.917	0.0017619494745898029
TET2	5.065635615641176e-7	1.1769872503148944	1	0.917	0.01680625928201273
UBAC2	1.4352490635278498e-6	0.885223526386502	1	0.95	0.04761725818066347
