gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	unknown_1	ZF	ZG	ZR
ADIPOQ	3.6033553577232884	-0.22115152448808936	-0.1965982777782833	-0.3057926212412567	-0.2588810541877814	-0.32270151483085446	-0.2480353550137131	-0.029950851239951788	-0.20736965193513965	-0.3297161602375747	-0.22138497986122962	-0.27274042236532775	-0.32998750240806723	-0.327059479010629	-0.3319859631253906
FABP4	3.5349392299768505	-0.159552218406737	-0.4572292826863972	-0.038154666401886715	0.0010703031695738837	0.19254378197634256	-0.2615369545426144	-0.06238719174295726	-0.2808095578013704	-0.43050091997475226	-0.24169081711706517	-0.30109825524572353	-0.5002509233178087	-0.49685879397066096	-0.49848373391479356
MCAM	3.428369619083229	-0.45293356093435194	-0.0797520657155354	0.44901975041695574	0.4105213776645709	-0.6051591436429148	-0.48170143152722783	-0.1333983684160372	-0.4272671043319299	-0.1328204865318414	-0.37269666286791797	-0.5214504664469894	-0.25465450825458497	-0.2875101924925591	-0.5385667560028661
AIFM2	3.2166940775389654	-0.06092333235181028	0.4093380843169116	-0.9011815960055087	-0.268887944050111	-1.1264707874319322	-0.5489353628934399	-0.3413206201476455	-0.03410862778390567	-0.04961755888120998	-0.1684896786293962	-0.7377677474749987	0.1447443371344566	-0.08601910964976713	0.5529458663093914
CYB5A	2.3597673541231257	-0.6355677520456027	0.278808370848656	-0.2037458309058714	0.217111328687336	-0.2788637083297689	-0.39048247958890575	-0.6368663275763892	-0.9714140423780122	0.7935316871293504	-0.7443801076072907	-0.5423721468466375	-0.6136838664596383	-0.6371299954132968	2.005287516362946
CD79B	-0.25839810897093796	3.5876975852995066	-0.2899042117800389	-0.10528078277585759	-0.27680221723728377	-0.3872864928070622	-0.27752957408703105	-0.029512037114078408	-0.039582236475132745	-0.3451908165219467	-0.13795224232431472	-0.3075303157457576	-0.3771948108150342	-0.37647676485023657	-0.3790569737947944
MS4A1	-0.17439233467952794	3.5680292143100947	-0.3651633365798515	-0.3348271521749152	-0.27230368612162786	-0.3827833141311225	-0.24679493736338812	0.1961331102724429	-0.09567231745110252	-0.38117746048809875	-0.09672867631875871	-0.2697393376856044	-0.38180509900085297	-0.381636425931418	-0.3811382466562691
CD79A	-0.18182579642655494	3.502959640113176	-0.4164315813497064	-0.37536706277355203	-0.29539592774103607	-0.42680797340297955	-0.29505879333840507	0.18949811829198215	0.40386037675449377	-0.42592174391116566	-0.09955314580933494	-0.3040948821933399	-0.4251910501133223	-0.4254931493823607	-0.4251770287178938
CD19	-0.2660326370590953	3.4961721910404817	-0.4288494657957888	-0.37643767017194996	-0.3367016773657313	-0.3839545121990517	-0.21526884260554036	0.10078423808052707	0.5179516889217471	-0.3885422284920521	-0.16452499792596834	-0.2914707341266977	-0.4184302352708784	-0.4217241700774814	-0.4229709469525209
STRIP1	-1.046118059531461	1.887515651788695	-0.7736763510058252	-0.40745320416590936	-0.03969147369442358	-0.42916599029424307	0.2182959125849379	-1.270337013122388	-0.9817528162188299	-0.025953571783597678	0.5154882567332696	-1.1100320776560275	1.5787512054200314	0.9677690239861001	0.9163605069596753
TH	-0.30401452359792663	-0.24938029304801554	3.6117211414702384	-0.1959736152084463	-0.28872561601497687	-0.30401452359792663	-0.27013117116697766	-0.2219126560275112	-0.30401452359792663	-0.16246792316813097	-0.29658743419119643	-0.2667528735133595	-0.2501103028578739	-0.2568281250361692	-0.2408075604438006
CHGA	-0.32038789961686487	-0.22112186266051334	3.6099658258096134	-0.2572996626630477	-0.29422037542660645	-0.38173632193299606	-0.2388729564725182	-0.2620455706133669	-0.22268797538544066	-0.24459956041098052	-0.30155377936464584	-0.17116015782005667	-0.2592853299024482	-0.23865871890645407	-0.19633565463367358
