gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	1.873738197393657e-46	-5.099094372975098	0.5	1	6.216501217492936e-42	-0.5
CYP11B1	3.429513232844297e-37	-4.954833415020414	0.5	1	1.1378096052607524e-32	-0.5
GML	1.0267088473031476e-54	-4.164560163287944	1	1	3.406311942697653e-50	0
SCARB1	1.859322284627537e-38	-4.089954657897681	1	1	6.16867354370878e-34	0
MEG3	4.46843140259217e-41	-3.8760255211456016	0.75	1	1.4824914864380043e-36	-0.25
MT2A	1.3843985619223936e-32	-3.8335843523028297	0.75	1	4.593019108889925e-28	-0.25
APOC1	1.1746949534834105e-9	-3.604508263845206	0.75	1	3.897285447171911e-5	-0.25
SORBS2	2.173487497555421e-49	-3.4992758186392816	1	1	7.21097947063962e-45	0
RARRES2	1.0043262430745215e-25	-3.3575116813314816	0.75	1	3.33205317664834e-21	-0.25
APOE	3.689782642143736e-8	-3.355648668066669	1	1	0.0012241591871840272	0
RALYL	2.5313674898448504e-37	-3.349827714064302	0.75	1	8.39831792105826e-33	-0.25
CYP11A1	3.9723955867429576e-30	-3.3022527312866075	0.5	1	1.317921683813711e-25	-0.5
SLIT2	2.3055212017249513e-9	-3.281138086950379	0.75	1	7.649027690962871e-5	-0.25
NOV	3.839733493833672e-15	-3.256023042331087	0	1	1.2739083812491975e-10	-1
ABCC3	3.3584965616247873e-25	-3.225795922410081	1	1	1.1142484042502558e-20	0
DHCR24	8.105329444299488e-24	-3.1570212552580976	0.75	1	2.689105149735241e-19	-0.25
HSD3B2	4.63981350771553e-21	-3.146695435321327	0	1	1.5393509274547814e-16	-1
PEBP1	8.219934166672155e-32	-3.091113384998722	1	1	2.727127558476821e-27	0
RIMS2	1.902366212435831e-26	-3.009215871799654	1	1	6.311480382998357e-22	0
FBXL7	2.9951008024613253e-22	-2.997099753788409	1	1	9.936845932325939e-18	0
FADS2	3.4931596920968245e-19	-2.951007162233981	0.5	1	1.1589255910469635e-14	-0.5
PCDH15	3.2716454302036587e-17	-2.8925103320710157	1	1	1.0854338043786678e-12	0
STAR	9.63545722186603e-23	-2.8089472616922486	0.5	1	3.1967556424984927e-18	-0.5
CYP21A2	2.0891336934495718e-20	-2.7894756002999923	0	1	6.931118854757645e-16	-1
PRKG1	3.7593642416774864e-24	-2.786064498214084	1	1	1.2472442744613396e-19	0
GRAMD1B	2.1202004184514903e-18	-2.754679901354799	1	1	7.034188928296509e-14	0
GSTA1	1.8362905111676633e-17	-2.753092669026528	0.25	1	6.092261028900956e-13	-0.75
IGHM	8.592949879378795e-8	2.708723322959559	1	0	0.0028508829814815027	1
TENM3	3.23423029707824e-17	-2.7083429551734755	1	1	1.0730205856616476e-12	0
PAPSS2	7.891506971869113e-18	-2.665303755483686	1	1	2.6181652680570155e-13	0
FDX1	2.870951179847849e-24	-2.6164524275036167	1	1	9.524954729381209e-20	0
AOX1	2.6111944891293865e-24	-2.6020786214580403	0.75	1	8.663159956584566e-20	-0.25
MEIS1	1.5310380943328695e-23	-2.5627832697020767	1	0.75	5.079525085568161e-19	0.25
NXPH1	1.2084924266205256e-16	-2.5410071142693895	0.75	1	4.009415323798918e-12	-0.25
PBX1	1.944168854701972e-15	-2.528308546133741	1	1	6.450169009244732e-11	0
TPD52L1	5.082507276794611e-12	-2.5238650023284874	0.5	1	1.686223439222148e-7	-0.5
PSD3	6.595628167514923e-17	-2.5166078893386308	1	1	2.188231557136426e-12	0
C7	2.018759105285727e-19	-2.48513177358101	1	1	6.697637083606457e-15	0
PDE10A	1.275910464615045e-19	-2.46905268253185	1	1	4.233088148453335e-15	0
PGM5	1.8468949230773652e-16	-2.406565182460519	0.75	1	6.127443286293775e-12	-0.25
AL117190.1	1.0059230059415688e-17	-2.3950242353262077	0.5	1	3.3373507568123426e-13	-0.5
AFF3	6.225981698763925e-11	2.35419317427001	1	0.75	2.0655939481989073e-6	0.25
IGLC2	1.4553457444683853e-6	2.335839195464411	1	0.5	0.04828400576422762	0.5
GSTA4	3.836826442980795e-14	-2.3194681852932617	0.5	1	1.2729439089877383e-9	-0.5
FBN2	3.405168559052432e-8	-2.3118909308717206	1	1	0.0011297327728368254	0
DCN	2.1085541679262902e-16	-2.3064127927735902	1	0.75	6.995550162929053e-12	0.25
LSAMP	3.1741112910181325e-11	-2.2663491569000085	1	1	1.0530749030210859e-6	0
TBX3	3.869388581019041e-16	-2.261335813246733	0.25	1	1.2837470495246873e-11	-0.75
CLU	3.1099756326861623e-13	-2.2589945385373715	1	0.75	1.0317966156562881e-8	0.25
MT-CO1	9.145367942934942e-9	-2.2588248126899604	1	1	3.0341587224275255e-4	0
MEIS2	8.41620863167031e-14	-2.214629677987255	1	0.75	2.7922455377292587e-9	0.25
BORCS7-ASMT	5.148640244401449e-15	-2.2031901695150156	1	1	1.708164373885069e-10	0
MEG8	1.9179844300339672e-15	-2.1884573700650076	1	1	6.363296943523693e-11	0
PEG10	6.23052258386101e-16	-2.1762994849891073	0.5	1	2.067100477647567e-11	-0.5
ALAS1	5.6181415168216786e-14	-2.17041064625224	0.75	0.75	1.863930811035928e-9	0
ATRNL1	7.146608885138435e-13	-2.16870793126935	1	0.75	2.3710304298223786e-8	0.25
PDZRN3	2.3100919301591177e-13	-2.1628505623067156	1	1	7.664191996688905e-9	0
CALN1	3.197913184450894e-11	-2.1351615404237423	1	1	1.060971657205273e-6	0
AKR1B1	1.3854738644314008e-14	-2.1327922278834808	1	1	4.5965866400240585e-10	0
LRMDA	8.190483334519247e-9	-2.089702257303013	1	1	2.717356655893451e-4	0
SLC16A9	1.2291725845405172e-16	-2.0848059108006334	0.75	1	4.078025883730074e-12	-0.25
SULT2A1	1.3988939938496209e-11	-2.082320001213613	0.75	1	4.641110603394887e-7	-0.25
