gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	2.5599999999999993e-121	-13.435	0	0.398	8.499999999999998e-117	-0.398
CYP21A2	2.0899999999999995e-77	-12.729	0	0.26	6.939999999999999e-73	-0.26
HSD3B2	9.509999999999999e-75	-12.722	0	0.251	3.15e-70	-0.251
CYP11B1	1.1599999999999995e-248	-11.252	0.001	0.762	3.859999999999998e-244	-0.761
DLK1	5.0199999999999996e-73	-10.699	0	0.255	1.6699999999999996e-68	-0.255
CYP17A1	1.5599999999999993e-235	-9.903	0.002	0.745	5.189999999999998e-231	-0.743
RARRES2	6.939999999999999e-97	-8.276	0.001	0.351	2.2999999999999995e-92	-0.35
CYP11A1	4.2999999999999994e-75	-7.373	0.002	0.29	1.4299999999999998e-70	-0.288
RGN	5.839999999999999e-54	-6.835	0.002	0.212	1.94e-49	-0.21
STAR	1.59e-61	-6.677	0.002	0.238	5.279999999999999e-57	-0.236
GML	1.5899999999999995e-153	-6.366	0.01	0.597	5.269999999999999e-149	-0.587
DHCR24	8.459999999999999e-101	-6.276	0.006	0.411	2.8099999999999993e-96	-0.405
MEG3	9.699999999999998e-131	-6.217	0.01	0.528	3.219999999999999e-126	-0.518
JAG1	2.23e-22	5.817	0.219	0.004	7.4e-18	0.215
AOX1	8.83e-56	-5.784	0.005	0.251	2.93e-51	-0.246
MT2A	5.839999999999999e-81	-5.603	0.007	0.351	1.9399999999999994e-76	-0.344
AL117190.1	1.54e-45	-5.482	0.005	0.208	5.1e-41	-0.203
DCN	7.92e-58	-5.252	0.007	0.273	2.63e-53	-0.266
SCARB1	9.609999999999996e-175	-5.251	0.039	0.758	3.1899999999999987e-170	-0.719
CLU	2.3899999999999996e-55	-5.201	0.009	0.273	7.92e-51	-0.264
APOC1	2.0399999999999998e-52	-5.143	0.011	0.268	6.77e-48	-0.257
MEIS1	1.02e-46	-5.127	0.007	0.229	3.3899999999999994e-42	-0.222
SLIT2	6.2899999999999985e-62	-5.052	0.012	0.312	2.09e-57	-0.3
RALYL	4.22e-102	-5.036	0.015	0.472	1.3999999999999998e-97	-0.457
FADS2	1.13e-42	-4.734	0.01	0.229	3.74e-38	-0.219
SORBS2	1.0099999999999998e-114	-4.588	0.035	0.593	3.3399999999999996e-110	-0.558
RIMS2	1.3e-59	-4.308	0.019	0.338	4.319999999999999e-55	-0.319
ABCC3	3.2499999999999996e-81	-4.305	0.031	0.459	1.0799999999999997e-76	-0.428
PAPSS2	9.369999999999999e-38	-4.008	0.018	0.242	3.11e-33	-0.224
APOE	6.769999999999999e-93	-3.967	0.058	0.567	2.2499999999999997e-88	-0.509
PEBP1	4.41e-67	-3.912	0.027	0.403	1.4599999999999998e-62	-0.376
C7	1.67e-44	-3.899	0.018	0.273	5.53e-40	-0.255
ALAS1	1.4100000000000001e-33	-3.742	0.015	0.216	4.6800000000000004e-29	-0.201
AKR1B1	1.13e-46	-3.706	0.029	0.32	3.7599999999999994e-42	-0.291
PDE10A	5.9e-37	-3.584	0.02	0.251	1.96e-32	-0.231
ATRNL1	7.360000000000001e-29	-3.583	0.019	0.208	2.4399999999999997e-24	-0.189
SPON2	9.199999999999998e-68	-3.542	0.161	0.506	3.0499999999999993e-63	-0.345
MGP	1.2800000000000001e-26	-3.519	0.021	0.203	4.23e-22	-0.182
IGFBP5	3.4099999999999996e-37	-3.51	0.017	0.238	1.13e-32	-0.221
FBXL7	1.2399999999999997e-69	-3.478	0.052	0.485	4.1199999999999996e-65	-0.433
PSD3	6.889999999999998e-55	-3.445	0.044	0.403	2.28e-50	-0.359
PCDH15	1.73e-45	-3.438	0.037	0.342	5.74e-41	-0.305
IGKC	2.08e-19	3.432	0.282	0.043	6.9e-15	0.239
GRAMD1B	1.1199999999999996e-96	-3.422	0.076	0.645	3.719999999999999e-92	-0.569
PRKG1	9.129999999999998e-62	-3.335	0.056	0.463	3.0299999999999997e-57	-0.407
PBX1	2.73e-45	-3.329	0.047	0.364	9.06e-41	-0.317
PDGFD	2.07e-34	-3.203	0.024	0.251	6.88e-30	-0.227
TENM3	1.89e-30	-3.182	0.034	0.26	6.270000000000001e-26	-0.226
LDLR	1.1e-46	-3.117	0.023	0.299	3.6599999999999994e-42	-0.276
LSAMP	1.67e-27	-3.107	0.035	0.247	5.53e-23	-0.212
FDX1	5.1900000000000004e-49	-3.103	0.042	0.377	1.72e-44	-0.335
SCD5	2.35e-31	-3.097	0.033	0.264	7.79e-27	-0.231
PDZRN3	6.13e-30	-3.084	0.026	0.238	2.03e-25	-0.212
ITGA9	4.29e-31	-3.034	0.035	0.268	1.42e-26	-0.233
RASGEF1B	3.7e-10	2.914	0.202	0.061	1.23e-5	0.141
LRMDA	1.4399999999999999e-77	-2.814	0.146	0.662	4.7899999999999996e-73	-0.516
AL139383.1	4.1e-24	-2.811	0.027	0.212	1.36e-19	-0.185
BORCS7-ASMT	4.7800000000000004e-29	-2.787	0.037	0.264	1.5899999999999999e-24	-0.227
MT-CO1	8.43e-123	-2.774	0.3	0.892	2.7999999999999994e-118	-0.592
COBLL1	8.02e-29	-2.765	0.043	0.277	2.6599999999999998e-24	-0.234
IGFBP7	7.83e-21	-2.661	0.039	0.221	2.6e-16	-0.182
C2CD2	1.77e-30	-2.588	0.054	0.312	5.870000000000001e-26	-0.258
CACNA1D	4.38e-21	-2.55	0.039	0.225	1.45e-16	-0.186
MT-ND4	8.92e-90	-2.51	0.252	0.818	2.9599999999999993e-85	-0.566
CALN1	7.000000000000001e-29	-2.495	0.057	0.312	2.32e-24	-0.255
EPHX1	4.15e-20	-2.479	0.038	0.216	1.38e-15	-0.178
MT-ND1	5.48e-59	-2.455	0.184	0.645	1.8199999999999997e-54	-0.461
MT-CO3	1.2099999999999998e-79	-2.434	0.239	0.784	4.0299999999999995e-75	-0.545
MAGI2	2.96e-30	-2.402	0.068	0.342	9.810000000000001e-26	-0.274
MT-ND4L	5.75e-19	-2.392	0.043	0.221	1.91e-14	-0.178
MT-CYB	5.289999999999999e-72	-2.389	0.207	0.749	1.76e-67	-0.542
PLEKHA5	3.93e-38	-2.377	0.077	0.407	1.3100000000000001e-33	-0.33
MT-ATP6	1.5399999999999998e-64	-2.314	0.207	0.719	5.11e-60	-0.512
AFF3	5.71e-17	2.303	0.332	0.087	1.89e-12	0.245
RBM47	8.02e-40	-2.297	0.108	0.472	2.66e-35	-0.364
MT-CO2	5.7499999999999995e-80	-2.268	0.266	0.84	1.9099999999999998e-75	-0.574
DEPTOR	1.06e-17	-2.263	0.048	0.225	3.51e-13	-0.177
RDX	1.9699999999999998e-35	-2.257	0.092	0.42	6.549999999999999e-31	-0.328
ST6GALNAC3	1.02e-7	2.224	0.208	0.087	0.003	0.121
FRMD5	3.99e-18	-2.221	0.045	0.221	1.32e-13	-0.176
UNC5C	1.39e-15	-2.21	0.047	0.208	4.6e-11	-0.161
MT-ATP8	4.14e-18	-2.187	0.085	0.294	1.37e-13	-0.209
CFAP44	2e-24	-2.169	0.069	0.312	6.63e-20	-0.243
TNS1	7.21e-20	-2.143	0.07	0.281	2.39e-15	-0.211
MT-ND2	7.14e-50	-2.129	0.205	0.654	2.37e-45	-0.449
KIAA1217	4.83e-14	-2.113	0.051	0.203	1.6e-9	-0.152
RETREG1	2.6e-10	2.106	0.265	0.095	8.64e-6	0.17
MT-ND3	2.2e-33	-2.105	0.138	0.476	7.29e-29	-0.338
CERS6	2.15e-8	2.025	0.253	0.134	7.12e-4	0.119
MCF2L2	8.79e-18	-2.002	0.065	0.26	2.92e-13	-0.195
FARP1	2.05e-18	-1.993	0.056	0.247	6.8e-14	-0.191
CPEB4	6.04e-20	-1.961	0.08	0.303	2e-15	-0.223
THSD4	4.18e-14	-1.933	0.066	0.234	1.39e-9	-0.168
ABCB1	1.84e-14	-1.872	0.061	0.229	6.1e-10	-0.168
MAN1C1	6.71e-8	1.867	0.274	0.13	0.002	0.144
MAP3K5	6.69e-41	-1.782	0.294	0.71	2.22e-36	-0.416
BACH2	8.87e-21	1.78	0.582	0.316	2.94e-16	0.266
RPS8	5.51e-26	-1.748	0.148	0.455	1.8300000000000003e-21	-0.307
PSMA1	2.02e-8	1.745	0.283	0.16	6.69e-4	0.123
APBA2	1.48e-9	1.727	0.362	0.195	4.93e-5	0.167
PARD3	4.69e-15	-1.697	0.08	0.268	1.56e-10	-0.188
HSP90AA1	1.89e-19	-1.67	0.128	0.377	6.26e-15	-0.249
TPT1	4.08e-19	-1.651	0.15	0.403	1.35e-14	-0.253
ARHGAP18	4.46e-12	-1.645	0.064	0.216	1.48e-7	-0.152
SNTB1	1.29e-23	-1.634	0.128	0.411	4.29e-19	-0.283
MT-ND5	2.97e-24	-1.632	0.188	0.498	9.85e-20	-0.31
LEF1	2.32e-22	1.609	0.607	0.381	7.7e-18	0.226
MIR4435-2HG	2.5e-10	-1.602	0.081	0.229	8.29e-6	-0.148
PDE3B	3.61e-19	1.593	0.589	0.342	1.2e-14	0.247
RPS26	9.82e-12	-1.582	0.081	0.242	3.26e-7	-0.161
RPL7A	2.27e-12	-1.577	0.083	0.251	7.52e-8	-0.168
NDFIP1	4.64e-12	1.562	0.462	0.307	1.54e-7	0.155
PHC2	1.5e-12	-1.549	0.058	0.208	4.96e-8	-0.15
KCNQ1OT1	1.78e-14	-1.526	0.107	0.307	5.89e-10	-0.2
