gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	8.313539609018056e-37	-5.127060268303965	0.25	1	2.7581830360839203e-32	-0.75
CYP11B1	1.9473547830750055e-31	-4.7897153250689595	0.5	1	6.460738963807946e-27	-0.5
MT2A	2.062384469037699e-21	-4.200435944882831	0.5	1	6.842372952926374e-17	-0.5
IGKC	9.033027449328265e-7	4.054862488161441	1	0.75	0.029968875168636385	0.25
SCARB1	6.946042227713224e-30	-4.008669102514634	1	1	2.304488429888416e-25	0
DHCR24	5.508271713047713e-26	-3.645462950415232	0.75	1	1.8274793062378396e-21	-0.25
GML	1.7905768975077094e-25	-3.6074682201367065	1	1	5.940596972861327e-21	0
NOV	1.559202491109171e-13	-3.4932269264579814	0.25	1	5.1729661047528964e-9	-0.75
STAR	4.8853383497093235e-22	-3.481197922944082	0.25	1	1.620808704283062e-17	-0.75
APOC1	6.965983681334505e-16	-3.1412493997480486	0.75	1	2.3111044059563486e-11	-0.25
HSD3B2	1.6501677510823886e-19	-3.1135642047645424	0	1	5.47476154776604e-15	-1
PEBP1	3.2665213682169285e-23	-3.1117073726325417	1	1	1.0837337943333303e-18	0
CYP11A1	1.7952542454549603e-15	-3.0577777037843887	0.25	1	5.956115010145921e-11	-0.75
IGHM	3.590007882979096e-7	3.048105855990536	1	0	0.011910569153359748	1
MEG8	1.0382210835551648e-13	-3.0248457735698198	0.25	1	3.4445060889109703e-9	-0.75
GSTA1	1.4841157103568527e-17	-3.020754627453576	0.5	1	4.92385069225093e-13	-0.5
MEG3	4.041888029758325e-23	-3.005715967541119	1	1	1.3409771916329194e-18	0
CYP21A2	8.08801179659727e-17	-2.9919274159048888	0.25	1	2.6833596737570765e-12	-0.75
ABCC3	4.213853547498148e-18	-2.7976913899718845	1	1	1.3980301914534606e-13	0
FDX1	7.206971666667188e-16	-2.795891286714376	1	1	2.391056989850173e-11	0
APOE	1.3607930871004283e-9	-2.694966162681511	0.75	1	4.514703225073091e-5	-0.25
GSTA4	1.9732847490951576e-10	-2.668122568313054	0.25	1	6.546766812073004e-6	-0.75
IGFBP5	2.848625654065891e-16	-2.612021649913388	1	1	9.450885332494407e-12	0
CLU	1.59688006357936e-13	-2.6020518779733814	1	1	5.297968986937243e-9	0
SORBS2	2.4914319970244574e-22	-2.5779441977315503	1	1	8.265823936528042e-18	0
RPL7A	1.60588740442001e-13	-2.4695477468192992	1	1	5.327852641644267e-9	0
C7	2.9736284005434836e-14	-2.424712050088229	1	1	9.865606944483115e-10	0
TPT1	1.2158708208445756e-9	-2.3864500551525256	1	1	4.0338946223160486e-5	0
FBXL7	1.483548594984278e-13	-2.3653898408625205	1	1	4.9219691735793395e-9	0
MGP	3.959086309908298e-8	-2.3483583776023886	0.75	1	0.001313506065038276	-0.25
FDXR	8.441431073056023e-11	-2.339721837423122	0.5	1	2.800613587107797e-6	-0.5
RPL23	6.65063279907006e-11	-2.329998110194962	1	1	2.206480443747474e-6	0
AL117190.2	5.860837449052127e-12	-2.3041909802049907	0.5	1	1.9444500404720243e-7	-0.5
PDE10A	2.4696909025144833e-9	-2.2928959544657204	1	1	8.193693507272301e-5	0
SLC16A9	3.8172998993402554e-7	-2.2836228488529575	0.25	1	0.012664655876041165	-0.75
RALYL	1.9309228380384827e-14	-2.233735513782811	1	0.75	6.406222699760274e-10	0.25
AL117190.1	4.8296358842349866e-11	-2.2300980295623707	0.75	1	1.6023282973126415e-6	-0.25
SLIT2	7.330300461984333e-10	-2.2107114619364534	1	0.75	2.4319737842725424e-5	0.25
AFF3	2.0905084395343186e-8	2.1961911457754897	1	0.75	6.935679849843009e-4	0.25
MGST1	1.6191266202808005e-8	-2.18964899452887	1	1	5.371776388105612e-4	0
MEIS1	5.437561101739085e-12	-2.1795374154804223	1	1	1.8040196467239763e-7	0
C2CD2	4.2829036936586444e-10	-2.17721413210876	1	1	1.4209389584451285e-5	0
SERF2	4.6208468202871854e-10	-2.1668099253507	1	1	1.5330583495666796e-5	0
DLK1	3.747613213863677e-12	-2.084191447721751	0.5	0.75	1.2433456359635522e-07	-0.25
NR5A1	6.237010831670378e-10	-2.0591950089887026	0.25	1	2.069253083623281e-5	-0.75
VSTM4	1.4726817695276825e-9	-2.0297317386628975	1	1	4.885916306761992e-5	0
FADS2	1.1116124091922867e-9	-2.026875046284986	1	1	3.68799648997725e-5	0
LINC01807	2.364375488411235e-9	-2.0103976238323487	0.75	0.75	7.844288557901955e-5	0
DCN	6.027379358841471e-8	-2.0096262658451964	0.75	1	0.001999703649882835	-0.25
HDHD3	1.2909740652660488e-7	-1.9984436471218445	0.75	1	0.00428306465633317	-0.25
PDGFD	1.2985930101698696e-7	-1.9809359845897176	1	1	0.004308342029840577	0
WHRN	1.274315159778602e-8	-1.9799795473530568	1	1	4.227795405597468e-4	0
AKR1B1	9.510397896920806e-11	-1.960679096911961	1	0.75	3.1552647102614157e-6	0.25
AC025627.1	3.2324779724780233e-9	-1.8986805762670818	1	1	1.0724392169290337e-4	0
PEG10	9.570229065061391e-8	-1.8927120940658508	0.25	1	0.0031751148969154175	-0.75
MEIS2	1.1018902038556263e-8	-1.8824891687994105	1	1	3.655741129331811e-4	0
TBX3	8.204541512748844e-11	-1.8638494938251096	0.5	0.75	2.722020737684684e-6	-0.25
FADS1	7.928297365853337e-8	-1.840064106662372	0.75	1	0.0026303712170691615	-0.25
TNXB	1.6810520068319464e-7	-1.7929052148326488	1	1	0.0055772262430663485	0
AOX1	3.5804365562243456e-7	-1.773360506837837	0.75	0.75	0.011878814362585512	0
PGM5	2.717870977816819e-7	-1.7692132010303374	0.75	0.75	0.00901708054310286	0
RGN	1.3838215444600203e-7	-1.757106449996433	0.75	0.75	0.004591104738055009	0
HSPE1	5.253143699671394e-8	-1.7504242931197682	1	1	0.0017428354852399785	0
ALAS1	7.393625085444071e-8	-1.7350516634170716	0.75	0.75	0.0024529829945977794	0
UBB	1.1886960178827137e-7	-1.7102638968933732	1	1	0.003943736778529479	0
AP000924.1	3.421063668908698e-7	-1.6864777044511021	0.75	0.75	0.011350062934338387	0
SEMA3B	3.996260200845294e-8	-1.6829653824581678	0.5	0.75	0.0013258392468344434	-0.25
VWA5B2	3.9396208225480514e-7	-1.5791100214528746	0	1	0.01307048000296767	-1
NXPH1	1.3560393985267357e-6	-1.5265508083036878	1	0.75	0.04498931912492151	0.25
KCNK3	2.646314146888776e-7	-1.5154901603381705	1	0.75	0.008779676445132892	0.25
PCDH15	1.4250962800275715e-6	-1.503397711088835	1	1	0.04728041928247474	0
PSD3	2.7983625556149118e-8	-1.4760238043773193	1	0.75	9.284127450763593e-4	0.25
