gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HSD3B2	2.49618006122979e-47	-11.421826498023856	0	0.389	8.281576589142074e-43	-0.389
NOV	1.0554430269938719e-59	-10.367858568938695	0.001	0.505	3.5016433306575684e-55	-0.504
CYP17A1	2.6073106314211426e-106	-9.910668912670939	0.002	0.821	8.650274481865924e-102	-0.819
CYP21A2	6.78422849675062e-38	-9.480887828168996	0.001	0.337	2.2508034883669532e-33	-0.336
CYP11B1	4.275202005892812e-87	-9.462795442907607	0.002	0.705	1.4183837694950583e-82	-0.703
STAR	1.1226571173562041e-44	-8.169043429610765	0.002	0.411	3.724639518252679e-40	-0.409
TBX3	2.498255802097953e-24	-6.6659559370912564	0.002	0.242	8.28846327462038e-20	-0.24
DLK1	8.943791075150864e-28	-6.525525677814555	0.002	0.263	2.967281565002802e-23	-0.261
CYP11A1	2.0277263236213743e-36	-6.34940952360893	0.008	0.389	6.727387623878633e-32	-0.381
DHCR24	6.682952984628264e-49	-6.205287476034758	0.012	0.516	2.217203311710119e-44	-0.504
RARRES2	1.6924845906444356e-37	-6.103184823566561	0.004	0.368	5.615156126381044e-33	-0.364
MT2A	8.147473852410242e-44	-5.968137548074404	0.01	0.463	2.703087400014146e-39	-0.453
MEG8	2.535431991280776e-23	-5.957371886153651	0.008	0.274	8.411802717472231e-19	-0.266
GSTA1	9.888830195517927e-24	-5.584695382460645	0.007	0.274	3.2808171939669827e-19	-0.267
AL117190.2	4.244171954906489e-23	-5.41968482189727	0.006	0.263	1.4080889294793258e-18	-0.257
GSTA4	2.5176269845035502e-21	-5.124141027420952	0.011	0.274	8.352731046487429e-17	-0.263
RGN	1.2047780077639272e-21	-5.114266509683923	0.004	0.232	3.9970919963583814e-17	-0.228
SCARB1	1.1266251767180258e-70	-4.812584937566002	0.068	0.821	3.737804348797394e-66	-0.7529999999999999
GML	1.0042855669732872e-51	-4.809188001915791	0.03	0.621	3.331918225547275e-47	-0.591
