gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	5.56e-25	-4.784	0	1	1.84e-20	-1
CYP11B1	8.4e-17	-4.639	0	1	2.79e-12	-1
IGKC	7.04e-8	4.48	1	0.25	0.002	0.75
SCARB1	8.08e-30	-3.841	1	1	2.6799999999999998e-25	0
IGHG3	1.62e-7	3.741	1	0	0.005	1
MEG3	7.71e-22	-3.682	0.5	1	2.56e-17	-0.5
STAR	1.46e-10	-3.309	0.25	1	4.83e-6	-0.75
NOV	4.15e-12	-3.252	0	1	1.38e-7	-1
MT2A	4.7e-7	-3.175	1	1	0.016	0
DHCR24	2.39e-17	-3.085	0.5	1	7.92e-13	-0.5
CYP21A2	1.86e-16	-3.077	0	1	6.16e-12	-1
BACH2	4.9e-7	3.071	1	1	0.016	0
RALYL	1.13e-7	-3.065	0.75	1	0.004	-0.25
RARRES2	2.62e-15	-3.004	0.5	1	8.69e-11	-0.5
GML	9.099999999999999e-23	-2.933	1	1	3.02e-18	0
CYP11A1	1.83e-15	-2.905	0.25	1	6.06e-11	-0.75
RIMS2	1.34e-16	-2.902	0.75	1	4.45e-12	-0.25
ABCC3	1.71e-17	-2.894	1	1	5.68e-13	0
HSD3B2	1.46e-15	-2.878	0	1	4.84e-11	-1
APOC1	9.29e-7	-2.784	0.75	1	0.031	-0.25
PEBP1	1.29e-15	-2.78	1	1	4.29e-11	0
APOE	2.81e-13	-2.763	1	1	9.34e-9	0
IGLC2	6.25e-7	2.709	1	0.5	0.021	0.5
MEIS2	4.58e-16	-2.69	0.75	1	1.52e-11	-0.25
CLU	6.12e-14	-2.677	0.75	1	2.03e-9	-0.25
SLIT2	4.02e-14	-2.673	0.75	1	1.34e-9	-0.25
PDE10A	9.37e-15	-2.672	0.75	1	3.11e-10	-0.25
IGHG1	1.04e-6	2.657	1	0.5	0.034	0.5
SORBS2	1.23e-15	-2.654	1	1	4.09e-11	0
LRMDA	6.07e-15	-2.595	1	1	2.01e-10	0
CISH	4.52e-8	-2.533	0.75	1	0.002	-0.25
C7	1.12e-15	-2.529	0.75	1	3.7e-11	-0.25
AL117190.1	1.19e-13	-2.515	0	1	3.94e-9	-1
FADS2	1.35e-16	-2.409	0.75	1	4.47e-12	-0.25
NELL2	4.55e-8	2.327	1	0.75	0.002	0.25
TBX3	5.04e-12	-2.306	0.25	1	1.67e-7	-0.75
SLC16A9	4.4e-12	-2.283	1	1	1.46e-7	0
AOX1	8.26e-12	-2.257	0.5	1	2.74e-7	-0.5
DCN	2.33e-11	-2.23	0.5	1	7.74e-7	-0.5
PDZRN3	6.07e-10	-2.226	1	0.75	2.02e-5	0.25
GRAMD1B	1.63e-11	-2.226	1	1	5.4e-7	0
