gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	4.379999999999999e-66	-10.858	0	0.425	1.45e-61	-0.425
HSD3B2	1.1499999999999999e-48	-10.083	0	0.321	3.82e-44	-0.321
STAR	1.57e-46	-7.735	0.002	0.34	5.1999999999999994e-42	-0.338
DLK1	8.71e-40	-7.373	0.001	0.274	2.89e-35	-0.273
NR5A1	8.210000000000001e-33	-7.311	0.001	0.236	2.72e-28	-0.235
RARRES2	1.03e-46	-5.902	0.005	0.368	3.4299999999999995e-42	-0.363
DHCR24	4.17e-53	-5.785	0.011	0.462	1.3799999999999998e-48	-0.451
MT2A	4.25e-50	-5.757	0.008	0.415	1.4099999999999998e-45	-0.407
GSTA1	1.2e-26	-5.631	0.004	0.226	3.99e-22	-0.222
AL117190.2	1.96e-32	-5.619	0.005	0.274	6.49e-28	-0.269
GML	7.429999999999999e-73	-5.169	0.028	0.67	2.4699999999999994e-68	-0.642
GSTA4	1.66e-29	-5.078	0.009	0.283	5.52e-25	-0.274
MEG3	3.4199999999999993e-68	-5.037	0.028	0.642	1.1299999999999997e-63	-0.614
CLU	3.59e-35	-5.021	0.015	0.358	1.19e-30	-0.343
SCARB1	9.779999999999998e-95	-4.953	0.065	0.849	3.2499999999999994e-90	-0.784
FDXR	9.01e-19	-4.605	0.01	0.208	2.99e-14	-0.198
MEG8	2.3e-22	-4.573	0.013	0.255	7.64e-18	-0.242
APOC1	7.23e-27	-4.504	0.018	0.311	2.4e-22	-0.293
IGKC	3.66e-17	4.491	0.4	0.038	1.21e-12	0.362
JAG1	1.87e-13	4.467	0.302	0.019	6.19e-9	0.283
AOX1	4.84e-26	-4.447	0.015	0.292	1.6100000000000001e-21	-0.277
SEMA3B	1.58e-19	-4.315	0.009	0.208	5.24e-15	-0.199
PEBP1	1.9199999999999998e-45	-4.211	0.039	0.538	6.37e-41	-0.499
AL117190.1	2.87e-26	-4.189	0.017	0.302	9.52e-22	-0.285
SLC16A9	9.74e-17	-4.15	0.013	0.208	3.23e-12	-0.195
