gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	2.869999999999999e-63	-12.354	0	0.461	9.53e-59	-0.461
HSD3B2	3.54e-42	-11.499	0	0.314	1.18e-37	-0.314
TBX3	1.8799999999999998e-35	-11.185	0	0.265	6.229999999999999e-31	-0.265
DLK1	9.5e-41	-9.538	0.001	0.324	3.1500000000000004e-36	-0.323
RARRES2	1.65e-54	-8.199	0.001	0.431	5.47e-50	-0.43
STAR	1.67e-30	-6.993	0.002	0.265	5.53e-26	-0.263
AL117190.2	1.3300000000000001e-21	-6.314	0.005	0.216	4.42e-17	-0.211
GSTA1	2.05e-24	-6.261	0.004	0.235	6.81e-20	-0.231
RGN	3.73e-33	-6.239	0.002	0.284	1.2399999999999999e-28	-0.282
AOX1	2.9000000000000004e-26	-5.997	0.006	0.265	9.61e-22	-0.259
DHCR24	7.21e-46	-5.781	0.011	0.451	2.39e-41	-0.44
MEG3	2.8799999999999995e-55	-5.696	0.022	0.559	9.56e-51	-0.537
AL117190.1	6.5e-26	-5.646	0.008	0.275	2.16e-21	-0.267
RALYL	3.8099999999999994e-54	-5.148	0.03	0.588	1.27e-49	-0.558
SCARB1	1.1999999999999998e-78	-5.056	0.055	0.794	3.9899999999999995e-74	-0.739
SLC16A9	5.59e-18	-5.005	0.01	0.216	1.86e-13	-0.206
MEG8	2.22e-18	-4.92	0.011	0.225	7.36e-14	-0.214
JAG1	9.68e-17	4.855	0.369	0.02	3.21e-12	0.349
MT2A	1.8e-33	-4.794	0.014	0.373	5.96e-29	-0.359
GML	1.54e-49	-4.773	0.025	0.549	5.11e-45	-0.524
CLU	2.11e-25	-4.764	0.014	0.304	7.02e-21	-0.29
APOC1	1.8e-24	-4.74	0.017	0.304	5.97e-20	-0.287
DCN	1.22e-18	-4.724	0.013	0.235	4.04e-14	-0.222
SLIT2	8.419999999999999e-24	-4.385	0.028	0.333	2.79e-19	-0.305
NXPH1	6.69e-15	-4.273	0.014	0.206	2.22e-10	-0.192
TPD52L1	5.74e-20	-4.229	0.016	0.265	1.9e-15	-0.249
MEIS1	9.44e-22	-4.213	0.019	0.294	3.13e-17	-0.275
RIMS2	1.56e-28	-4.166	0.046	0.422	5.16e-24	-0.376
PGM5	1.45e-19	-4.111	0.019	0.275	4.81e-15	-0.256
ABCC3	5.83e-39	-4.065	0.046	0.529	1.93e-34	-0.483
FADS2	2.53e-16	-4.065	0.021	0.245	8.4e-12	-0.224
CTNNAL1	1.38e-15	-4.006	0.012	0.206	4.57e-11	-0.194
SORBS2	2.1099999999999998e-47	-3.955	0.071	0.647	6.999999999999999e-43	-0.576
FAM198B	5.69e-15	-3.929	0.016	0.216	1.89e-10	-0.2
MGST1	1.45e-17	-3.916	0.022	0.265	4.81e-13	-0.243
NHS	7.35e-13	-3.804	0.02	0.206	2.44e-8	-0.186
IGKC	1.67e-13	3.738	0.375	0.049	5.55e-9	0.326
MAP3K15	2.36e-15	-3.709	0.02	0.235	7.84e-11	-0.215
LDLR	8.78e-18	-3.687	0.028	0.284	2.91e-13	-0.256
AKR1B1	9.7e-24	-3.605	0.036	0.373	3.22e-19	-0.337
IGFBP5	1.48e-14	-3.468	0.022	0.235	4.92e-10	-0.213
PDE10A	1.19e-15	-3.465	0.04	0.284	3.94e-11	-0.244
PEBP1	1.01e-33	-3.441	0.05	0.51	3.33e-29	-0.46
C7	1.3099999999999999e-23	-3.418	0.03	0.353	4.33e-19	-0.323
MAPK4	4.81e-12	-3.408	0.022	0.206	1.59e-7	-0.184
APOE	1.52e-39	-3.408	0.087	0.627	5.029999999999999e-35	-0.54
PCDH15	4.91e-22	-3.404	0.079	0.422	1.63e-17	-0.343
MEIS2	1.3100000000000001e-10	-3.382	0.03	0.206	4.34e-6	-0.176
MGP	6.66e-16	-3.374	0.034	0.284	2.21e-11	-0.25
HS3ST2	6.68e-9	3.342	0.233	0.02	2.22e-4	0.213
ATRNL1	7.16e-15	-3.33	0.036	0.275	2.38e-10	-0.239
PDZRN3	1.3e-16	-3.328	0.046	0.314	4.33e-12	-0.268
PAPSS2	5.08e-13	-3.314	0.033	0.245	1.68e-8	-0.212
PBX1	2.91e-20	-3.178	0.072	0.402	9.67e-16	-0.33
SPON2	2.6e-30	-3.172	0.235	0.51	8.630000000000001e-26	-0.275
FBXL7	7.58e-26	-3.092	0.089	0.49	2.51e-21	-0.401
C2CD2	6.2e-20	-3.084	0.075	0.412	2.06e-15	-0.337
BORCS7-ASMT	7.19e-15	-3.033	0.058	0.324	2.38e-10	-0.266
DACH1	8.25e-14	-3.032	0.036	0.265	2.74e-9	-0.229
ARHGEF28	5.58e-10	-3.021	0.036	0.216	1.85e-5	-0.18
PSD3	8.89e-20	-2.976	0.081	0.412	2.95e-15	-0.331
LSAMP	6.79e-14	-2.972	0.074	0.324	2.25e-9	-0.25
PDGFD	5.17e-13	-2.933	0.049	0.284	1.72e-8	-0.235
CALN1	5.87e-14	-2.93	0.091	0.353	1.95e-9	-0.262
FHOD3	3.56e-10	-2.891	0.044	0.235	1.18e-5	-0.191
ITGA9	1.73e-13	-2.817	0.054	0.304	5.75e-9	-0.25
TENM3	6.23e-12	-2.814	0.067	0.284	2.07e-7	-0.217
NCAM2	3.39e-9	-2.797	0.042	0.216	1.12e-4	-0.174
HDHD3	7.2e-12	-2.739	0.049	0.275	2.39e-7	-0.226
GRAMD1B	5.6599999999999994e-30	-2.737	0.135	0.627	1.88e-25	-0.492
PDE4D	6.76e-9	2.73	0.342	0.088	2.24e-4	0.254
FDX1	6.11e-22	-2.66	0.063	0.431	2.03e-17	-0.368
SGK1	6.08e-9	-2.623	0.045	0.225	2.02e-4	-0.18
FGF12	1.21e-8	-2.582	0.052	0.235	4.01e-4	-0.183
ADGRL3	3.21e-10	-2.537	0.057	0.265	1.07e-5	-0.208
LRMDA	4.51e-35	-2.533	0.233	0.725	1.5e-30	-0.492
PRKG1	5.1399999999999997e-23	-2.492	0.11	0.52	1.71e-18	-0.41
FRMD5	4.44e-13	-2.455	0.073	0.343	1.47e-8	-0.27
EBF1	1.49e-7	2.448	0.307	0.078	0.005	0.229
LAMA2	7.36e-8	-2.43	0.061	0.235	0.002	-0.174
RBM47	5.2299999999999995e-24	-2.42	0.163	0.608	1.74e-19	-0.445
DLG5	1.46e-9	-2.41	0.04	0.225	4.86e-5	-0.185
MAGI2	1.32e-15	-2.351	0.12	0.441	4.38e-11	-0.321
SH3PXD2B	5.01e-9	-2.27	0.077	0.284	1.66e-4	-0.207
FOSL2	2.63e-10	-2.211	0.052	0.265	8.73e-6	-0.213
TBC1D4	2.39e-11	-2.201	0.079	0.333	7.92e-7	-0.254
CFAP44	3.77e-11	-2.16	0.082	0.333	1.25e-6	-0.251
IFITM3	8.05e-8	-2.159	0.051	0.225	0.003	-0.174
WDR63	1.03e-7	-2.134	0.063	0.245	0.003	-0.182
AL109930.1	5.45e-10	-2.071	0.069	0.294	1.81e-5	-0.225
SCD5	5.75e-9	-2.06	0.072	0.284	1.91e-4	-0.212
APP	7.3e-16	-2.044	0.137	0.49	2.42e-11	-0.353
COBLL1	4.09e-8	-2.003	0.075	0.275	0.001	-0.2
EPB41L1	7.97e-8	-2	0.065	0.255	0.003	-0.19
KIAA1958	1.05e-6	-1.957	0.066	0.235	0.035	-0.169
CPEB4	1.58e-8	-1.896	0.107	0.324	5.25e-4	-0.217
DNM3	8.16e-8	-1.895	0.077	0.275	0.003	-0.198
AC139720.1	1.56e-10	-1.848	0.178	0.471	5.18e-6	-0.293
RDX	4e-13	-1.823	0.167	0.49	1.33e-8	-0.323
ABCA1	9.47e-7	-1.763	0.104	0.294	0.031	-0.19
MIR99AHG	8.01e-9	-1.76	0.114	0.353	2.66e-4	-0.239
