gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	2.7932143819523794e-27	-9.556481615077699	0	0.853	9.267047355003409e-23	-0.853
CYP11B1	4.5826308349062425e-23	-8.744400268242028	0	0.773	1.5203794320968441e-18	-0.773
RARRES2	1.4998795684057364e-16	-8.542584066237644	0	0.613	4.976150444099711e-12	-0.613
STAR	6.870912027102243e-14	-8.42893092335676	0	0.533	2.279562483231711e-9	-0.533
AKR1B1	1.4998795684056824e-16	-8.313253090130196	0	0.613	4.976150444099533e-12	-0.613
MT1E	4.573795455028677e-13	-8.134187818363037	0	0.507	1.5174481181148642e-8	-0.507
GML	1.499879568405693e-16	-8.005279825575872	0	0.613	4.9761504440995674e-12	-0.613
DHCR24	2.5957453897850665e-14	-7.958026609374192	0	0.547	8.611904479689915e-10	-0.547
HSD3B2	4.573795455028607e-13	-7.952673113102315	0	0.507	1.517448118114841e-8	-0.507
CYP21A2	9.631255746818426e-15	-7.820190885216625	0	0.56	3.1953617191219494e-10	-0.56
GSTA1	1.1198622994279012e-9	-7.38281746517493	0	0.387	3.715367150811948e-5	-0.387
CCR7	6.251681266266943e-7	7.358309393649606	0.25	0	0.020741202937093837	0.25
CYP11A1	5.593675077088151e-8	-7.226770134163871	0	0.32	0.0018558135803255359	-0.32
TM7SF2	1.0719643943462157e-6	-7.097669419995271	0	0.267	0.0355645627112244	-0.267
PDE10A	9.363865163753859e-11	-7.0280360886386575	0	0.427	3.106649545378618e-6	-0.427
UQCRQ	5.5936750770881125e-8	-6.725611687929471	0	0.32	0.001855813580325523	-0.32
CLU	1.0719643943462157e-6	-6.5658697188287425	0	0.267	0.0355645627112244	-0.267
ABCC3	2.4930035023615076e-7	-6.53041220295556	0	0.293	0.008271037719784774	-0.293
COBLL1	1.1863934460193556e-7	-6.418236838053954	0	0.307	0.003936097535858416	-0.307
APOC1	1.2789728912734037e-12	-5.8606844786380465	0.018	0.573	4.243248361377771e-8	-0.5549999999999999
MT2A	1.2845424703312707e-16	-5.43149789361872	0.071	0.76	4.261726553818056e-12	-0.6890000000000001
IGKC	3.916055648435044e-12	5.270632135190154	0.554	0.027	1.2992297824812945e-7	0.527
SCARB1	2.0187794774028852e-18	-5.137556873282442	0.018	0.733	6.697704672179552e-14	-0.715
LDLR	1.7776040284796018e-7	-5.083512814215778	0.018	0.387	0.005897556885286775	-0.369
FDX1	1.2288944730537525e-13	-4.752018275251016	0.054	0.667	4.077103193250435e-9	-0.613
PPP2R2B	1.0371847024604561e-8	-3.975362226854739	0.036	0.48	3.441067687353055e-4	-0.444
PLCG2	9.483665976852393e-9	-3.9316839954249114	0.161	0.587	3.1463958611403184e-4	-0.42599999999999993
MEG3	1.3594595932048679e-9	-3.8031612464649838	0.018	0.467	4.51027909237579e-5	-0.449
APOE	1.873819864616793e-9	-3.732309065864376	0.071	0.573	6.216772164839134e-5	-0.502
SORBS2	7.512289561136893e-8	-3.6401670414918885	0.018	0.4	0.002492352307698387	-0.382
CCL4	9.145035402381098e-8	-3.485660595754708	0.054	0.48	0.003034048395447977	-0.426
MT-CO3	8.342204816106535e-18	-3.0679978242589794	0.339	0.973	2.7676932918396653e-13	-0.6339999999999999
SERF2	3.286411341150706e-12	-2.823016911069157	0.179	0.787	1.0903326906535697e-7	-0.6080000000000001
MT-ATP6	7.550914530335854e-13	-2.6697294062834405	0.321	0.893	2.5051669137295265e-8	-0.5720000000000001
TRG-AS1	6.060551188804472e-7	-2.5833408171349808	0.071	0.48	0.020107090679096596	-0.409
MT-CO2	3.223245325724453e-13	-2.460099334713918	0.393	0.947	1.0693761017156017e-8	-0.5539999999999999
PEBP1	8.065149240419753e-8	-2.4473730659531423	0.214	0.693	0.0026757745634940614	-0.479
IL7R	5.934247372527871e-13	2.312785064217088	0.911	0.333	1.968805250783572e-8	0.5780000000000001
BACH2	1.0802822100948599e-7	2.3118433667454874	0.536	0.093	0.0035840522884317168	0.44300000000000006
MAP3K5	1.0859172950560704e-8	-2.193420982303754	0.179	0.693	3.6027478098075245e-4	-0.514
MT-ND4	1.0168149920667993e-9	-2.188484508044357	0.446	0.907	3.37348709918002e-5	-0.461
GRAMD1B	1.195478793820195e-6	-2.1669379346380078	0.089	0.493	0.03966239994257261	-0.404
MT-ND1	2.3978451308241916e-8	-1.8869574167492937	0.375	0.84	7.955330790535421e-4	-0.46499999999999997
TXNIP	8.679641220614044e-11	1.828363859573396	0.893	0.64	2.879644567763121e-6	0.253
EEF1G	8.850469367159552e-8	1.8252558184179053	0.643	0.467	0.0029363202219425243	0.176
MT-ND2	2.770395983168069e-10	-1.808144731978957	0.321	0.867	9.191342753356703e-6	-0.546
MT-CO1	2.780182302599803e-9	-1.7419421713089065	0.554	0.96	9.223810825335366e-5	-0.4059999999999999
MT-ND5	5.65071783403531e-7	-1.7245160103628485	0.286	0.747	0.018747386557978946	-0.461
HLA-E	7.47912523694545e-7	1.4806603671052887	0.875	0.68	0.024813493798613917	0.19499999999999995
MSI2	7.049151009807306e-7	-1.4305767041186035	0.321	0.773	0.023386968305237697	-0.452
RPL23A	4.25808113882809e-7	-0.30143309785300243	0.429	0.84	0.014127035794289953	-0.411
