gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	1.934382479058144e-22	-4.79523951690682	0	1	6.417700750771204e-18	-1
CYP11B1	5.254771897314067e-15	-4.531040837916471	0	1	1.743375672371888e-10	-1
SCARB1	4.06609167081415e-28	-3.781237355913145	0.75	1	1.3490072336260106e-23	-0.25
MEG3	4.041589398892023e-18	-3.677805255751607	0.5	1	1.3408781148704064e-13	-0.5
NOV	1.4883799455667297e-15	-3.3933239145138425	0	1	4.937998145406739e-11	-1
DHCR24	2.0235966536013086e-14	-3.2853893567124253	0.25	1	6.713686617653062e-10	-0.75
RALYL	2.3992952387734404e-17	-3.260457178081608	0.75	1	7.960141813678643e-13	-0.25
RARRES2	4.563248309437015e-13	-3.143555462776188	0.25	1	1.5139488916219185e-8	-0.75
HSD3B2	2.8056103116292234e-13	-3.019557709534749	0	1	9.308173330892275e-9	-1
CYP21A2	1.1435072685365693e-13	-2.9466357920703268	0	1	3.793814064823776e-9	-1
RIMS2	1.3789834281873087e-13	-2.9372233107485197	0.75	1	4.575053319697034e-9	-0.25
APOE	2.4453693455534324e-11	-2.9167973688460673	1	1	8.113001877742622e-7	0
STAR	2.863559498132461e-12	-2.834723997020762	0.25	1	9.500431346954065e-8	-0.75
APOC1	3.866160490079496e-9	-2.7848070273575756	0.5	1	1.2826760657936743e-4	-0.5
SORBS2	1.9466032049310413e-15	-2.7473063383277267	1	1	6.458245452999715e-11	0
CYP11A1	3.642978447845775e-10	-2.6616942192570314	0.25	1	1.2086309596417927e-5	-0.75
SLIT2	2.5820927831897945e-10	-2.6348053273549303	0.5	1	8.56660922678878e-6	-0.5
PEBP1	1.5956980055164538e-12	-2.6120334377659957	1	1	5.294047272901939e-8	0
ABCC3	1.6251119777913198e-12	-2.6103724833553272	1	1	5.391634008718262e-8	0
PDE10A	5.1477798256336876e-11	-2.5902182117274455	0.75	1	1.7078789127504885e-6	-0.25
C7	4.2158185397922345e-10	-2.5133588516471876	0.5	1	1.3986821169468696e-5	-0.5
GML	1.5893385829686884e-13	-2.5075131061324636	1	1	5.272948616715218e-9	0
DCN	4.253818954444999e-10	-2.4897338848097097	0.25	1	1.4112895145162173e-5	-0.75
PCDH15	1.5542025755743403e-11	-2.459828492163275	0.75	1	5.156377884982988e-7	-0.25
AL117190.1	9.217665939160882e-11	-2.4548068135987093	0.25	1	3.058145028635406e-6	-0.75
FADS2	6.376829519541293e-12	-2.426403035721375	0.75	1	2.115640729698215e-7	-0.25
TBX3	1.223858960948355e-10	-2.4136323486231084	0	1	4.060396874738357e-6	-1
NELL2	2.038127013793991e-7	2.410426030403754	1	0.75	0.006761893993664324	0.25
FBXL7	7.673356946328365e-10	-2.382791577636699	1	1	2.5457896340833615e-5	0
GSTA1	1.210107130951396e-8	-2.365384156242108	0.25	1	4.0147724283574464e-4	-0.75
PRKG1	6.430240981246944e-11	-2.3588153346618608	1	1	2.1333610503482984e-6	0
SLC16A9	4.798571599727642e-8	-2.3348261251903164	0.25	1	0.0015920220996416398	-0.75
IGFBP5	3.60004960720157e-8	-2.324060994186496	0.5	1	0.0011943884581812649	-0.5
FDX1	8.599523372635876e-11	-2.3178097406405906	1	1	2.8530638693394044e-6	0
AKR1B1	8.323097262118251e-8	-2.283251864976313	0.75	1	0.0027613539786529723	-0.25
FGF12	1.680047594048037e-7	-2.241149632659608	0.5	1	0.005573893902773172	-0.5
MGST1	4.1479113445235896e-9	-2.235235717025079	0.5	1	1.3761525467725913e-4	-0.5
MEIS2	3.0587373485643893e-9	-2.18845167220016	0.5	1	1.0147972901332075e-4	-0.5
PDZRN3	1.1585277353388717e-8	-2.1625674635651695	1	0.75	3.8436474675337744e-4	0.25
AOX1	1.652711294598725e-8	-2.157816318345595	0.5	1	5.483200262090189e-4	-0.5
PGM5	7.874827217007522e-8	-2.1528853705443813	0.5	0.75	0.0026126314257865855	-0.25
PAPSS2	2.5578958052504973e-7	-2.1455023938602924	0.5	1	0.008486330913079576	-0.5
GSTA4	8.431017329271602e-8	-2.1065064678599947	0.25	1	0.002797158619332439	-0.75
MT-ATP6	2.852326917158885e-14	-2.1014548997131453	1	1	9.463165013058033e-10	0
MT-CO3	8.017989111749207e-12	-2.099724481188428	1	1	2.660128247605034e-7	0
PSD3	1.166881352642472e-10	-2.0963712351371244	1	1	3.871362263661929e-6	0
DLK1	5.512710716455495e-9	-2.06807689138756	0	1	1.8289520343984397e-4	-1
SEMA3B	8.343146950279648e-8	-2.057063656984688	0.5	1	0.002768005863694279	-0.5
KCNK3	9.52169694734189e-7	-2.054118298484192	0.25	1	0.03159013396219619	-0.75
LINC01807	4.640024127559099e-9	-2.048308884586332	0.5	1	1.5394208048002822e-4	-0.5
MT-CO1	7.883758761036338e-13	-2.045013437175175	1	1	2.6155946441490257e-8	0
C2CD2	1.3417085248370261e-10	-1.9635407976251675	1	1	4.451386372851801e-6	0
PEG10	8.970151189155687e-8	-1.9621043146344423	0	1	0.0029760270600261824	-1
GRAMD1B	1.1489416742181359e-10	-1.960385913740122	1	1	3.8118437925535095e-6	0
LSAMP	2.862983102538612e-7	-1.9518380148877947	1	1	0.009498519039292353	0
PBX1	5.150275581671649e-9	-1.945047586668797	1	1	1.708706929731203e-4	0
AC008878.3	9.290552133780517e-10	1.8861022758150217	1	1	3.082326481424362e-5	0
RGN	1.395172248894418e-7	-1.87601380608084	0.25	1	0.004628762970157011	-0.75
RBM47	1.606284249872145e-7	-1.837866661830834	1	1	0.005329169255800815	0
SULT2A1	1.4356712349648314e-6	-1.8344484314032585	0.75	1	0.047631264562428215	-0.25
SLC24A3	6.780786936987315e-7	-1.8268320287926656	0.5	1	0.022496616820842814	-0.5
MEG8	6.141266793899942e-7	-1.7915368381159549	0.25	0.75	0.020374880842121836	-0.5
MT-ND1	1.7772119875403436e-9	-1.775767013056376	1	1	5.896256211062598e-5	0
AL117190.2	1.7055020513096972e-7	-1.7328632091542628	0.5	1	0.005658344155630182	-0.5
LDLR	2.737353495152917e-7	-1.689993681012679	1	1	0.009081717690868832	0
MT-CYB	1.803937802141879e-7	-1.6561455654906956	1	1	0.005984924446166112	0
CDK6	3.8275842345021936e-7	-1.6154294763047805	1	1	0.012698776214807929	0
ARHGAP18	4.7602823234299567e-7	-1.6129605207174478	1	1	0.015793188664443566	0
TBC1D4	1.4146561944000135e-6	-1.6014401739791921	1	1	0.04693404856160925	0
RDX	9.214739571104281e-7	-1.5767428088792876	1	1	0.03057174147505267	0
RASA3	3.797217168624176e-7	1.5481175935633982	1	1	0.012598027400344429	0
AL158071.3	8.500637876274509e-7	-1.5434581319633318	1	1	0.02820256628211594	0
SNTB1	1.098236572614539e-6	-1.4221500102190567	1	1	0.03643619476963256	0
BCL2	1.1705301167695619e-7	-1.3700651834673732	1	1	0.0038834677684063757	0
