gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	2.6705701657720896e-92	-11.851431639324893	0	0.709	8.860150638982062e-88	-0.709
CYP17A1	1.8656690195193937e-93	-11.823456429790216	0	0.716	6.1897301060594926e-89	-0.716
NOV	2.455353873792413e-49	-10.503340354256768	0	0.419	8.146127547081088e-45	-0.419
CYP21A2	6.8508434069627226e-40	-10.072490760131863	0	0.345	2.2729043171280226e-35	-0.345
HSD3B2	4.033156695959686e-34	-9.79139204078173	0	0.297	1.338080397018545e-29	-0.297
TBX3	3.625612422869967e-26	-9.21154396054833	0	0.23	1.2028694335355688e-21	-0.23
DLK1	3.6256124228698114e-26	-9.123866171730942	0	0.23	1.2028694335355173e-21	-0.23
RARRES2	4.3061845531001026e-32	-7.75794845241204	0.002	0.304	1.428662849182021e-27	-0.302
AL117190.1	6.550380388710637e-33	-7.717355556744345	0.002	0.311	2.173219701562528e-28	-0.309
DHCR24	7.00030557718331e-39	-7.293932233653305	0.005	0.378	2.3224913813421067e-34	-0.373
MEG3	4.070063248543319e-57	-6.407523450983586	0.012	0.547	1.350324883969217e-52	-0.535
DCN	3.861152256268759e-19	-6.138913119341952	0.005	0.209	1.2810144840622863e-14	-0.204
STAR	2.153244858434534e-32	-6.086176411440552	0.002	0.304	7.143820466828253e-28	-0.302
GSTA1	2.4006242786162583e-21	-5.839429744517669	0.002	0.209	7.96455116916516e-17	-0.207
CLU	8.1688379693991e-28	-5.655284973990085	0.012	0.318	2.71017537310754e-23	-0.306
CYP11A1	6.831642915568653e-27	-5.652773000100257	0.009	0.297	2.2665341700982123e-22	-0.288
NXPH1	1.3268308549623128e-25	-5.547486925274818	0.011	0.291	4.402026727508465e-21	-0.27999999999999997
LINC01807	2.2615267513368072e-26	-5.4908216865451385	0.005	0.277	7.503067302910125e-22	-0.272
RALYL	2.613725476551012e-56	-5.408084637419773	0.027	0.588	8.671557013553292e-52	-0.5609999999999999
KCNK3	9.275063268583519e-18	-5.242828585366418	0.011	0.216	3.077187740617954e-13	-0.205
JAG1	5.9121693063768174e-18	5.1380529726699535	0.308	0.014	1.9614804107766367e-13	0.294
GSTA4	4.776605852960978e-18	-5.10478218701918	0.007	0.209	1.5847345238368636e-13	-0.20199999999999999
SCARB1	6.226144107359845e-77	-5.0429938642227725	0.05	0.764	2.0656478304987757e-72	-0.714
SLIT2	1.2618435402374314e-30	-4.732658573860242	0.019	0.372	4.186418313445726e-26	-0.353
AOX1	3.370054460844069e-20	-4.6377489538587335	0.007	0.23	1.1180829684742368e-15	-0.223
MGST1	2.7784743067023987e-22	-4.571305341941408	0.009	0.257	9.218144207346549e-18	-0.248
C7	5.886520846912797e-24	-4.54464552445261	0.019	0.311	1.9529710213802585e-19	-0.292
PGM5	1.4576546963490232e-18	-4.417032021807304	0.012	0.236	4.836060986077154e-14	-0.22399999999999998
IGKC	2.800008555248756e-19	4.376521810297781	0.372	0.034	9.289588383748799e-15	0.33799999999999997
APOC1	5.0001120400595155e-23	-4.363060999550364	0.009	0.264	1.6588871715305455e-18	-0.255
RIMS2	8.759062070668923e-33	-4.296554654250558	0.028	0.419	2.905994023185829e-28	-0.39099999999999996
FADS2	1.6142692212685036e-29	-4.123534244984297	0.019	0.365	5.355660995402514e-25	-0.346
MT2A	1.2250400519703436e-23	-4.023682143207534	0.019	0.311	4.064315380422009e-19	-0.292
PDE10A	1.326823082132919e-26	-3.979521531891728	0.021	0.345	4.402000939592385e-22	-0.32399999999999995
FGF12	1.137280762759024e-16	-3.8985588815511543	0.018	0.236	3.773156386605614e-12	-0.218
IGFBP5	9.588642795173204e-20	-3.7603887224326487	0.028	0.297	3.181224020154614e-15	-0.26899999999999996
SORBS2	3.2234304949678626e-47	-3.7599904590095883	0.064	0.622	1.0694375353154878e-42	-0.558
MEIS2	1.8998123385987834e-19	-3.756388496436796	0.019	0.27	6.303007395769184e-15	-0.251
ABCC3	4.280927813528538e-37	-3.686445477061965	0.05	0.514	1.420283420694363e-32	-0.464
ANTXR1	1.0019277630227701e-13	-3.525582125552044	0.021	0.216	3.3240957393806446e-9	-0.195
MTUS1	3.6785483435058846e-14	-3.4539216066137417	0.019	0.216	1.2204319839249474e-9	-0.197
NRCAM	3.212873085077292e-20	-3.4487139159332463	0.019	0.277	1.0659349034360932e-15	-0.258
PCDH15	1.1175082917109417e-30	-3.441310277971005	0.062	0.48	3.7075572594093914e-26	-0.418
PAPSS2	1.9501875622267954e-17	-3.4257336583690154	0.032	0.284	6.470137275199839e-13	-0.252
PEBP1	5.370615743925354e-29	-3.3979621961991695	0.039	0.419	1.7818091853621145e-24	-0.38
FDX1	2.8851163020607724e-34	-3.3812664593007473	0.05	0.493	9.571950355347025e-30	-0.443
MAP3K15	3.680809630886639e-14	-3.3781826975017326	0.019	0.216	1.2211822112392601e-9	-0.197
RALGPS2	1.2389580296914182e-8	3.3357715826677015	0.225	0.041	4.110491055107218e-4	0.184
PDZRN3	3.162874604671101e-23	-3.2988514318383397	0.042	0.372	1.0493469075917312e-18	-0.33
SPON2	5.129223067496211e-43	-3.264688424495216	0.299	0.669	1.701722337103218e-38	-0.37000000000000005
GML	4.142896643412932e-38	-3.26251838946628	0.065	0.561	1.3744888193851085e-33	-0.49600000000000005
BTBD11	5.279564735916584e-7	3.2623196165091852	0.204	0.054	0.01751601192435045	0.15
NCAM1	8.368442074640694e-12	-3.216142245558805	0.027	0.209	2.776398027103543e-7	-0.182
THOC3	6.836107632811904e-8	3.204834048434802	0.205	0.034	0.002268015429338005	0.17099999999999999
APOE	4.169296742744529e-24	-3.1853435316154384	0.08	0.446	1.3832475803403525e-19	-0.366
ARHGEF28	2.733983098178569e-17	-3.1790995397432975	0.027	0.27	9.070535724827038e-13	-0.24300000000000002
PBX1	5.695920685883215e-26	-3.1497835994630834	0.051	0.419	1.8897356059554742e-21	-0.368
