gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	2.39e-17	-5.275	0	1	7.92e-13	-1
CYP11B1	6.17e-19	-5.042	0.25	1	2.05e-14	-0.75
IGKC	7.17e-8	4.736	1	0	0.002	1
MEG3	1.29e-14	-4.303	0.25	1	4.27e-10	-0.75
SCARB1	5.27e-19	-3.869	0.75	1	1.75e-14	-0.25
DHCR24	6.05e-10	-3.661	0.25	1	2.01e-5	-0.75
CYP21A2	7.2e-10	-3.624	0	1	2.39e-5	-1
RARRES2	3.96e-10	-3.541	0	1	1.32e-5	-1
STAR	1.87e-9	-3.428	0.25	1	6.19e-5	-0.75
HSD3B2	8.72e-10	-3.39	0	1	2.89e-5	-1
CYP11A1	5.35e-9	-3.311	0	1	1.77e-4	-1
GML	8.54e-12	-3.303	0.5	1	2.83e-7	-0.5
PEBP1	6.55e-10	-3.258	0.75	1	2.17e-5	-0.25
RALYL	2.04e-9	-3.056	0.5	1	6.77e-5	-0.5
RIMS2	3.19e-10	-3.033	0.5	1	1.06e-5	-0.5
AC098864.1	1.55e-8	-3.011	0.25	1	5.15e-4	-0.75
ABCC3	4.86e-10	-2.969	0.5	1	1.61e-5	-0.5
FBXL7	1.71e-8	-2.957	0.75	1	5.68e-4	-0.25
PDE10A	2.34e-9	-2.952	0.75	1	7.77e-5	-0.25
MT1E	3.75e-7	-2.919	0	1	0.012	-1
AOX1	5.39e-8	-2.842	0.5	1	0.002	-0.5
KCNK3	1.77e-7	-2.797	0.25	1	0.006	-0.75
CLU	2.71e-7	-2.77	0.25	1	0.009	-0.75
AL117190.2	5.42e-8	-2.761	0.25	1	0.002	-0.75
MEIS2	2.97e-7	-2.74	0.25	1	0.01	-0.75
FDX1	4.87e-7	-2.654	1	1	0.016	0
FADS2	1.1e-6	-2.626	0.75	1	0.036	-0.25
TBX3	2.23e-7	-2.603	0	1	0.007	-1
LRMDA	6.34e-14	-2.58	1	1	2.1e-9	0
GSTA4	2.89e-7	-2.57	0	1	0.01	-1
PRKG1	3.69e-10	-2.529	1	1	1.23e-5	0
CALN1	9e-7	-2.512	1	0.75	0.03	0.25
SORBS2	1.24e-7	-2.447	1	1	0.004	0
RGN	1.02e-6	-2.397	0	1	0.034	-1
KCNQ1	1.35e-8	-2.27	1	1	4.47e-4	0
MT-CYB	5.48e-9	-2.208	1	1	1.82e-4	0
PBX1	5.87e-7	-2.203	0.75	1	0.019	-0.25
AL117190.1	8.98e-7	-2.202	0.25	1	0.03	-0.75
PCDH15	5.47e-8	-2.196	1	0.75	0.002	0.25
MT-ATP6	2.32e-9	-2.124	1	1	7.69e-5	0
TSHZ2	1.41e-7	-2.109	1	1	0.005	0
GRAMD1B	4.86e-9	-2.006	1	1	1.61e-4	0
MT-CO1	1.45e-10	-1.887	1	1	4.79e-6	0
MT-CO3	8.17e-7	-1.666	1	1	0.027	0
