gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	2.388976420542387e-59	-11.485851687292874	0	0.632	7.925907070433477e-55	-0.632
NOV	4.4715256239423095e-24	-9.782070166804159	0	0.281	1.4835180562553401e-19	-0.281
RARRES2	2.6394761761259082e-23	-9.759597757406086	0	0.272	8.756990109532926e-19	-0.272
HSD3B2	4.471525623942694e-24	-9.673374160956355	0	0.281	1.4835180562554675e-19	-0.281
CYP21A2	2.916745215361969e-20	-9.52601977188843	0	0.237	9.676885601006405e-16	-0.237
CYP11A1	5.0877362616911704e-18	-9.360201145335182	0	0.211	1.6879582595412796e-13	-0.211
IGKC	1.1384058135046795e-18	9.254210554191207	0.333	0	3.776888967464475e-14	0.333
MEG3	3.5568120065356665e-36	-7.046426390684461	0.005	0.456	1.1800435194083382e-31	-0.451
MT2A	2.1700668709076792e-26	-6.911181532217534	0.005	0.351	7.199630857610407e-22	-0.346
CYP11B1	1.2758331061119087e-47	-6.90124352840596	0.003	0.553	4.23283149614748e-43	-0.55
STAR	1.888352132338081e-18	-6.222081296867843	0.003	0.246	6.264985869458052e-14	-0.243
DHCR24	8.500300042821578e-28	-6.063782080035432	0.01	0.386	2.820144545206915e-23	-0.376
AC098864.1	2.7494879139714843e-17	-5.915821153013897	0.005	0.246	9.121976052183193e-13	-0.241
AL117190.2	2.512512718195184e-16	-5.805978835448488	0.003	0.219	8.335763445156162e-12	-0.216
AL117190.1	1.090842421582036e-15	-5.470164587040345	0.003	0.211	3.619087902082721e-11	-0.208
KCNK3	7.721178281042743e-16	-5.232590780112897	0.005	0.228	2.561655318301551e-11	-0.223
MEIS2	5.691579854265152e-17	-5.185048067238437	0.008	0.254	1.8882954482495494e-12	-0.246
AOX1	7.124839668272476e-13	-5.143429266134916	0.008	0.202	2.3638080567427595e-8	-0.194
SLIT2	1.412335094088581e-17	-4.734065461411042	0.015	0.289	4.685704141657685e-13	-0.27399999999999997
RIMS2	2.893510524039651e-23	-4.572404994124279	0.02	0.377	9.59979986560635e-19	-0.357
ABCC3	3.0526456999833876e-24	-4.569843098554422	0.028	0.404	1.0127762638834885e-19	-0.376
SCARB1	1.137275945546829e-44	-4.568723725066643	0.033	0.64	3.773140404540715e-40	-0.607
RALYL	7.559126122917134e-22	-4.366417103245321	0.023	0.368	2.5078912738002177e-17	-0.345
MEG8	1.2388100826776234e-12	-4.076080029198834	0.013	0.219	4.110000211299551e-8	-0.206
PDE10A	2.0528950991166083e-19	-3.9790376143360975	0.018	0.325	6.810890070339171e-15	-0.307
TENM3	1.0089408205559256e-14	-3.8286048035607916	0.028	0.289	3.347362960358394e-10	-0.26099999999999995
APOE	2.5811720542572496e-21	-3.817303132856713	0.048	0.421	8.563554524409277e-17	-0.373
