gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	2.3880012755249853e-15	-5.076283400205886	0.25	1	7.922671831809243e-11	-0.75
CYP11B1	6.389219400685985e-22	-5.026870689477292	0	1	2.1197513205655893e-17	-1
SCARB1	3.5513747333925605e-20	-3.9669258357871175	0.75	1	1.17823959529765e-15	-0.25
IGKC	8.213663484923192e-8	3.9067311500502684	1	0.5	0.0027250471343929676	0.5
MEG3	1.2912378063394934e-15	-3.8855520344178913	0.25	1	4.283939670092537e-11	-0.75
STAR	1.1996141339105844e-12	-3.65659365887044	0	1	3.979959812075146e-8	-1
GML	4.575511883275551e-11	-3.4230161733907787	0.5	1	1.5180175775143297e-6	-0.5
PEBP1	1.7341798255826274e-10	-3.252343547404974	0.5	1	5.753488407335483e-6	-0.5
APOE	3.808265257912489e-8	-3.2149660832190343	0.5	1	0.0012634681646176264	-0.5
RARRES2	1.51969215531997e-11	-3.209247022121865	0	1	5.041882663705065e-7	-1
HSD3B2	3.981758883134463e-11	-3.0576241794648595	0	1	1.3210281446575207e-6	-1
CYP11A1	4.862265831909638e-10	-2.9624874410759547	0.25	1	1.6131539350526607e-5	-0.75
FBXL7	7.539905680824303e-11	-2.8855451559755028	0.5	1	2.501514507727079e-6	-0.5
CYP21A2	4.4378570347711957e-10	-2.880760722671412	0	1	1.4723478284260397e-5	-1
GSTA1	7.429179355591536e-10	-2.8577681576252654	0	1	2.464778834804604e-5	-1
NOV	7.776396971063686e-10	-2.8487244096365902	0	1	2.5799752230897992e-5	-1
PRKG1	2.144178157477426e-7	-2.7338885506017157	0.5	1	0.007113739873062856	-0.5
RALYL	3.592771283893028e-9	-2.636646631020197	0.5	1	1.19197372885719e-4	-0.5
TBX3	7.356005812127925e-9	-2.6275430520391163	0	1	2.4405020482896818e-4	-1
C7	7.105576092455416e-9	-2.537464958934723	0.75	1	2.3574169801939335e-4	-0.25
CLU	1.8604118787363685e-8	-2.4538641714398217	0.5	1	6.17228849008365e-4	-0.5
MEG8	3.522648137453741e-8	-2.3958595206295192	0.5	1	0.0011687089725630276	-0.5
DLK1	1.0344230070026448e-7	-2.385777528475886	0	1	0.0034319052103326743	-1
ALAS1	7.80544120263178e-7	-2.3740528865478283	0.75	1	0.025896112277971457	-0.25
MT-CO3	6.296775484883304e-10	-2.3561407483326384	1	1	2.089081202619734e-5	0
C2CD2	6.264943318994632e-7	-2.326462799446594	0.5	1	0.02078520244942849	-0.5
LONRF2	9.733312519795316e-7	-2.2966003361901626	0.25	1	0.03229221094692492	-0.75
MT-ND3	2.136297286918378e-7	-2.2324277043635377	1	1	0.007087593508809103	0
SLC16A9	1.4554932519837598e-7	-2.1927432903629342	0.5	1	0.00482888996210652	-0.5
KCNQ1	7.484241413059496e-7	-2.1822602202974526	1	1	0.02483046773610749	0
MT-ATP6	7.886135798863059e-8	-2.1665452732161707	1	1	0.0026163832739887973	0
LRMDA	6.254104733029418e-9	-2.165478481008447	1	1	2.07492432727717e-4	0
RBM47	1.3036794548703042e-7	-2.1348589725378235	1	1	0.0043252173274232085	0
PDE10A	3.576455998573844e-7	-2.102357407556959	0.75	1	0.011865608066468442	-0.25
PCDH15	8.610076642969908e-7	-1.9671924815863882	1	1	0.028565651278381263	0
GRAMD1B	1.8993300185656978e-7	-1.9129403276697923	1	1	0.0063014072025954155	0
MT-ND4	6.726787341251015e-8	-1.8135862967864465	1	1	0.002231746236206849	0
NEAT1	4.189272276885406e-7	-0.9535006438241176	1	1	0.013898748633022711	0
