gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	7.329999999999999e-73	-11.574	0	0.839	2.4299999999999996e-68	-0.839
STAR	4.0400000000000003e-29	-9.746	0	0.391	1.3399999999999999e-24	-0.391
NOV	1.29e-24	-9.455	0	0.333	4.27e-20	-0.333
CYP17A1	1.58e-60	-9.434	0.003	0.759	5.239999999999999e-56	-0.756
RARRES2	7.339999999999999e-23	-9.313	0	0.31	2.43e-18	-0.31
HSD3B2	7.339999999999999e-23	-9.282	0	0.31	2.43e-18	-0.31
GSTA1	1.42e-18	-9.07	0	0.253	4.72e-14	-0.253
CYP21A2	2.85e-20	-8.915	0	0.276	9.46e-16	-0.276
TBX3	4.57e-16	-8.915	0	0.218	1.51e-11	-0.218
JAG1	4.62e-15	7.361	0.336	0	1.53e-10	0.336
CYP11A1	9.15e-18	-6.968	0.003	0.276	3.03e-13	-0.273
MEG3	3.2799999999999997e-40	-6.656	0.013	0.598	1.0899999999999999e-35	-0.585
AL117190.1	1.17e-16	-5.82	0.005	0.276	3.9e-12	-0.271
APOC1	5.11e-15	-5.751	0.008	0.264	1.7e-10	-0.256
AL117190.2	1.04e-12	-5.735	0.005	0.218	3.46e-8	-0.213
IGKC	1.62e-11	5.512	0.339	0.023	5.38e-7	0.316
MEG8	5.27e-15	-5.395	0.005	0.253	1.75e-10	-0.248
SCARB1	2.4e-47	-5.355	0.034	0.736	7.98e-43	-0.702
RGN	6.89e-12	-5.159	0.008	0.218	2.29e-7	-0.21
SLIT2	8.690000000000001e-21	-5.152	0.016	0.379	2.88e-16	-0.363
AOX1	6.43e-12	-5.129	0.01	0.23	2.13e-7	-0.22
BACH2	3.87e-9	5.092	0.262	0.011	1.28e-4	0.251
NXPH1	1.18e-15	-5.048	0.01	0.287	3.92e-11	-0.277
AC098864.1	1.85e-13	-5.034	0.01	0.253	6.15e-9	-0.243
CLU	1.14e-15	-4.988	0.008	0.276	3.79e-11	-0.268
MEIS2	9e-14	-4.668	0.018	0.276	2.99e-9	-0.258
RALYL	4.65e-24	-4.642	0.029	0.46	1.54e-19	-0.431
SLC16A9	3.63e-14	-4.631	0.013	0.276	1.2e-9	-0.263
MT2A	1.06e-17	-4.531	0.021	0.356	3.5e-13	-0.335
GSTA4	6.87e-15	-4.441	0.01	0.276	2.28e-10	-0.266
MEIS1	8.73e-15	-4.441	0.021	0.31	2.9e-10	-0.289
MYL9	3.49e-12	-4.411	0.016	0.253	1.16e-7	-0.237
RIMS2	8.13e-24	-4.268	0.037	0.483	2.7e-19	-0.446
PEBP1	3.53e-20	-4.265	0.024	0.402	1.17e-15	-0.378
GML	5.8199999999999996e-30	-4.22	0.045	0.586	1.93e-25	-0.541
C7	9.73e-18	-4.025	0.024	0.368	3.23e-13	-0.344
FBXL7	6.79e-26	-3.982	0.068	0.575	2.2500000000000002e-21	-0.507
HSPE1	2.19e-10	-3.96	0.01	0.207	7.27e-6	-0.197
PAPSS2	1.84e-13	-3.927	0.016	0.276	6.11e-9	-0.26
DCN	2.35e-10	-3.914	0.01	0.207	7.79e-6	-0.197
IGFBP5	6.56e-12	-3.903	0.024	0.276	2.18e-7	-0.252
NRCAM	4.95e-13	-3.791	0.008	0.23	1.64e-8	-0.222
ABCC3	3.89e-21	-3.787	0.052	0.483	1.29e-16	-0.431
PGM5	3.74e-11	-3.73	0.013	0.23	1.24e-6	-0.217
DHCR24	3.97e-16	-3.726	0.031	0.368	1.32e-11	-0.337
ALAS1	1.1e-12	-3.662	0.013	0.253	3.63e-8	-0.24
PDE10A	5.75e-18	-3.643	0.026	0.379	1.91e-13	-0.353
FADS2	1.38e-16	-3.478	0.026	0.356	4.59e-12	-0.33
MGST1	6.58e-11	-3.437	0.021	0.253	2.18e-6	-0.232
ZNF521	3.12e-7	-3.161	0.029	0.207	0.01	-0.178
APOE	2.93e-17	-3.127	0.081	0.483	9.73e-13	-0.402
NCAM2	2.34e-8	-3.095	0.034	0.241	7.77e-4	-0.207
PRKG1	8.050000000000001e-21	-3.085	0.081	0.552	2.67e-16	-0.471
MAGI2	1.54e-16	-3.057	0.081	0.471	5.12e-12	-0.39
PSD3	5.03e-17	-3.032	0.068	0.471	1.67e-12	-0.403
C2CD2	4.67e-16	-2.927	0.066	0.448	1.55e-11	-0.382
CALN1	2.49e-13	-2.864	0.068	0.402	8.26e-9	-0.334
MGP	9.93e-9	-2.847	0.039	0.264	3.29e-4	-0.225
BORCS7-ASMT	8.77e-9	-2.812	0.039	0.264	2.91e-4	-0.225
PDZRN3	5.6e-9	-2.809	0.042	0.276	1.86e-4	-0.234
SGK1	8.52e-7	-2.799	0.037	0.218	0.028	-0.181
AL109930.1	1.6e-8	-2.766	0.031	0.241	5.31e-4	-0.21
GRAMD1B	3.64e-17	-2.724	0.1	0.529	1.21e-12	-0.429
PBX1	4.48e-10	-2.71	0.076	0.356	1.49e-5	-0.28
MCF2L2	2.31e-12	-2.655	0.073	0.402	7.66e-8	-0.329
ADGRL3	1.38e-9	-2.606	0.029	0.253	4.59e-5	-0.224
APP	2.86e-9	-2.605	0.063	0.322	9.49e-5	-0.259
LRMDA	8.789999999999999e-25	-2.592	0.197	0.724	2.92e-20	-0.527
FDX1	1.22e-11	-2.58	0.068	0.379	4.05e-7	-0.311
PCDH15	3.25e-17	-2.549	0.066	0.471	1.08e-12	-0.405
TSIX	1.41e-11	-2.543	0.039	0.31	4.68e-7	-0.271
AKR1B1	1.07e-13	-2.535	0.052	0.379	3.54e-9	-0.327
RPS26	1.21e-8	-2.534	0.076	0.333	4e-4	-0.257
AL139383.1	1.02e-6	-2.53	0.042	0.23	0.034	-0.188
SPON2	6.09e-17	-2.492	0.365	0.644	2.02e-12	-0.279
LDLR	1.68e-15	-2.489	0.047	0.391	5.56e-11	-0.344
KCNQ1	8.54e-15	-2.45	0.121	0.529	2.83e-10	-0.408
MAP3K13	1.18e-6	-2.442	0.06	0.253	0.039	-0.193
FRMD5	1.73e-9	-2.422	0.076	0.356	5.75e-5	-0.28
KCNQ1OT1	2.31e-8	-2.421	0.081	0.333	7.67e-4	-0.252
DPP10	5.35e-7	-2.375	0.039	0.23	0.018	-0.191
KIAA1217	4.52e-10	-2.343	0.076	0.368	1.5e-5	-0.292
TENM3	1.51e-11	-2.335	0.058	0.356	5e-7	-0.298
TSHZ2	9.39e-17	-2.317	0.092	0.517	3.11e-12	-0.425
RBM47	1.48e-16	-2.311	0.142	0.586	4.92e-12	-0.444
TNS1	5.42e-9	-2.309	0.084	0.356	1.8e-4	-0.272
ITGA9	8.45e-9	-2.271	0.081	0.345	2.8e-4	-0.264
MT-ND3	3.77e-11	-2.231	0.147	0.483	1.25e-6	-0.336
MT-CO3	1.52e-19	-2.162	0.27	0.747	5.05e-15	-0.477
KIAA1958	2.63e-7	-2.113	0.063	0.287	0.009	-0.224
INSR	4.08e-8	-2.089	0.11	0.379	0.001	-0.269
LSAMP	9.89e-7	-2.042	0.076	0.299	0.033	-0.223
MT-CO1	1.3799999999999998e-31	-2.003	0.425	0.966	4.58e-27	-0.541
MT-ATP8	1.61e-9	-2.002	0.163	0.471	5.35e-5	-0.308
MLXIPL	6.2e-7	-1.971	0.073	0.299	0.021	-0.226
PHC2	1.04e-6	-1.954	0.076	0.299	0.034	-0.223
SCD5	4.73e-11	-1.952	0.118	0.46	1.57e-6	-0.342
MT-ATP6	8.32e-21	-1.932	0.255	0.793	2.76e-16	-0.538
MT-ND4	3.37e-17	-1.862	0.328	0.782	1.12e-12	-0.454
BCL2	2.72e-15	-1.859	0.404	0.77	9.04e-11	-0.366
FARP1	1.04e-7	-1.835	0.066	0.299	0.003	-0.233
TBC1D4	1.03e-6	-1.758	0.076	0.299	0.034	-0.223
MT-ND2	8.31e-12	-1.757	0.252	0.621	2.76e-7	-0.369
MT-ND1	5.68e-15	-1.748	0.27	0.713	1.88e-10	-0.443
WDR63	1.28e-6	-1.744	0.079	0.299	0.043	-0.22
PTPRG	2.02e-8	-1.738	0.194	0.483	6.71e-4	-0.289
