gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	3.38e-22	-5.121	0.25	1	1.12e-17	-0.75
CYP11B1	3.98e-20	-4.96	0	1	1.32e-15	-1
SCARB1	8.57e-28	-4.121	1	1	2.84e-23	0
GML	6.820000000000001e-21	-4.1	0.5	1	2.26e-16	-0.5
DHCR24	5.21e-15	-3.81	0.5	1	1.73e-10	-0.5
HSD3B2	8.24e-15	-3.624	0	1	2.73e-10	-1
APOC1	1.97e-12	-3.579	0.5	1	6.53e-8	-0.5
MEG3	1.13e-15	-3.561	0.5	1	3.74e-11	-0.5
CYP11A1	1.77e-12	-3.375	0.25	1	5.88e-8	-0.75
RALYL	1.78e-14	-3.192	0.75	1	5.91e-10	-0.25
RARRES2	8.07e-14	-3.177	0.75	1	2.68e-9	-0.25
NOV	3.12e-13	-3.173	0	1	1.04e-8	-1
CYP21A2	6.07e-13	-3.154	0	1	2.01e-8	-1
ABCC3	2.85e-13	-3.098	0.75	1	9.44e-9	-0.25
STAR	3.14e-12	-3.08	0	1	1.04e-7	-1
APOE	1.73e-10	-3.079	1	1	5.74e-6	0
GZMH	3.68e-7	-3.072	0.75	1	0.012	-0.25
SLIT2	2.39e-8	-3.018	0.5	1	7.93e-4	-0.5
PEBP1	4.85e-9	-2.952	0.75	1	1.61e-4	-0.25
GSTA1	6.21e-9	-2.832	0.25	1	2.06e-4	-0.75
SORBS2	1.78e-13	-2.822	1	1	5.92e-9	0
FAM198B	8.62e-11	-2.82	0.5	1	2.86e-6	-0.5
FDX1	8.22e-11	-2.818	1	1	2.73e-6	0
AKR1B1	5.03e-9	-2.802	0.75	1	1.67e-4	-0.25
RIMS2	4.77e-12	-2.744	1	1	1.58e-7	0
CLU	6.51e-9	-2.701	0.5	0.75	2.16e-4	-0.25
NXPH1	1.68e-10	-2.698	0.75	1	5.58e-6	-0.25
PDZRN3	2.78e-9	-2.63	0.75	1	9.23e-5	-0.25
DCN	9.19e-13	-2.605	0.75	1	3.05e-8	-0.25
PCDH15	4.54e-11	-2.585	1	1	1.51e-6	0
FBXL7	1.32e-7	-2.581	1	1	0.004	0
MGST1	1.22e-10	-2.564	0.75	1	4.05e-6	-0.25
PAPSS2	5.82e-12	-2.545	1	1	1.93e-7	0
MEIS1	1.2e-9	-2.543	0.5	1	3.99e-5	-0.5
FADS2	3.54e-9	-2.538	0.75	1	1.17e-4	-0.25
TENM3	2.88e-9	-2.532	0.75	1	9.57e-5	-0.25
MEG8	1.07e-7	-2.513	0.75	1	0.004	-0.25
SERPINA5	1.04e-8	-2.488	0.25	1	3.44e-4	-0.75
AC098864.1	4.17e-9	-2.354	0.75	1	1.38e-4	-0.25
BORCS7-ASMT	6.06e-8	-2.332	0.75	1	0.002	-0.25
DACH1	2.06e-8	-2.304	0.75	1	6.83e-4	-0.25
FGF12	6.34e-8	-2.282	0.75	1	0.002	-0.25
NR5A1	1.02e-8	-2.276	0.25	1	3.38e-4	-0.75
PBX1	5.69e-8	-2.272	1	1	0.002	0
FHOD3	6.27e-8	-2.215	1	1	0.002	0
TM7SF2	5.34e-7	-2.21	0.75	1	0.018	-0.25
PDE10A	3.7e-9	-2.195	1	1	1.23e-4	0
GRAMD1B	5.8e-12	-2.186	1	1	1.92e-7	0
TRPM2	2.12e-7	-2.171	0.75	1	0.007	-0.25
CCBE1	8.58e-8	-2.169	0.75	1	0.003	-0.25
AOX1	9.45e-8	-2.134	0.75	1	0.003	-0.25
KCNK3	3.18e-8	-2.099	1	0.75	0.001	0.25
P3H2	1.35e-6	-2.045	0.75	1	0.045	-0.25
TBX3	1.52e-7	-2.03	0	0.75	0.005	-0.75
CTNNAL1	5.31e-7	-2.023	0.75	0.75	0.018	0
IFI27	1.27e-6	-2.018	0.25	1	0.042	-0.75
PRKG1	2.55e-8	-1.962	1	1	8.44e-4	0
ITGA9	6.64e-8	-1.858	1	1	0.002	0
AL139383.1	1.27e-6	-1.823	1	0.75	0.042	0.25
C2CD2	2.32e-7	-1.73	1	1	0.008	0
ABCB1	1.08e-6	-1.704	1	1	0.036	0
RDX	1.77e-7	-1.649	1	1	0.006	0
NEAT1	6.33e-7	-1.118	1	1	0.021	0
