gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
MT2A	4.85e-7	-4.417	0.5	1	0.016	-0.5
IGKC	3.17e-11	4.133	1	0.5	1.05e-6	0.5
MEG3	5.1200000000000005e-21	-3.822	0.25	1	1.7e-16	-0.75
STAR	1.25e-8	-3.577	0.25	1	4.16e-4	-0.75
SCARB1	1.2100000000000001e-27	-3.551	1	1	4.01e-23	0
PEBP1	1.45e-7	-3.479	0.75	1	0.005	-0.25
RARRES2	1.34e-10	-3.363	0	1	4.43e-6	-1
HSD3B2	1.48e-15	-3.266	0	1	4.91e-11	-1
RIMS2	3.71e-13	-3.129	0.5	1	1.23e-8	-0.5
GML	2.38e-16	-3.12	1	1	7.89e-12	0
DHCR24	2.7e-11	-3.049	0.5	1	8.96e-7	-0.5
NOV	2.27e-13	-2.916	0	1	7.52e-9	-1
RALYL	1.68e-13	-2.783	0.5	1	5.58e-9	-0.5
AKR1B1	2.6e-9	-2.722	1	1	8.63e-5	0
C7	3.53e-12	-2.586	0.75	1	1.17e-7	-0.25
PDE10A	1.4e-14	-2.556	1	1	4.64e-10	0
FDX1	4.65e-9	-2.468	1	1	1.54e-4	0
TENM3	1.69e-10	-2.457	0.75	1	5.6e-6	-0.25
GSTA4	2.6200000000000003e-10	-2.451	0.25	1	8.68e-6	-0.75
IGHM	3.27e-7	2.443	1	0	0.011	1
SLC16A9	5.3e-9	-2.432	0.25	1	1.76e-4	-0.75
AL117190.2	3.99e-11	-2.424	0.25	1	1.32e-6	-0.75
CLU	4.38e-10	-2.394	0.5	1	1.45e-5	-0.5
TBX3	6.17e-11	-2.383	0.25	1	2.05e-6	-0.75
MYL9	4.95e-8	-2.378	0.25	1	0.002	-0.75
GSTA1	2.14e-11	-2.376	0	1	7.11e-7	-1
AOX1	2.16e-10	-2.359	0.5	1	7.16e-6	-0.5
ALAS1	9.21e-10	-2.285	0.75	1	3.06e-5	-0.25
PGM5	8.05e-10	-2.27	0.5	1	2.67e-5	-0.5
MEG8	7.99e-11	-2.26	0.5	1	2.65e-6	-0.5
CISH	2.49e-7	-2.258	0.5	1	0.008	-0.5
CALN1	2.89e-8	-2.255	1	1	9.59e-4	0
HSPE1	1.09e-6	-2.222	0.5	1	0.036	-0.5
RGN	4.09e-9	-2.21	0.25	1	1.36e-4	-0.75
PRKG1	5.22e-11	-2.157	1	1	1.73e-6	0
LRMDA	7.55e-11	-2.154	1	1	2.51e-6	0
C2CD2	7.72e-11	-2.138	1	1	2.56e-6	0
FADS2	4.12e-10	-2.134	1	1	1.37e-5	0
LINC01807	1.21e-7	-2.087	0.25	1	0.004	-0.75
MT-ATP6	4.18e-11	-2.085	1	1	1.39e-6	0
IGFBP5	4.49e-9	-2.078	0.75	1	1.49e-4	-0.25
MEIS1	2.25e-9	-2.064	0.75	1	7.46e-5	-0.25
SULT2A1	1.09e-6	-2.06	0.5	1	0.036	-0.5
LSAMP	3.73e-8	-2.057	0.75	1	0.001	-0.25
PSD3	1.03e-9	-2.027	1	1	3.41e-5	0
MGST1	2.42e-8	-2.019	0.75	1	8.04e-4	-0.25
NXPH1	5.52e-7	-2.015	0.5	1	0.018	-0.5
TSHZ2	2.54e-11	-1.984	1	1	8.42e-7	0
MCF2L2	2.64e-8	-1.979	0.75	1	8.77e-4	-0.25
MT-CO1	6.39e-14	-1.978	1	1	2.12e-9	0
PAPSS2	6.97e-8	-1.978	0.5	1	0.002	-0.5
KCNQ1	1.04e-10	-1.973	1	1	3.47e-6	0
FRMD5	4.51e-7	-1.97	0.75	1	0.015	-0.25
KIAA1958	9.01e-7	-1.968	0.75	1	0.03	-0.25
KCNK3	2.29e-7	-1.959	0.5	1	0.008	-0.5
DLK1	1.47e-8	-1.957	0	1	4.89e-4	-1
LONRF2	1.22e-7	-1.953	0.25	1	0.004	-0.75
DCN	5.31e-7	-1.946	0.5	0.75	0.018	-0.25
FGF12	1.06e-6	-1.891	0.75	1	0.035	-0.25
PCDH15	2.27e-8	-1.886	1	1	7.54e-4	0
DACH1	1.96e-7	-1.878	0.75	1	0.007	-0.25
IGFBP7	7.92e-7	-1.784	1	1	0.026	0
SEMA3B	1.09e-6	-1.772	0.25	1	0.036	-0.75
MT-ND3	4.4e-8	-1.77	1	1	0.001	0
PBX1	5.86e-9	-1.768	1	1	1.95e-4	0
NRCAM	1.36e-6	-1.746	0.5	1	0.045	-0.5
RBM47	1.35e-7	-1.666	1	1	0.004	0
GRAMD1B	3.26e-8	-1.64	1	1	0.001	0
MT-CYB	6.95e-8	-1.531	1	1	0.002	0
BCL2	6.71e-7	-1.164	1	1	0.022	0
MSI2	6.62e-7	-0.901	1	1	0.022	0
NEAT1	8.08e-8	-0.876	1	1	0.003	0
