gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
SCARB1	1.34e-9	-4.441	0.25	1	4.43e-5	-0.75
MEG3	3.33e-10	-4.017	0.25	1	1.1e-5	-0.75
RARRES2	2.5e-9	-3.784	0	1	8.28e-5	-1
STAR	8.28e-7	-3.772	0.25	1	0.027	-0.75
FBXL7	8.16e-8	-3.661	0.5	1	0.003	-0.5
MT-ATP6	3.01e-7	-3.595	0.5	1	0.01	-0.5
RALYL	7.83e-11	-3.288	0.5	1	2.6e-6	-0.5
HSD3B2	7.29e-8	-3.232	0.25	1	0.002	-0.75
MT-ND4	1.74e-8	-2.492	0.75	1	5.78e-4	-0.25
MT-CO2	1.27e-11	-2.464	1	1	4.21e-7	0
MT-CYB	2.01e-9	-2.421	0.75	1	6.68e-5	-0.25
MT-ND2	6.17e-7	-2.106	0.75	1	0.02	-0.25
MT-CO1	2.92e-7	-1.705	1	1	0.01	0
