gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGKC	3.55e-8	4.477	1	0.25	0.001	0.75
IGHG3	1.3e-7	3.729	1	0	0.004	1
SCARB1	3.0600000000000002e-27	-3.718	1	1	1.02e-22	0
MEG3	3.89e-21	-3.702	0.5	1	1.29e-16	-0.5
STAR	1.39e-10	-3.303	0.25	1	4.61e-6	-0.75
NOV	5.76e-12	-3.291	0	1	1.91e-7	-1
RALYL	2.55e-8	-3.188	0.75	1	8.45e-4	-0.25
DHCR24	9.48e-17	-3.082	0.5	1	3.14e-12	-0.5
RARRES2	5.31e-15	-3.013	0.5	1	1.76e-10	-0.5
BACH2	1.09e-6	3.01	1	1	0.036	0
ABCC3	1.45e-16	-2.914	1	1	4.81e-12	0
GML	6.74e-23	-2.911	1	1	2.24e-18	0
APOE	2.81e-12	-2.843	1	1	9.31e-8	0
RIMS2	5.06e-16	-2.81	0.75	1	1.68e-11	-0.25
HSD3B2	1.99e-14	-2.797	0	1	6.61e-10	-1
APOC1	8.04e-11	-2.785	0.75	1	2.67e-6	-0.25
SORBS2	9.06e-15	-2.739	1	1	3.01e-10	0
PDE10A	1.41e-15	-2.735	0.75	1	4.68e-11	-0.25
PEBP1	4.88e-14	-2.692	1	1	1.62e-9	0
MEIS2	2.54e-15	-2.667	0.75	1	8.43e-11	-0.25
LRMDA	2.53e-15	-2.665	1	1	8.39e-11	0
IGLC2	1.41e-6	2.665	1	0.5	0.047	0.5
CLU	3.73e-13	-2.664	0.75	1	1.24e-8	-0.25
SLIT2	1.49e-12	-2.613	0.75	1	4.94e-8	-0.25
C7	6.97e-16	-2.566	0.75	1	2.31e-11	-0.25
SLC16A9	5.86e-13	-2.486	0.75	1	1.95e-8	-0.25
CISH	8.47e-8	-2.463	0.75	1	0.003	-0.25
AL117190.1	1.47e-7	-2.423	0.25	1	0.005	-0.75
LINC01807	7.49e-12	-2.371	0.25	1	2.49e-7	-0.75
PCDH15	3.01e-12	-2.368	1	1	9.98e-8	0
FADS2	4.2e-15	-2.36	0.75	1	1.39e-10	-0.25
NELL2	6.81e-8	2.341	1	0.75	0.002	0.25
TBX3	9.18e-12	-2.291	0	1	3.05e-7	-1
AOX1	1.76e-11	-2.279	0.5	1	5.83e-7	-0.5
DCN	5.01e-11	-2.271	0.5	1	1.66e-6	-0.5
FDX1	4.56e-11	-2.215	1	1	1.51e-6	0
GSTA1	2.5e-10	-2.199	0.25	1	8.28e-6	-0.75
CACNA1D	1.25e-7	-2.197	0.75	1	0.004	-0.25
PRKG1	1.38e-12	-2.16	1	1	4.57e-8	0
GRAMD1B	5.63e-11	-2.157	1	1	1.87e-6	0
PDZRN3	2.09e-9	-2.135	1	0.75	6.94e-5	0.25
C2CD2	3.79e-13	-2.128	1	1	1.26e-8	0
GSTA4	4.42e-9	-2.102	0.25	1	1.47e-4	-0.75
SEMA3B	1.42e-9	-2.08	0.5	1	4.71e-5	-0.5
TXK	6.32e-8	2.075	1	1	0.002	0
LINC00484	1.19e-8	-2.071	1	1	3.94e-4	0
MEG8	2.96e-9	-2.068	0.25	1	9.81e-5	-0.75
PSD3	1.05e-9	-2.059	1	1	3.49e-5	0
MGP	5.41e-7	-2.012	0.75	1	0.018	-0.25
AKR1B1	7.06e-9	-2.01	1	1	2.34e-4	0
IGFBP5	2.19e-8	-2.006	0.75	1	7.28e-4	-0.25
PAPSS2	2.73e-8	-1.998	0.5	1	9.07e-4	-0.5
MT-ATP6	4.42e-12	-1.994	1	1	1.47e-7	0
LSAMP	1.29e-8	-1.979	1	1	4.29e-4	0
AC008878.3	4.25e-10	1.95	1	1	1.41e-5	0
MGST1	2.84e-10	-1.933	1	1	9.42e-6	0
ATRNL1	4.8e-8	-1.919	0.75	1	0.002	-0.25
PGM5	2.71e-8	-1.913	0.5	0.75	9e-4	-0.25
FADS1	4.81e-8	-1.909	1	1	0.002	0
MT-CO3	2.13e-10	-1.891	1	1	7.08e-6	0
TBC1D4	1.07e-10	-1.885	1	1	3.54e-6	0
RDX	1.58e-10	-1.884	1	1	5.25e-6	0
MT-CO1	1.9e-9	-1.864	1	1	6.3e-5	0
MAP3K15	5.89e-8	-1.829	0.75	1	0.002	-0.25
TENM3	9.17e-8	-1.828	1	1	0.003	0
HSPE1	1.09e-6	-1.825	0.75	1	0.036	-0.25
WHRN	5.62e-8	-1.812	1	1	0.002	0
FRMD5	1.94e-8	-1.809	1	1	6.44e-4	0
DPP10	4.79e-8	-1.793	1	1	0.002	0
PEG10	3.58e-9	-1.781	0	1	1.19e-4	-1
MT-CYB	3.04e-7	-1.763	1	1	0.01	0
KCNK3	2.66e-8	-1.756	1	0.75	8.82e-4	0.25
AL117190.2	7.9e-9	-1.746	0.75	1	2.62e-4	-0.25
RBM47	2.88e-9	-1.734	1	1	9.57e-5	0
AL158071.3	1.96e-7	-1.729	1	1	0.007	0
PBX1	7.18e-8	-1.724	1	1	0.002	0
ITGA9	3.95e-7	-1.716	1	1	0.013	0
ARHGEF28	2.17e-8	-1.708	0.75	1	7.19e-4	-0.25
FDXR	6.07e-8	-1.688	1	1	0.002	0
CDK6	2.96e-9	-1.687	1	1	9.82e-5	0
SNTB1	5.6e-9	-1.682	1	1	1.86e-4	0
MEIS1	8.29e-8	-1.68	0.75	0.75	0.003	0
MT-ND4	5.76e-7	-1.646	1	1	0.019	0
MT-ND1	4.33e-8	-1.631	1	1	0.001	0
MAGI2	2.01e-7	-1.622	1	1	0.007	0
DACH1	1.3e-6	-1.585	1	1	0.043	0
LDLR	4.75e-7	-1.578	1	1	0.016	0
MCUB	3.68e-8	1.57	1	1	0.001	0
MGARP	5.7e-7	-1.553	0.5	1	0.019	-0.5
AC092691.1	7.89e-7	-1.552	0.5	0.75	0.026	-0.25
AC091806.1	7.19e-7	-1.542	0.25	1	0.024	-0.75
