gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HSD3B2	1.42e-49	-10.505	0	0.32	4.72e-45	-0.32
RARRES2	5.17e-44	-10.458	0	0.286	1.72e-39	-0.286
NOV	1.91e-42	-10.384	0	0.277	6.32e-38	-0.277
STAR	4.1e-41	-7.095	0.003	0.296	1.36e-36	-0.293
AL117190.2	2.6799999999999996e-31	-7.01	0.003	0.233	8.88e-27	-0.23
MEG3	5.749999999999999e-66	-6.384	0.012	0.485	1.91e-61	-0.473
IGKC	7.73e-25	5.766	0.314	0.015	2.56e-20	0.299
MT2A	1.7899999999999998e-48	-5.716	0.012	0.388	5.94e-44	-0.376
AL117190.1	2.92e-29	-5.485	0.004	0.228	9.69e-25	-0.224
AOX1	7.58e-24	-5.406	0.007	0.204	2.51e-19	-0.197
CLU	3.16e-25	-5.336	0.007	0.214	1.05e-20	-0.207
GSTA4	4.63e-26	-5.148	0.005	0.214	1.54e-21	-0.209
AC098864.1	1.44e-26	-5.097	0.011	0.238	4.76e-22	-0.227
SLC16A9	2.38e-24	-5.048	0.008	0.214	7.91e-20	-0.206
APOC1	2.86e-28	-4.911	0.011	0.252	9.48e-24	-0.241
MEIS2	1.82e-27	-4.887	0.015	0.257	6.05e-23	-0.242
RIMS2	4.05e-50	-4.806	0.024	0.437	1.3399999999999999e-45	-0.413
SCARB1	2.3599999999999995e-88	-4.759	0.035	0.68	7.839999999999998e-84	-0.645
SLIT2	2.86e-38	-4.669	0.019	0.35	9.48e-34	-0.331
DHCR24	6.26e-43	-4.606	0.021	0.388	2.08e-38	-0.367
RALYL	9e-44	-4.586	0.024	0.398	2.99e-39	-0.374
JAG1	7.810000000000001e-21	4.561	0.278	0.015	2.59e-16	0.263
MEG8	6.91e-29	-4.395	0.011	0.257	2.2899999999999998e-24	-0.246
PEBP1	2.61e-44	-4.173	0.026	0.413	8.66e-40	-0.387
ABCC3	1.46e-41	-4.12	0.039	0.422	4.859999999999999e-37	-0.383
PGM5	1.05e-22	-4.112	0.011	0.214	3.49e-18	-0.203
MEIS1	2.32e-23	-4.101	0.015	0.233	7.68e-19	-0.218
ALAS1	4.77e-24	-4.096	0.011	0.223	1.58e-19	-0.212
IGFBP5	7.07e-22	-3.881	0.02	0.238	2.35e-17	-0.218
MYL9	2.01e-19	-3.824	0.015	0.204	6.66e-15	-0.189
GML	1.7299999999999998e-54	-3.822	0.042	0.519	5.75e-50	-0.477
C7	1.35e-25	-3.804	0.021	0.272	4.4900000000000005e-21	-0.251
NXPH1	6.7700000000000004e-21	-3.708	0.019	0.228	2.25e-16	-0.209
PDE10A	5e-39	-3.703	0.026	0.379	1.66e-34	-0.353
FBXL7	4.84e-49	-3.651	0.067	0.534	1.6e-44	-0.467
DACH1	1.96e-17	-3.36	0.026	0.218	6.5e-13	-0.192
APOE	3.1e-38	-3.294	0.075	0.476	1.03e-33	-0.401
TENM3	2.3599999999999998e-30	-3.29	0.04	0.359	7.830000000000001e-26	-0.319
PAPSS2	3.28e-19	-3.261	0.021	0.223	1.09e-14	-0.202
MGST1	1.68e-17	-3.255	0.023	0.214	5.58e-13	-0.191
CALN1	3.0699999999999996e-31	-3.141	0.056	0.398	1.02e-26	-0.342
FADS2	1.4999999999999997e-23	-3.032	0.024	0.262	4.97e-19	-0.238
AKR1B1	2.83e-23	-2.953	0.04	0.306	9.4e-19	-0.266
BACH2	7.53e-14	2.949	0.238	0.029	2.5e-9	0.209
NCAM2	5.95e-15	-2.946	0.03	0.209	1.98e-10	-0.179
TSHZ2	2.02e-35	-2.803	0.074	0.471	6.7099999999999994e-31	-0.397
LSAMP	2.04e-19	-2.8	0.051	0.296	6.77e-15	-0.245
PRKG1	8.849999999999999e-37	-2.783	0.075	0.481	2.93e-32	-0.406
RPS26	1.72e-16	-2.775	0.064	0.291	5.72e-12	-0.227
PBX1	5.9699999999999996e-24	-2.72	0.058	0.35	1.98e-19	-0.292
PDZRN3	7.44e-18	-2.71	0.043	0.267	2.47e-13	-0.224
C2CD2	7.239999999999999e-30	-2.708	0.06	0.403	2.4e-25	-0.343
SPON2	3.27e-41	-2.705	0.325	0.675	1.0900000000000001e-36	-0.35
FRMD5	9.45e-17	-2.678	0.054	0.277	3.13e-12	-0.223
ADGRL3	3.3e-15	-2.671	0.028	0.209	1.09e-10	-0.181
IL7R	9.02e-9	2.667	0.211	0.049	2.99e-4	0.162
PCDH15	3.9299999999999997e-32	-2.657	0.059	0.417	1.3e-27	-0.358
TSIX	4.65e-26	-2.606	0.028	0.286	1.54e-21	-0.258
LDLR	9.200000000000001e-29	-2.589	0.038	0.335	3.0499999999999998e-24	-0.297
FDX1	5.03e-27	-2.58	0.062	0.383	1.6700000000000001e-22	-0.321
MAGI2	6.09e-23	-2.559	0.075	0.374	2.02e-18	-0.299
LRMDA	3.71e-48	-2.551	0.168	0.68	1.2299999999999998e-43	-0.512
MCF2L2	1.15e-25	-2.508	0.064	0.379	3.8100000000000004e-21	-0.315
AL109930.1	1.65e-14	-2.491	0.039	0.228	5.48e-10	-0.189
ITGA9	1.54e-13	-2.48	0.052	0.243	5.1e-9	-0.191
IGFBP7	2.23e-14	-2.443	0.056	0.257	7.41e-10	-0.201
PSD3	4.44e-26	-2.438	0.06	0.374	1.4700000000000001e-21	-0.314
KIAA1958	2.81e-19	-2.404	0.048	0.291	9.32e-15	-0.243
RBM47	6.750000000000001e-36	-2.331	0.121	0.558	2.24e-31	-0.437
KCNQ1	4.02e-26	-2.31	0.105	0.456	1.3300000000000001e-21	-0.351
LIMCH1	1.17e-10	-2.291	0.051	0.214	3.88e-6	-0.163
GRAMD1B	4.89e-33	-2.284	0.106	0.515	1.62e-28	-0.409
COX7C	1.53e-10	-2.284	0.055	0.218	5.07e-6	-0.163
LAMA2	1.04e-8	-2.256	0.062	0.214	3.46e-4	-0.152
KCNQ1OT1	7.03e-14	-2.218	0.059	0.262	2.33e-9	-0.203
CACNA1D	4.22e-13	-2.211	0.05	0.238	1.4e-8	-0.188
PTK2	1.52e-13	-2.153	0.063	0.267	5.03e-9	-0.204
BORCS7-ASMT	1.79e-20	-2.1	0.04	0.277	5.95e-16	-0.237
COBLL1	2.97e-14	-2.098	0.056	0.262	9.84e-10	-0.206
MLXIPL	4.1e-11	-2.068	0.06	0.238	1.36e-6	-0.178
