gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
HSD3B2	9.539999999999999e-35	-10.607	0	0.35	3.17e-30	-0.35
STAR	1.29e-30	-10.482	0	0.31	4.28e-26	-0.31
NOV	1.4200000000000001e-27	-10.445	0	0.28	4.6899999999999994e-23	-0.28
TBX3	1.0399999999999998e-23	-6.626	0.003	0.28	3.44e-19	-0.277
MEG3	8.65e-34	-6.35	0.008	0.41	2.87e-29	-0.402
MT2A	3.74e-33	-6.193	0.011	0.42	1.2399999999999999e-28	-0.409
SLIT2	1.01e-31	-5.798	0.017	0.43	3.3700000000000004e-27	-0.413
RARRES2	3.34e-30	-5.73	0.002	0.33	1.11e-25	-0.328
DHCR24	5.519999999999999e-31	-5.39	0.011	0.4	1.83e-26	-0.389
RALYL	7.03e-31	-5.346	0.019	0.43	2.33e-26	-0.411
RIMS2	2.0299999999999997e-31	-5.298	0.025	0.45	6.7400000000000007e-27	-0.425
SLC16A9	2.19e-15	-5.191	0.006	0.21	7.25e-11	-0.204
KCNK3	1.06e-14	-5	0.008	0.21	3.52e-10	-0.202
PGM5	2.11e-16	-4.908	0.012	0.25	6.99e-12	-0.238
MEG8	5.490000000000001e-21	-4.902	0.008	0.28	1.82e-16	-0.272
MEIS1	2.26e-21	-4.691	0.011	0.3	7.51e-17	-0.289
APOC1	1.16e-18	-4.691	0.011	0.27	3.85e-14	-0.259
SCARB1	5.02e-48	-4.632	0.046	0.67	1.6699999999999999e-43	-0.624
AOX1	2.49e-14	-4.509	0.011	0.22	8.27e-10	-0.209
AC098864.1	3.79e-15	-4.506	0.023	0.27	1.26e-10	-0.247
FGF12	8.38e-20	-4.493	0.02	0.32	2.78e-15	-0.3
JAG1	7.84e-12	4.482	0.279	0.01	2.6e-7	0.269
DACH1	1.95e-21	-4.419	0.023	0.35	6.46e-17	-0.327
GSTA4	4.91e-16	-4.397	0.011	0.24	1.63e-11	-0.229
PDZRN3	1.11e-18	-4.369	0.037	0.35	3.7e-14	-0.313
ADGRL3	1.54e-13	-4.326	0.028	0.26	5.12e-9	-0.232
NELL2	2.58e-8	4.251	0.245	0.03	8.56e-4	0.215
C7	5.42e-17	-4.213	0.015	0.27	1.8e-12	-0.255
NRCAM	3.18e-19	-4.203	0.014	0.29	1.05e-14	-0.276
PDE10A	1.1400000000000001e-21	-4.192	0.017	0.33	3.79e-17	-0.313
ALAS1	1.29e-14	-4.189	0.012	0.23	4.29e-10	-0.218
FBXL7	1.94e-32	-4.17	0.068	0.57	6.42e-28	-0.502
P3H2	1.82e-12	-4.16	0.017	0.22	6.04e-8	-0.203
APOE	1.5699999999999997e-23	-4.063	0.062	0.45	5.22e-19	-0.388
MGST1	9.68e-12	-4.032	0.02	0.22	3.21e-7	-0.2
ATRNL1	4.2e-12	-4.023	0.022	0.23	1.39e-7	-0.208
IGKC	8.38e-11	4.008	0.306	0.03	2.78e-6	0.276
CALN1	5.53e-22	-3.912	0.074	0.46	1.84e-17	-0.386
MEIS2	3.62e-17	-3.901	0.02	0.29	1.2e-12	-0.27
NCAM1	1.83e-24	-3.857	0.031	0.41	6.06e-20	-0.379
PEBP1	5.02e-22	-3.853	0.034	0.39	1.67e-17	-0.356
LSAMP	1.79e-17	-3.837	0.032	0.33	5.93e-13	-0.298
AC243829.2	7.04e-17	-3.826	0.06	0.38	2.34e-12	-0.32
PAPSS2	6.83e-15	-3.801	0.026	0.28	2.27e-10	-0.254
ABCC3	1.6400000000000002e-21	-3.718	0.045	0.41	5.46e-17	-0.365
SORBS2	7.3699999999999995e-34	-3.718	0.063	0.59	2.4400000000000002e-29	-0.527
BACH2	1.92e-12	3.71	0.373	0.05	6.38e-8	0.323
DDR2	5.41e-15	-3.669	0.009	0.22	1.8e-10	-0.211
DPP10	1.41e-13	-3.614	0.037	0.29	4.66e-9	-0.253
IGFBP5	1.33e-11	-3.606	0.023	0.23	4.41e-7	-0.207
GPR141	8.56e-12	-3.606	0.035	0.26	2.84e-7	-0.225
ADGRV1	6.75e-14	-3.59	0.02	0.25	2.24e-9	-0.23
FADS2	8.340000000000001e-21	-3.552	0.02	0.33	2.77e-16	-0.31
RASGRF2	5.86e-9	3.481	0.299	0.05	1.95e-4	0.249
GML	8.01e-29	-3.446	0.057	0.53	2.6599999999999998e-24	-0.473
CACNA1D	6.29e-15	-3.358	0.045	0.33	2.09e-10	-0.285
AKR1B1	1.25e-17	-3.341	0.042	0.36	4.15e-13	-0.318
GZMH	4.49e-10	-3.33	0.048	0.26	1.49e-5	-0.212
PCDH15	1.34e-23	-3.295	0.068	0.49	4.46e-19	-0.422
TENM3	7.4e-17	-3.255	0.057	0.38	2.46e-12	-0.323
FAM198B	7.23e-14	-3.249	0.012	0.22	2.4e-9	-0.208
IL7R	5.76e-24	3.203	0.637	0.12	1.91e-19	0.517
C19orf84	7.62e-11	-3.195	0.023	0.22	2.53e-6	-0.197
C2CD2	2.1800000000000003e-21	-3.165	0.046	0.42	7.22e-17	-0.374
ARHGEF28	1.21e-11	-3.13	0.026	0.24	4.02e-7	-0.214
SPON2	8.1e-22	-3.101	0.239	0.67	2.69e-17	-0.431
FRMD5	7.41e-12	-3.1	0.032	0.26	2.46e-7	-0.228
CTBP2	1.73e-15	-3.1	0.06	0.37	5.75e-11	-0.31
AL139383.1	7.83e-12	-3.04	0.032	0.26	2.6e-7	-0.228
PSD3	2.1e-16	-3.024	0.056	0.38	6.97e-12	-0.324
ATP8B4	2.27e-8	-2.978	0.034	0.21	7.53e-4	-0.176
DLG5	2.98e-15	-2.966	0.034	0.31	9.88e-11	-0.276
PBX1	5.58e-20	-2.953	0.057	0.43	1.85e-15	-0.373
ITGA9	1.95e-10	-2.916	0.057	0.29	6.48e-6	-0.233
ARMC9	2.5e-10	-2.915	0.037	0.25	8.3e-6	-0.213
LRMDA	1.4600000000000001e-27	-2.895	0.171	0.66	4.8499999999999996e-23	-0.489
ANK3	2.65e-18	2.872	0.579	0.17	8.78e-14	0.409
UNC5C	4.06e-11	-2.829	0.06	0.31	1.35e-6	-0.25
KIAA1958	2.68e-11	-2.764	0.052	0.3	8.88e-7	-0.248
HSPE1	9.75e-11	-2.722	0.031	0.24	3.24e-6	-0.209
PRKG1	7.76e-16	-2.718	0.102	0.45	2.58e-11	-0.348
MGP	3.24e-9	-2.672	0.028	0.21	1.07e-4	-0.182
MAP3K15	5.81e-11	-2.664	0.02	0.21	1.93e-6	-0.19
LIMCH1	1.18e-7	-2.661	0.039	0.21	0.004	-0.171
ZBTB7C	6.06e-8	-2.593	0.035	0.21	0.002	-0.175
FDX1	1.44e-12	-2.576	0.062	0.34	4.78e-8	-0.278
IGFBP7	6.03e-12	-2.539	0.057	0.32	2e-7	-0.263
CAMK4	1.09e-13	2.534	0.549	0.17	3.6e-9	0.379
RNASEK	3.91e-8	-2.528	0.043	0.23	0.001	-0.187
PDGFD	4.0399999999999994e-23	-2.522	0.071	0.5	1.34e-18	-0.429
AL109930.1	2.56e-9	-2.483	0.043	0.25	8.5e-5	-0.207
TBC1D4	7.59e-11	-2.483	0.056	0.3	2.52e-6	-0.244
PPM1E	4.55e-8	-2.482	0.043	0.23	0.002	-0.187
MCF2L2	9.97e-14	-2.457	0.068	0.37	3.31e-9	-0.302
ITGAM	3.28e-9	-2.449	0.059	0.28	1.09e-4	-0.221
LINC00484	2.51e-10	-2.428	0.083	0.34	8.32e-6	-0.257
GNLY	1.63e-7	-2.409	0.134	0.35	0.005	-0.216
RBM47	3.16e-16	-2.394	0.119	0.49	1.05e-11	-0.371
WDR63	2.83e-16	-2.327	0.069	0.41	9.4e-12	-0.341
LDLR	3.95e-11	-2.303	0.037	0.26	1.31e-6	-0.223
RPL37A	1.98e-10	-2.288	0.137	0.42	6.55e-6	-0.283
GLRX	4.53e-7	-2.269	0.042	0.21	0.015	-0.168
COBLL1	3.81e-9	-2.252	0.063	0.29	1.26e-4	-0.227
SCD5	1.27e-15	-2.251	0.094	0.45	4.22e-11	-0.356
MAGI2	5.93e-13	-2.215	0.083	0.39	1.97e-8	-0.307
MLXIPL	1.44e-6	-2.161	0.062	0.24	0.048	-0.178
RPL35A	1.67e-7	-2.119	0.093	0.31	0.006	-0.217
MAP3K13	1e-9	-2.104	0.049	0.27	3.33e-5	-0.221
GRAMD1B	2.5399999999999997e-23	-2.1	0.133	0.62	8.42e-19	-0.487
TSIX	3.31e-11	-2.075	0.043	0.27	1.1e-6	-0.227
PLCG2	1.57e-9	-2.058	0.17	0.46	5.2e-5	-0.29
WHRN	1.76e-7	-2.05	0.043	0.22	0.006	-0.177
LINC00299	4.66e-7	-2.024	0.062	0.25	0.015	-0.188
AL158071.3	1.23e-8	-2.009	0.103	0.35	4.09e-4	-0.247
L3MBTL4	7.55e-10	-2.004	0.045	0.26	2.51e-5	-0.215
JAML	1.35e-6	2.004	0.332	0.1	0.045	0.232
PDE3B	8.11e-9	1.998	0.519	0.25	2.69e-4	0.269
FARP1	1.34e-10	-1.988	0.082	0.35	4.45e-6	-0.268
SOAT1	2.06e-13	-1.967	0.119	0.46	6.82e-9	-0.341
PTK2	1.21e-7	-1.943	0.066	0.27	0.004	-0.204
RPS11	1.32e-10	-1.93	0.142	0.45	4.39e-6	-0.308
PARD3	3.7e-8	-1.893	0.097	0.33	0.001	-0.233
RPS18	9.38e-12	-1.878	0.136	0.46	3.11e-7	-0.324
FTH1	9.26e-7	-1.871	0.134	0.35	0.031	-0.216
KIAA1671	1.89e-10	-1.86	0.094	0.37	6.28e-6	-0.276
BORCS7-ASMT	9.53e-11	-1.851	0.048	0.28	3.16e-6	-0.232
RPL41	5.24e-8	-1.849	0.187	0.45	0.002	-0.263
PTPN12	2.95e-7	-1.828	0.125	0.35	0.01	-0.225
RDX	3.54e-9	-1.812	0.114	0.38	1.17e-4	-0.266
MAML2	6.02e-11	1.784	0.684	0.42	2e-6	0.264
RPL23	1.03e-8	-1.74	0.1	0.35	3.43e-4	-0.25
HDHD3	7.71e-7	-1.725	0.045	0.21	0.026	-0.165
KCNQ1OT1	5.39e-11	-1.708	0.09	0.37	1.79e-6	-0.28
KCNQ1	1.88e-11	-1.705	0.167	0.5	6.25e-7	-0.333
SERF2	2.25e-8	-1.686	0.093	0.33	7.47e-4	-0.237
ZFHX3	1.26e-7	-1.669	0.12	0.36	0.004	-0.24
FAU	1.51e-6	-1.655	0.09	0.29	0.05	-0.2
MGAT5	3.68e-8	1.653	0.523	0.25	0.001	0.273
FNDC3B	5.47e-13	-1.646	0.21	0.58	1.82e-8	-0.37
RPL7A	1.13e-6	-1.631	0.094	0.3	0.038	-0.206
RPS8	6.47e-11	-1.592	0.173	0.5	2.15e-6	-0.327
RPS28	1.97e-9	-1.543	0.13	0.41	6.54e-5	-0.28
FHIT	2.28e-12	-1.53	0.185	0.54	7.56e-8	-0.355
RPL13A	8.95e-7	-1.522	0.193	0.44	0.03	-0.247
LRRC8C	1.61e-7	1.522	0.539	0.3	0.005	0.239
ZEB2	1.21e-10	-1.503	0.242	0.58	4.01e-6	-0.338
SNTB1	3.95e-12	-1.492	0.185	0.54	1.31e-7	-0.355
JAKMIP2	7.55e-9	-1.473	0.09	0.33	2.5e-4	-0.24
TSHZ2	2.88e-13	-1.454	0.12	0.46	9.57e-9	-0.34
APP	6.01e-7	-1.441	0.085	0.29	0.02	-0.205
RPLP1	1.19e-6	-1.429	0.191	0.44	0.04	-0.249
