gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
RARRES2	1.29e-11	-8.814	0	0.409	4.28e-7	-0.409
NOV	3.06e-14	-8.58	0	0.5	1.02e-9	-0.5
DLK1	6.85e-8	-7.535	0	0.273	0.002	-0.273
HSD3B2	2.08e-14	-7.245	0.009	0.591	6.92e-10	-0.582
GSTA4	3.62e-10	-6.311	0.009	0.455	1.2e-5	-0.446
IGKC	6.85e-9	5.892	0.573	0	2.27e-4	0.573
MEG3	1.31e-16	-5.416	0.044	0.773	4.33e-12	-0.729
STAR	1.47e-10	-5.412	0.013	0.5	4.87e-6	-0.487
CLU	5.57e-8	-5.396	0.018	0.409	0.002	-0.391
FAM198B	8.54e-8	-5.037	0.018	0.409	0.003	-0.391
C7	4.89e-10	-4.855	0.048	0.545	1.62e-5	-0.497
SCARB1	3.87e-24	-4.625	0.137	0.955	1.28e-19	-0.818
RGN	1.19e-6	-4.473	0.009	0.318	0.039	-0.309
DHCR24	3.45e-13	-4.389	0.053	0.727	1.14e-8	-0.674
APOC1	3.93e-8	-4.344	0.048	0.5	0.001	-0.452
PEBP1	1.96e-9	-4.335	0.079	0.545	6.5e-5	-0.466
MEG8	1.58e-7	-4.128	0.031	0.455	0.005	-0.424
RALYL	1.45e-17	-4.062	0.128	0.909	4.8e-13	-0.781
TSIX	1.63e-7	-3.835	0.031	0.455	0.005	-0.424
JAG1	1.44e-6	3.805	0.577	0.045	0.048	0.532
KCNK3	7.99e-7	-3.69	0.026	0.409	0.027	-0.383
MGP	6.26e-8	-3.625	0.026	0.455	0.002	-0.429
GML	1.1e-11	-3.536	0.106	0.773	3.63e-7	-0.667
XIST	1.48e-6	-3.4	0.044	0.455	0.049	-0.411
FBXL7	1.1e-12	-3.311	0.216	0.682	3.65e-8	-0.466
HDHD3	7.98e-7	-3.293	0.088	0.545	0.026	-0.457
RPL17-C18orf32	9.14e-7	-3.164	0.101	0.545	0.03	-0.444
ABCC3	1.15e-9	-3.067	0.176	0.727	3.83e-5	-0.551
C2CD2	4.17e-10	-2.951	0.181	0.773	1.38e-5	-0.592
PBX1	1.06e-9	-2.894	0.172	0.773	3.53e-5	-0.601
GRAMD1B	1.66e-13	-2.885	0.282	0.864	5.5e-9	-0.582
PDZRN3	4.15e-8	-2.86	0.185	0.636	0.001	-0.451
PDE10A	5.52e-8	-2.759	0.159	0.682	0.002	-0.523
RIMS2	2.25e-8	-2.525	0.211	0.773	7.47e-4	-0.562
RPS8	7.37e-7	-2.429	0.233	0.682	0.024	-0.449
SORBS2	5.25e-9	-2.097	0.326	0.909	1.74e-4	-0.583
LRMDA	1.15e-12	-1.965	0.533	0.909	3.81e-8	-0.376
