gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	2.1799999999999997e-65	-11.177	0	0.383	7.229999999999999e-61	-0.383
HSD3B2	3.04e-42	-10.524	0	0.254	1.0099999999999999e-37	-0.254
STAR	4.43e-51	-7.299	0.001	0.321	1.47e-46	-0.32
AL117190.1	5.249999999999999e-43	-6.864	0.001	0.275	1.7399999999999999e-38	-0.274
MEG3	1.3199999999999998e-80	-6.72	0.008	0.523	4.389999999999999e-76	-0.515
LINC01807	1.3e-36	-6.403	0.003	0.254	4.31e-32	-0.251
DHCR24	2.39e-50	-6.345	0.006	0.352	7.94e-46	-0.346
JAG1	6.1300000000000005e-21	6.138	0.256	0.005	2.03e-16	0.251
NXPH1	7.39e-34	-5.99	0.006	0.254	2.4500000000000002e-29	-0.248
RARRES2	4.52e-45	-5.839	0.002	0.295	1.4999999999999999e-40	-0.293
MEG8	3.94e-27	-5.793	0.005	0.207	1.31e-22	-0.202
IGKC	5.22e-27	5.384	0.368	0.026	1.73e-22	0.342
CLU	7.039999999999999e-37	-5.265	0.007	0.28	2.34e-32	-0.273
RALYL	1.4399999999999997e-76	-5.183	0.023	0.565	4.769999999999999e-72	-0.542
GSTA4	1.12e-24	-5.165	0.007	0.202	3.73e-20	-0.195
SCARB1	7.439999999999999e-102	-4.986	0.044	0.731	2.4699999999999996e-97	-0.687
SLIT2	1.47e-40	-4.541	0.018	0.347	4.86e-36	-0.329
AOX1	1.25e-25	-4.488	0.01	0.223	4.15e-21	-0.213
PDE10A	4.42e-42	-4.334	0.018	0.358	1.4699999999999998e-37	-0.34
C7	9.999999999999999e-31	-4.165	0.018	0.285	3.3200000000000004e-26	-0.267
MEIS2	2.45e-30	-4.156	0.015	0.275	8.12e-26	-0.26
ABCC3	1.55e-50	-4.095	0.034	0.461	5.15e-46	-0.427
RIMS2	1.14e-38	-4.08	0.027	0.368	3.7799999999999996e-34	-0.341
APOC1	8.82e-30	-4.055	0.01	0.249	2.93e-25	-0.239
MT2A	4.16e-30	-3.825	0.022	0.295	1.38e-25	-0.273
MGST1	6.26e-25	-3.809	0.008	0.207	2.08e-20	-0.199
FADS2	3.4399999999999996e-35	-3.79	0.02	0.321	1.14e-30	-0.301
GML	4.11e-60	-3.708	0.044	0.549	1.3599999999999997e-55	-0.505
PAPSS2	1.2e-25	-3.691	0.024	0.269	3.9900000000000005e-21	-0.245
MEIS1	2.9900000000000004e-21	-3.641	0.015	0.212	9.91e-17	-0.197
FGF12	1.64e-20	-3.61	0.019	0.218	5.43e-16	-0.199
SORBS2	1.3899999999999997e-66	-3.477	0.055	0.611	4.6099999999999995e-62	-0.556
SPON2	1.62e-58	-3.442	0.257	0.637	5.359999999999999e-54	-0.38
IGFBP5	5.09e-21	-3.395	0.021	0.228	1.69e-16	-0.207
PCDH15	1.46e-39	-3.333	0.052	0.44	4.849999999999999e-35	-0.388
