gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
GML	7.34e-22	-3.994	1	1	2.44e-17	0
SCARB1	2.09e-19	-3.925	1	1	6.93e-15	0
APOE	4.64e-9	-3.717	0.75	1	1.54e-4	-0.25
PEBP1	2.62e-11	-3.614	0.75	1	8.69e-7	-0.25
PDE10A	6e-7	-3.523	0.5	1	0.02	-0.5
STAR	6.27e-9	-3.49	0.25	0.75	2.08e-4	-0.5
MEG3	1.9e-11	-3.348	0.5	0.75	6.31e-7	-0.25
RARRES2	2.16e-10	-3.317	0	0.75	7.16e-6	-0.75
ABCC3	5.51e-10	-3.209	0.75	0.75	1.83e-5	0
MT2A	3.06e-7	-3.187	0.75	1	0.01	-0.25
AOX1	1.23e-7	-3.118	0.5	1	0.004	-0.5
PAPSS2	3.87e-7	-3.085	0.75	0.75	0.013	0
PBX1	8e-7	-2.998	1	1	0.027	0
FBXL7	3.12e-8	-2.873	1	1	0.001	0
SLIT2	1.44e-9	-2.839	0.75	0.75	4.77e-5	0
CLU	4.49e-7	-2.644	0.75	0.5	0.015	0.25
AKR1B1	2.49e-8	-2.57	1	1	8.28e-4	0
C7	5.48e-7	-2.549	1	1	0.018	0
SNTB1	4.98e-10	-2.496	1	1	1.65e-5	0
DLK1	9.38e-7	-2.425	0.25	0.5	0.031	-0.25
RIMS2	1.48e-6	-2.337	0.75	0.75	0.049	0
TBX3	8.12e-7	-2.324	0	0.75	0.027	-0.75
MT-CO3	5.07e-8	-2.261	1	1	0.002	0
