gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	4.58e-20	-11.693	0	0.375	1.52e-15	-0.375
RARRES2	9.67e-17	-11.222	0	0.312	3.21e-12	-0.312
HSD3B2	4.18e-15	-10.796	0	0.281	1.39e-10	-0.281
STAR	2.07e-15	-8.302	0.002	0.344	6.85e-11	-0.342
SEMA3B	1.72e-11	-7.164	0.001	0.25	5.7e-7	-0.249
GSTA1	5.81e-10	-7.163	0.001	0.219	1.93e-5	-0.218
AL117190.1	2.93e-9	-6.725	0.002	0.219	9.71e-5	-0.217
RGN	5.63e-10	-6.716	0.001	0.219	1.87e-5	-0.218
DCN	2.92e-9	-6.403	0.002	0.219	9.7e-5	-0.217
MEG3	5.1e-15	-6.151	0.005	0.375	1.69e-10	-0.37
AOX1	3.74e-10	-5.83	0.003	0.25	1.24e-5	-0.247
GML	4.3700000000000004e-27	-5.442	0.015	0.688	1.45e-22	-0.673
SLIT2	2.87e-12	-5.397	0.009	0.344	9.52e-8	-0.335
SCARB1	1.4600000000000001e-27	-5.377	0.026	0.75	4.8399999999999995e-23	-0.724
MEIS2	1.61e-8	-5.186	0.008	0.25	5.35e-4	-0.242
CLU	1.36e-11	-4.984	0.011	0.344	4.52e-7	-0.333
APOE	4.4400000000000004e-21	-4.891	0.033	0.656	1.47e-16	-0.623
RALYL	3.19e-9	-4.812	0.01	0.281	1.06e-4	-0.271
PAPSS2	2.58e-7	-4.792	0.013	0.25	0.009	-0.237
PRLR	5.98e-7	-4.556	0.009	0.219	0.02	-0.21
NCAM1	3.12e-7	-4.417	0.008	0.219	0.01	-0.211
NHS	1.06e-6	-4.314	0.01	0.219	0.035	-0.209
ABCC3	8.11e-13	-4.299	0.023	0.438	2.69e-8	-0.415
MT2A	1.52e-9	-4.161	0.009	0.281	5.05e-5	-0.272
AKR1B1	8.02e-8	-3.997	0.016	0.281	0.003	-0.265
SORBS2	4.22e-13	-3.981	0.028	0.469	1.4e-8	-0.441
C7	9.45e-10	-3.824	0.013	0.312	3.14e-5	-0.299
PEBP1	6.42e-10	-3.727	0.025	0.375	2.13e-5	-0.35
FBXL7	1.16e-11	-3.717	0.038	0.469	3.84e-7	-0.431
RIMS2	2.71e-8	-3.691	0.014	0.281	9.01e-4	-0.267
PBX1	3.89e-10	-3.685	0.032	0.406	1.29e-5	-0.374
PRKG1	5.83e-10	-3.685	0.045	0.438	1.94e-5	-0.393
NKAIN3	7.26e-7	-3.608	0.015	0.25	0.024	-0.235
PCDH15	5.62e-7	-3.572	0.022	0.281	0.019	-0.259
PSD3	2.54e-9	-3.5	0.038	0.406	8.44e-5	-0.368
IGFBP5	1.38e-8	-3.427	0.013	0.281	4.58e-4	-0.268
GRAMD1B	5.08e-22	-3.372	0.073	0.812	1.68e-17	-0.739
SPON2	1.02e-8	-3.222	0.131	0.531	3.37e-4	-0.4
ARHGAP18	1.36e-8	-3.207	0.045	0.406	4.53e-4	-0.361
PDGFD	9.14e-7	-3.202	0.016	0.25	0.03	-0.234
LINC00484	7.57e-7	-3.101	0.032	0.312	0.025	-0.28
FDX1	8.78e-8	-2.939	0.043	0.375	0.003	-0.332
SNTB1	2.89e-10	-2.657	0.086	0.562	9.59e-6	-0.476
RBM47	2.57e-7	-2.603	0.087	0.469	0.009	-0.382
LRMDA	6.38e-7	-2.51	0.097	0.469	0.021	-0.372
DLG2	1.27e-6	-1.867	0.117	0.5	0.042	-0.383
MAML2	1.12e-6	1.761	0.79	0.594	0.037	0.196
GSE1	8.46e-7	-1.577	0.153	0.562	0.028	-0.409
CCND3	2.19e-8	1.021	0.896	0.906	7.27e-4	-0.01
MSI2	3.42e-7	-0.831	0.346	0.812	0.011	-0.466
TSHZ2	1.53e-8	0.653	0.223	0.531	5.08e-4	-0.308
DNM2	6.67e-8	-0.529	0.267	0.688	0.002	-0.421
NCOA2	1.29e-6	-0.314	0.287	0.656	0.043	-0.369
