gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
DLK1	5.6e-11	-8.719	0	0.474	1.86e-6	-0.474
NOV	3.1e-12	-8.535	0	0.526	1.03e-7	-0.526
RARRES2	5.6e-11	-8.437	0	0.474	1.86e-6	-0.474
CD247	9.41e-14	8.091	0.822	0	3.12e-9	0.822
GSTA4	2.02e-7	-7.807	0	0.316	0.007	-0.316
STAR	7.6e-8	-7.593	0.006	0.421	0.003	-0.415
KLRD1	3.56e-9	7.089	0.65	0	1.18e-4	0.65
HSD3B2	7.91e-12	-6.899	0.013	0.632	2.63e-7	-0.619
APBA2	9.8e-8	6.653	0.573	0	0.003	0.573
PPP2R2B	3.36e-7	6.364	0.541	0	0.011	0.541
BCL11B	2.64e-7	6.304	0.548	0	0.009	0.548
KLRC4-KLRK1	4.5e-8	6.256	0.592	0	0.001	0.592
DHCR24	2.64e-9	-5.744	0.025	0.579	8.77e-5	-0.554
SAMD3	5.5e-7	5.711	0.643	0.053	0.018	0.59
MT2A	4.39e-7	-5.695	0.013	0.421	0.015	-0.408
SCARB1	9.23e-13	-5.618	0.076	0.842	3.06e-8	-0.766
LINC00926	2.26e-7	-5.383	0.038	0.526	0.008	-0.488
TBX3	1.1e-8	-5.187	0.019	0.526	3.66e-4	-0.507
MEG3	4.17e-8	-4.916	0.064	0.632	0.001	-0.568
SYTL3	1.23e-9	4.393	0.822	0.105	4.1e-5	0.717
PRKCH	3.75e-11	4.349	0.885	0.158	1.24e-6	0.727
SLFN12L	2.78e-8	4.215	0.726	0.053	9.23e-4	0.673
GML	6.31e-10	-3.88	0.07	0.737	2.09e-5	-0.667
ADAM19	1.08e-6	-3.831	0.127	0.684	0.036	-0.557
BLK	4.95e-7	-3.824	0.236	0.789	0.016	-0.553
IRF8	6.3e-7	-3.779	0.064	0.579	0.021	-0.515
APOE	8.75e-7	-3.556	0.121	0.684	0.029	-0.563
AOAH	1.5e-11	3.487	0.879	0.105	4.98e-7	0.774
PITPNC1	4.47e-9	3.371	0.885	0.263	1.48e-4	0.622
BANK1	1.22e-7	-3.033	0.357	0.895	0.004	-0.538
AFF3	1.17e-8	-2.831	0.586	0.947	3.87e-4	-0.361
RALGPS2	6.52e-7	-2.805	0.312	0.895	0.022	-0.583
MEF2C	3.33e-7	-2.795	0.242	0.842	0.011	-0.6
HSP90AB1	1.46e-6	-2.785	0.096	0.632	0.048	-0.536
CD74	1.44e-6	-2.654	0.395	0.895	0.048	-0.5
MARCH1	1.47e-6	-2.626	0.344	0.895	0.049	-0.551
