gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	7.22e-47	-5.037	0.5	1	2.3999999999999997e-42	-0.5
CYP11B1	6.22e-33	-4.707	0.5	1	2.06e-28	-0.5
IGKC	9.22e-7	4.177	1	0.5	0.031	0.5
MT2A	3.93e-10	-3.935	0.5	1	1.3e-5	-0.5
SCARB1	2.26e-36	-3.717	1	1	7.49e-32	0
STAR	1.51e-24	-3.549	0.5	1	5e-20	-0.5
MEG3	6.79e-41	-3.387	1	1	2.25e-36	0
GML	1.36e-16	-3.268	1	1	4.53e-12	0
IGHM	7.27e-8	3.26	1	0	0.002	1
DHCR24	6.0700000000000005e-21	-3.242	0.75	1	2.01e-16	-0.25
PEBP1	1.05e-31	-3.236	1	1	3.4900000000000006e-27	0
RARRES2	4.16e-26	-3.176	0.75	1	1.38e-21	-0.25
NOV	1.37e-22	-3.173	0.25	1	4.53e-18	-0.75
HSD3B2	1.13e-23	-3.072	0.25	1	3.76e-19	-0.75
APOC1	9.39e-20	-2.942	1	1	3.12e-15	0
RALYL	7.47e-32	-2.896	1	1	2.4800000000000003e-27	0
FBXL7	1.65e-20	-2.793	1	1	5.47e-16	0
ABCC3	2.67e-18	-2.771	1	1	8.85e-14	0
CLU	4.12e-18	-2.759	1	1	1.37e-13	0
GSTA4	8.23e-21	-2.75	0.5	1	2.73e-16	-0.5
SLC16A9	7.12e-13	-2.654	0.75	1	2.36e-8	-0.25
CYP21A2	1.51e-20	-2.654	0.25	1	5.01e-16	-0.75
COX8A	3.27e-7	-2.54	1	1	0.011	0
MT-CO1	4.58e-11	-2.537	1	1	1.52e-6	0
SORBS2	9.39e-20	-2.466	1	1	3.12e-15	0
MEG8	1.79e-16	-2.448	0.75	1	5.95e-12	-0.25
AFF3	2.88e-9	2.42	1	0.75	9.54e-5	0.25
AL117190.1	1.29e-15	-2.413	1	1	4.27e-11	0
PDE10A	1.93e-11	-2.403	1	1	6.4e-7	0
ALAS1	2.31e-11	-2.395	1	1	7.67e-7	0
SERF2	2.21e-8	-2.387	1	1	7.33e-4	0
GSTA1	3.79e-15	-2.385	0.5	1	1.26e-10	-0.5
FDX1	1.48e-15	-2.369	1	1	4.9e-11	0
SLIT2	4.46e-17	-2.366	1	1	1.48e-12	0
IGFBP5	5.35e-18	-2.346	1	1	1.78e-13	0
AL117190.2	1.48e-16	-2.307	0.75	1	4.91e-12	-0.25
RPL7A	1.95e-7	-2.301	1	1	0.006	0
RIMS2	6.88e-15	-2.287	1	1	2.28e-10	0
MGP	2.04e-8	-2.264	0.75	1	6.77e-4	-0.25
FDXR	1.85e-13	-2.249	0.75	1	6.15e-9	-0.25
FADS2	1.86e-10	-2.231	1	1	6.16e-6	0
CTNNAL1	1.37e-12	-2.224	0.75	1	4.54e-8	-0.25
C2CD2	2.01e-13	-2.224	1	1	6.66e-9	0
DCN	6.94e-12	-2.222	0.75	1	2.3e-7	-0.25
BACH2	1.89e-7	2.215	1	1	0.006	0
VSTM4	2.34e-11	-2.205	1	1	7.77e-7	0
PDZRN3	3.35e-10	-2.172	1	1	1.11e-5	0
NDUFB4	6.01e-8	-2.161	1	0.75	0.002	0.25
HDHD3	5.84e-10	-2.143	1	1	1.94e-5	0
EBF1	2.78e-7	2.14	1	0.75	0.009	0.25
MEIS1	3.78e-15	-2.131	1	0.75	1.25e-10	0.25
C7	8.13e-13	-2.129	1	0.75	2.7e-8	0.25
HSPE1	3.86e-7	-2.111	1	1	0.013	0
GRAMD1B	6.83e-8	-2.102	1	1	0.002	0
SERPINA5	3.29e-10	-2.082	0.25	1	1.09e-5	-0.75
RPL27	1.58e-7	-2.066	1	1	0.005	0
MT-ND1	5.78e-7	-2.065	1	1	0.019	0
TPD52L1	3.76e-10	-2.042	1	1	1.25e-5	0
PBX1	3.05e-10	-1.984	1	1	1.01e-5	0
MT-ND3	1.64e-7	-1.976	1	1	0.005	0
DLK1	2.85e-13	-1.97	0.5	0.75	9.46e-9	-0.25
AKR1B1	4.46e-11	-1.934	1	1	1.48e-6	0
TBX3	1.43e-15	-1.93	0.5	0.75	4.75e-11	-0.25
AOX1	2.8e-11	-1.917	1	1	9.29e-7	0
HSPA1B	5.29e-9	-1.898	0.5	0.75	1.75e-4	-0.25
NR5A1	3.01e-11	-1.897	0.5	1	1e-6	-0.5
ACTN4	1.41e-6	-1.894	1	1	0.047	0
PGM5	4.66e-10	-1.89	1	1	1.55e-5	0
MT-CYB	9.57e-7	-1.889	1	1	0.032	0
MGST1	2.88e-7	-1.872	1	1	0.01	0
FGF12	4.19e-10	-1.871	1	1	1.39e-5	0
MEIS2	5.77e-11	-1.833	1	0.75	1.91e-6	0.25
DDR2	1.83e-7	-1.821	1	1	0.006	0
AC025627.1	1.45e-8	-1.818	1	1	4.82e-4	0
RGN	7.54e-8	-1.807	0.75	0.75	0.003	0
PCDH15	2.15e-7	-1.773	1	1	0.007	0
ITGA1	1.35e-8	-1.729	1	1	4.47e-4	0
LINC01807	1.42e-10	-1.727	1	0.75	4.71e-6	0.25
FAM198B	9.24e-10	-1.716	1	0.75	3.06e-5	0.25
AC098864.1	3.23e-8	-1.706	1	1	0.001	0
KCNK3	2.51e-8	-1.665	1	0.75	8.33e-4	0.25
ATRNL1	1.78e-7	-1.628	1	1	0.006	0
FADS1	1.07e-6	-1.564	1	1	0.035	0
EPHX1	1.19e-6	-1.532	1	1	0.039	0
MCF2L2	1.81e-7	-1.512	1	1	0.006	0
SEMA3B	1.48e-8	-1.511	0.5	0.75	4.92e-4	-0.25
OAF	1.18e-6	-1.449	1	0.75	0.039	0.25
C3	1.35e-6	-1.448	0.75	0.75	0.045	0
PEG10	9.69e-9	-1.417	0.5	0.75	3.21e-4	-0.25
PSD3	1.12e-6	-1.397	1	0.75	0.037	0.25
NCAM2	1.17e-6	-1.396	1	1	0.039	0
MAP3K5	1.77e-7	-1.384	1	1	0.006	0
BORCS7-ASMT	5.73e-7	-1.377	1	0.75	0.019	0.25
NXPH1	1.12e-6	-1.278	1	0.75	0.037	0.25
FAM166B	4.07e-7	-1.015	0	0.75	0.014	-0.75
