gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
SCARB1	1.07e-24	-4.284	0.75	1	3.56e-20	-0.25
GML	6.0100000000000005e-21	-4.133	0.5	1	1.99e-16	-0.5
DHCR24	5.26e-15	-3.807	0.5	1	1.75e-10	-0.5
HSD3B2	6.6e-15	-3.655	0	1	2.19e-10	-1
APOC1	4.46e-12	-3.646	0.5	1	1.48e-7	-0.5
MEG3	2.99e-15	-3.51	0.5	1	9.93e-11	-0.5
RALYL	6.79e-15	-3.24	0.75	1	2.25e-10	-0.25
NOV	5.01e-13	-3.164	0	1	1.66e-8	-1
RARRES2	1.21e-13	-3.15	0.75	1	4.03e-9	-0.25
ABCC3	4.35e-13	-3.125	0.75	1	1.44e-8	-0.25
SLIT2	1.71e-8	-3.061	0.5	1	5.68e-4	-0.5
APOE	3.54e-10	-3.036	1	1	1.17e-5	0
GZMH	2.61e-7	-3.008	0.75	1	0.009	-0.25
STAR	5.12e-12	-2.996	0	1	1.7e-7	-1
GSTA1	3.81e-9	-2.917	0.25	1	1.26e-4	-0.75
FDX1	1.14e-10	-2.894	1	1	3.77e-6	0
PEBP1	1.52e-8	-2.875	0.75	1	5.06e-4	-0.25
RIMS2	4.42e-13	-2.841	1	1	1.47e-8	0
SORBS2	4.65e-13	-2.835	1	1	1.54e-8	0
FAM198B	2.38e-10	-2.812	0.5	1	7.9e-6	-0.5
AKR1B1	4.92e-9	-2.789	0.75	1	1.63e-4	-0.25
CLU	3.71e-9	-2.713	0.5	0.75	1.23e-4	-0.25
PDZRN3	5.36e-9	-2.681	0.75	1	1.78e-4	-0.25
PCDH15	9.47e-11	-2.613	1	1	3.14e-6	0
DCN	1.27e-12	-2.606	0.75	1	4.22e-8	-0.25
PAPSS2	2e-11	-2.596	0.75	1	6.64e-7	-0.25
FBXL7	3.16e-8	-2.583	1	1	0.001	0
NXPH1	1.55e-9	-2.582	0.75	1	5.13e-5	-0.25
MEIS1	7.12e-10	-2.582	0.5	1	2.36e-5	-0.5
MGST1	1.36e-10	-2.554	0.75	1	4.51e-6	-0.25
TENM3	1.62e-9	-2.551	0.75	1	5.38e-5	-0.25
MEG8	9.43e-8	-2.495	0.75	1	0.003	-0.25
SERPINA5	8.05e-9	-2.479	0.25	1	2.67e-4	-0.75
FADS2	2.19e-8	-2.45	0.75	1	7.26e-4	-0.25
AC098864.1	3.19e-9	-2.389	0.75	1	1.06e-4	-0.25
MT1E	1.29e-6	-2.333	0.5	0.75	0.043	-0.25
DACH1	2.75e-8	-2.325	0.75	1	9.13e-4	-0.25
NR5A1	8.27e-9	-2.319	0.25	1	2.74e-4	-0.75
BORCS7-ASMT	1.24e-7	-2.295	0.75	1	0.004	-0.25
GRAMD1B	1.48e-11	-2.27	1	1	4.9e-7	0
FGF12	1.17e-7	-2.204	0.75	1	0.004	-0.25
CCBE1	6.35e-8	-2.196	0.75	1	0.002	-0.25
PBX1	6.56e-7	-2.19	1	1	0.022	0
TRPM2	3.63e-7	-2.143	0.75	1	0.012	-0.25
PDE10A	1.06e-8	-2.126	1	1	3.52e-4	0
KCNK3	7.05e-8	-2.115	0.75	0.75	0.002	0
FHOD3	2.14e-7	-2.112	1	1	0.007	0
AOX1	1.78e-7	-2.112	0.75	1	0.006	-0.25
TBX3	1.37e-7	-2.1	0	0.75	0.005	-0.75
C7	3.66e-7	-2.1	1	1	0.012	0
AL139383.1	7.99e-7	-2.085	0.75	0.75	0.026	0
CTNNAL1	1.42e-6	-1.979	0.75	0.75	0.047	0
PRKG1	7.52e-8	-1.929	1	1	0.002	0
ITGA9	4.24e-8	-1.862	1	1	0.001	0
C2CD2	2.91e-7	-1.765	1	1	0.01	0
RDX	9.48e-8	-1.74	1	1	0.003	0
NEAT1	1.83e-7	-1.177	1	1	0.006	0
