gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	5.56e-33	-4.937	0.75	1	1.8499999999999999e-28	-0.25
CYP11B1	1.75e-27	-4.897	0.25	1	5.81e-23	-0.75
MT2A	2.53e-10	-4.6	0.5	1	8.41e-6	-0.5
SCARB1	1.4099999999999999e-30	-4.031	1	1	4.67e-26	0
DHCR24	1.4e-17	-3.639	0.75	1	4.65e-13	-0.25
GML	1.45e-13	-3.589	0.75	1	4.81e-9	-0.25
CYP11A1	7.04e-13	-3.218	0.25	1	2.33e-8	-0.75
MEG3	1.32e-17	-3.187	0.75	0.75	4.39e-13	0
MT-ATP6	3.5e-17	-3.147	1	1	1.16e-12	0
GSTA1	5.34e-12	-3.109	0.25	1	1.77e-7	-0.75
AKR1B1	7.68e-14	-3.069	0.75	1	2.55e-9	-0.25
RARRES2	1.01e-13	-3.048	0.25	1	3.35e-9	-0.75
MEG8	1.04e-7	-2.921	0.75	1	0.003	-0.25
AOX1	6.19e-8	-2.864	1	1	0.002	0
MT-CYB	1.75e-17	-2.851	1	1	5.82e-13	0
MT-CO1	2.98e-15	-2.819	1	1	9.89e-11	0
CYP21A2	3.9e-17	-2.81	0	0.75	1.29e-12	-0.75
HSD3B2	4.02e-16	-2.802	0.25	0.75	1.33e-11	-0.5
NOV	3.96e-14	-2.795	0	1	1.31e-9	-1
MT-CO2	1.02e-9	-2.779	1	1	3.4e-5	0
STAR	1.55e-13	-2.766	0.5	1	5.13e-9	-0.5
LONRF2	2.46e-7	-2.642	0.75	1	0.008	-0.25
PEBP1	9.15e-12	-2.64	1	1	3.04e-7	0
FAM198B	4.22e-10	-2.604	0.75	1	1.4e-5	-0.25
ABCC3	4.47e-13	-2.585	1	1	1.48e-8	0
C7	1.29e-12	-2.574	0.75	0.75	4.29e-8	0
FBXL7	1.89e-11	-2.548	1	1	6.28e-7	0
RALYL	6.96e-13	-2.539	1	0.75	2.31e-8	0.25
SLIT2	8.95e-11	-2.528	1	1	2.97e-6	0
MT-ND4	2.48e-7	-2.503	1	1	0.008	0
GRAMD1B	1.28e-9	-2.503	1	1	4.24e-5	0
LINC00290	3.54e-7	-2.5	0.75	1	0.012	-0.25
MEIS1	1.29e-9	-2.456	0.75	0.75	4.27e-5	0
LDLR	1.15e-8	-2.431	1	1	3.81e-4	0
PEG10	8.12e-8	-2.407	0.5	1	0.003	-0.5
SORBS2	3.76e-12	-2.344	1	1	1.25e-7	0
MT-ND2	4.68e-7	-2.327	1	1	0.016	0
FDX1	6e-8	-2.317	1	1	0.002	0
CLU	5e-10	-2.305	0.5	0.75	1.66e-5	-0.25
GSTA4	2.46e-12	-2.297	0.5	0.75	8.17e-8	-0.25
PBX1	3.05e-10	-2.205	1	1	1.01e-5	0
FDXR	4.26e-9	-2.2	0.5	0.75	1.41e-4	-0.25
SOAT1	1.49e-6	-2.146	1	1	0.049	0
FGF12	7.74e-7	-2.142	1	1	0.026	0
MT-ND3	5e-9	-2.128	1	1	1.66e-4	0
RGN	6.57e-10	-2.1	0.5	0.75	2.18e-5	-0.25
SLC16A9	1.06e-6	-2.096	0.75	0.75	0.035	0
ALAS1	5.1e-8	-1.993	0.75	0.75	0.002	0
DLK1	7.88e-10	-1.956	0.25	0.75	2.61e-5	-0.5
LRMDA	1.54e-7	-1.917	1	1	0.005	0
CTNNAL1	9.28e-7	-1.886	0.75	0.75	0.031	0
IGFBP5	1.36e-6	-1.884	0.75	0.75	0.045	0
NXPH1	1.09e-6	-1.867	1	0.75	0.036	0.25
PDE10A	4.27e-7	-1.809	1	1	0.014	0
C2CD2	4.79e-7	-1.757	1	0.75	0.016	0.25
AFF3	8.09e-7	1.466	1	1	0.027	0
