gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP21A2	1.9234144234103212e-34	-10.194786169487083	0	0.553	6.381312032548423e-30	-0.553
CYP11B1	7.462869719985374e-53	-9.845241730833406	0.002	0.83	2.4759562869995473e-48	-0.828
NOV	5.720077706135746e-22	-9.675155322976371	0	0.362	1.8977501805646562e-17	-0.362
CYP17A1	9.2276155153204e-60	-8.264555917181966	0.007	0.936	3.061445999517849e-55	-0.929
DLK1	8.352132399755423e-16	-7.715710662620021	0.002	0.298	2.7709869662668566e-11	-0.296
GSTA1	1.5003347025384518e-14	-7.558398137206441	0.002	0.277	4.977660442611821e-10	-0.275
HSD3B2	3.133327504944884e-26	-7.061580401555196	0.007	0.511	1.0395440663155641e-21	-0.504
MT2A	3.3052819740054776e-17	-6.118775422519125	0.015	0.404	1.0965934005157972e-12	-0.389
STAR	5.285085054601604e-22	-6.002571769667236	0.01	0.468	1.753432668565174e-17	-0.458
GSTA4	3.1372932475686973e-18	-5.841920231337922	0.01	0.404	1.0408597807458667e-13	-0.394
TBX3	2.4904543107925056e-12	-5.829646451942442	0.007	0.277	8.262580266916296e-8	-0.27
CYP11A1	1.1215435232825001e-23	-5.76426644961291	0.019	0.532	3.7209449471943508e-19	-0.513
RGN	9.466397549009376e-18	-5.628087322166681	0.005	0.362	3.1406667148348406e-13	-0.357
HSPA1B	2.1733848672357881e-10	-5.424511596267493	0.01	0.255	7.210638974028174e-6	-0.245
PEG10	3.894191191175217e-11	-5.338652826786341	0.007	0.255	1.2919758114962018e-6	-0.248
RARRES2	7.886297930641862e-22	-5.183876061060103	0.01	0.468	2.6164370644490505e-17	-0.458
CLU	1.1629230818458316e-14	-5.13253457505476	0.022	0.383	3.8582299086399154e-10	-0.361
NR5A1	3.69159732331912e-8	-4.995785013687492	0.01	0.213	0.0012247612439575844	-0.20299999999999999
APOC1	2.304441394734784e-17	-4.926379757334249	0.036	0.468	7.645445215311592e-13	-0.43200000000000005
FDXR	9.015825509407723e-13	-4.854652536297429	0.026	0.362	2.9911804292562004e-8	-0.33599999999999997
IGKC	1.3958899232954788e-14	4.823743828470381	0.566	0.021	4.63114399851741e-10	0.5449999999999999
DHCR24	1.5780407789625374e-26	-4.714704749545238	0.041	0.66	5.235465892364011e-22	-0.619
JAG1	4.295912646747246e-12	4.6200801786967585	0.501	0.021	1.4252549388113338e-7	0.48
