gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	2.897448575181821e-19	-4.96133218700961	0	1	9.612865137880728e-15	-1
CYP17A1	8.133067724985153e-19	-4.932348810857223	0.25	1	2.698307879118324e-14	-0.75
MT2A	2.683798599243782e-8	-4.562070372344262	0.75	1	8.904038612711096e-4	-0.25
BACH2	3.5432758772486245e-8	4.462915529977428	1	0.5	0.0011755526377947763	0.5
STAR	1.0364810204513423e-12	-4.237842363632808	0	1	3.4387330815514184e-8	-1
APOC1	1.32929378714952e-13	-4.020760839014621	0.5	1	4.410197997625962e-9	-0.5
SCARB1	3.516678404790318e-26	-3.9948954581397897	1	1	1.166728394357284e-21	0
GSTA1	3.080810083972343e-11	-3.851263273282038	0	1	1.0221203615595042e-6	-1
IGKC	2.0363458920378934e-9	3.8258279397927897	1	0.75	6.75598476601412e-5	0.25
PEBP1	5.328825233465093e-13	-3.810353636586203	1	1	1.767944347706714e-8	0
APOE	1.092464793325022e-13	-3.62299134804499	1	1	3.624470444814425e-9	0
GML	6.264645351866568e-23	-3.6214004136693396	1	1	2.0784213883887713e-18	0
DHCR24	5.883662308382447e-13	-3.527508465820441	0.75	1	1.9520226440520443e-8	-0.25
MEG3	6.223663189939685e-14	-3.422998640082322	0.5	0.75	2.0648247365262893e-9	-0.25
RARRES2	1.5698511850535577e-12	-3.3608449443943647	0.75	1	5.2082952766521885e-8	-0.25
RIMS2	6.468919075019883e-17	-3.272471665720547	1	1	2.1461932815193465e-12	0
CYP11A1	2.7348710042721575e-11	-3.209085184065703	0.25	1	9.073481530873736e-7	-0.75
SLIT2	3.308362794138113e-11	-3.1289749588921554	0.75	1	1.0976155242112018e-6	-0.25
SORBS2	2.650891128417294e-12	-3.1014660233458224	1	0.75	8.794861496750056e-8	0.25
CYP21A2	4.741785726663965e-9	-3.098991310658364	0.25	1	1.5731822505353038e-4	-0.75
ABCC3	2.9535043542191145e-15	-3.0794871271325377	0.75	1	9.798841395992756e-11	-0.25
AOX1	3.936960967856803e-12	-3.0437143819498833	0.75	1	1.3061655403058515e-7	-0.25
HSD3B2	1.2809847959717671e-6	-2.9144482686774733	0	0.75	0.042499232575955316	-0.75
FAM198B	6.4979489104426415e-9	-2.8145331176346247	0.5	1	2.1558245100175552e-4	-0.5
TBX3	6.4153927400076294e-09	-2.7226823286391015	0	1	2.1284348493523313e-4	-1
PCDH15	9.89365884214487e-14	-2.7226214794867354	1	0.75	3.2824191940584035e-9	0.25
NOV	5.7984949562404186e-11	-2.7112808903091814	0	0.75	1.9237666716318836e-6	-0.75
LINC01807	1.5096263484757422e-7	-2.60996618620105	0.25	1	0.00500848733633797	-0.75
MEIS1	1.717927465950561e-8	-2.5953955308729686	0.75	1	5.699567953784176e-4	-0.25
FADS2	8.456253570471488e-11	-2.5167174951746523	0.75	0.75	2.805531247075326e-6	0
NR1H4	1.3134598877915207e-8	-2.5155617541839894	0.75	1	4.357665869725928e-4	-0.25
MT-CO3	9.131120948516e-9	-2.4657785967217523	1	1	3.0294319970891533e-4	0
CLU	1.4408890048231368e-8	-2.461775895471082	0.75	0.75	4.7804374513017207e-4	0
C2CD2	1.1695113157979583e-13	-2.4593106382997703	1	1	3.880087692422886e-9	0
MEG8	3.376816502477805e-8	-2.4070747726274013	0.5	0.75	0.0011203264110270614	-0.25
CALN1	8.954046388708328e-8	-2.3471765851186643	1	0.75	0.002970683970381762	0.25
PDE10A	2.372885527896965e-9	-2.3366771064195033	1	0.75	7.872522315903761e-5	0.25
LRMDA	3.537440243468495e-8	-2.3239766711443406	1	1	0.0011736165495755426	0
PRKG1	4.468901028191108e-8	-2.2470520780728624	1	1	0.001482647294122964	0
ARHGEF28	3.15235689699565e-8	-2.246627290153514	0.75	1	0.0010458574477162468	-0.25
ALAS1	1.4569176973318022e-7	-2.2376104610994916	0.75	0.75	0.00483361584443772	0
PGM5	4.9396878493256484e-8	-2.23731020999913	0.5	0.75	0.0016388402377707704	-0.25
FGF12	1.2180986331217093e-7	-2.208128212166167	0.75	0.75	0.004041285835107895	0
DCN	8.64468859573967e-9	-2.1676171435274836	0.75	0.75	2.8680483354085503e-4	0
AC098864.1	1.7978235858933222e-7	-2.1619609305162935	0.75	0.75	0.0059646393109182745	0
PBX1	2.7336667181402457e-8	-2.1578926287239364	1	1	9.069486070773893e-4	0
PDZRN3	1.0893414839925759e-9	-2.1465647764514104	1	0.75	3.614108241442169e-5	0.25
WDR63	7.661389999166286e-7	-2.113511852977072	1	0.75	0.02541819360023399	0.25
MT-ND1	5.48513147098877e-7	-2.0653488738044645	1	1	0.018198020681299443	0
KCNK3	5.134070936819794e-8	-2.059347061698617	1	0.75	0.001703330714708703	0.25
NXPH1	1.769349439093125e-7	-2.038301953290006	0.5	0.75	0.0058701706340792605	-0.25
ABCB1	5.930229538653164e-8	-2.0310523996716427	0.75	1	0.0019674722540389605	-0.25
AL117190.1	1.145078897775489e-6	-1.9836356146235288	0.5	0.75	0.0379902825914974	-0.25
AKR1B1	5.259106655525627e-7	-1.9796699356611547	1	1	0.017448138151037376	0
AC008878.3	2.2501957417134955e-8	1.9661985237252873	1	1	7.465474412282864e-4	0
SNTB1	1.1430172638642457e-7	-1.933171471796754	1	1	0.003792188376322408	0
ATRNL1	1.123669574575596e-6	-1.9306726071680078	1	0.75	0.03727998547569455	0.25
SLC16A9	2.2266609000944794e-7	-1.8779139450755804	1	0.75	0.007387392868243454	0.25
PAPSS2	5.255654759852406e-7	-1.8373904100311265	1	0.75	0.017436685796762327	0.25
DPP10	5.921097529545116e-7	-1.8195730049537908	1	0.75	0.01964442527377183	0.25
AL117190.2	1.2930413583958442e-6	-1.7706757937790918	0	0.75	0.042899233147498925	-0.75
PSD3	3.3536648820957674e-7	-1.7540294897488145	1	0.75	0.011126453979329128	0.25
GRAMD1B	2.8961607184271748e-8	-1.7417170187910092	1	1	9.608592415525838e-4	0
DLG5	3.760260008403109e-7	-1.6832248118429811	1	0.75	0.012475414629878995	0.25
