gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
NOV	0	-11.535	0	0.377	0	-0.377
HSD3B2	5.53e-310	-10.845	0.001	0.343	1.8299999999999992e-305	-0.342
DLK1	1.2299999999999995e-184	-9.662	0	0.212	4.069999999999999e-180	-0.212
TBX3	7.659999999999997e-194	-7.716	0.002	0.236	2.539999999999999e-189	-0.234
STAR	4.659999999999998e-282	-7.103	0.002	0.336	1.5499999999999994e-277	-0.334
RARRES2	2.1899999999999988e-296	-6.978	0.002	0.35	7.2499999999999965e-292	-0.348
GSTA1	1.6999999999999995e-163	-6.895	0.002	0.206	5.629999999999998e-159	-0.204
RGN	4.729999999999999e-184	-6.179	0.003	0.234	1.5699999999999994e-179	-0.231
MEG3	0	-5.873	0.019	0.573	0	-0.554
DHCR24	0	-5.85	0.011	0.441	0	-0.43
AL117190.2	3.509999999999998e-170	-5.672	0.005	0.236	1.1699999999999996e-165	-0.231
MT2A	8.579999999999995e-267	-5.324	0.011	0.378	2.849999999999999e-262	-0.367
SEMA3B	3.159999999999999e-137	-5.245	0.006	0.206	1.0499999999999997e-132	-0.2
AL117190.1	7.639999999999996e-198	-5.19	0.011	0.298	2.539999999999999e-193	-0.287
GSTA4	1.2999999999999996e-165	-5.117	0.007	0.244	4.329999999999999e-161	-0.237
JAG1	1.9399999999999995e-92	5.054	0.272	0.017	6.419999999999999e-88	0.255
SCARB1	0	-5.043	0.053	0.744	0	-0.691
SLC16A9	3.719999999999999e-160	-4.91	0.011	0.256	1.2299999999999999e-155	-0.245
CLU	2.0099999999999995e-185	-4.901	0.01	0.283	6.669999999999998e-181	-0.273
GML	0	-4.864	0.029	0.606	0	-0.577
RALYL	0	-4.841	0.037	0.541	0	-0.504
AOX1	2.1399999999999996e-164	-4.803	0.013	0.27	7.109999999999997e-160	-0.257
SLIT2	9.029999999999995e-246	-4.702	0.03	0.416	2.9999999999999986e-241	-0.386
KCNK3	1.4699999999999995e-135	-4.683	0.01	0.22	4.879999999999999e-131	-0.21
MEG8	7.179999999999999e-178	-4.669	0.013	0.288	2.3799999999999992e-173	-0.275
LINC01807	2.7699999999999993e-139	-4.651	0.012	0.235	9.189999999999998e-135	-0.223
APOC1	1.0799999999999998e-177	-4.541	0.015	0.297	3.589999999999999e-173	-0.282
DCN	1.7599999999999994e-144	-4.476	0.013	0.245	5.849999999999998e-140	-0.232
MEIS1	4.3399999999999985e-180	-4.471	0.02	0.312	1.4399999999999995e-175	-0.292
IGKC	8.309999999999999e-105	4.315	0.345	0.036	2.76e-100	0.309
PGM5	1.1799999999999995e-148	-4.234	0.019	0.275	3.9299999999999984e-144	-0.256
FAM198B	1.5499999999999995e-128	-4.135	0.013	0.23	5.129999999999999e-124	-0.217
NXPH1	1.0699999999999997e-144	-4.095	0.018	0.267	3.549999999999999e-140	-0.249
MEIS2	1.1999999999999996e-166	-4.073	0.03	0.325	3.989999999999999e-162	-0.295
