pathway	CD4_Th17/Th2	CD4_TN	CD8_Act_Treg	CD8_Tex_TRM	Cyto_gdT/CD8_CTL	FOXP3-_Treg
Positive Regulation Of Macrophage Colony-Stimulating Factor Production (3g)	1.7262958253220433	0.005628134609725257	0.36926632220749034	-0.18268352890536532	-0.8892316727512494	-1.0292750804826432
Positive Regulation Of Granulocyte Colony-Stimulating Factor Production (3g)	1.7262958253220433	0.005628134609725257	0.36926632220749034	-0.18268352890536532	-0.8892316727512494	-1.0292750804826432
Vitamin D Catabolic Process (3g)	1.8111466046597824	-0.7342150931307363	0.4927793003542553	-0.24527927130180005	-0.6445612975309543	-0.6798702430505459
Retinal Rod Cell Differentiation (3g)	1.914492916038537	-0.5607308979892829	-0.021478115365890577	-0.04414119191386393	-0.3372879150226225	-0.9508547957468773
D-Amino Acid Transport (7g)	1.8163928253425337	-0.6906060922582261	0.047369538745836715	0.19759275474392202	-1.0339552876599385	-0.33679373891413156
Trna Dihydrouridine Synthesis (4g)	1.7100762098403297	-0.8269312148315684	0.3616832194987282	-0.30985185052294983	-1.0707753446813917	0.13579898069685428
Endomitotic Cell Cycle (3g)	1.8142123979685996	0.4346988304040214	-0.765461367476089	-0.1291628430040443	-0.674964819537508	-0.6793221983549834
Positive Regulation Of Histone H3-K14 Acetylation (4g)	1.7404777524512323	-0.2876665820892728	0.5976064143868344	-0.39027394142465777	-0.8142683937871434	-0.8458752495369888
Negative Regulation Of Protein Targeting To Mitochondrion (6g)	1.8247007877032952	-0.9366060462757667	0.32453473153708473	-0.19802156674023827	-0.7661342207394841	-0.248473685484897
Negative Regulation Of Secondary Metabolite Biosynthetic Process (4g)	1.8562042747815253	0.31386457211732666	-0.7305694144056039	-0.5722629115176413	-0.10291550888762528	-0.76432101208798775
Negative Regulation Of Melanin Biosynthetic Process (4g)	1.8562042747815253	0.31386457211732666	-0.7305694144056039	-0.5722629115176413	-0.10291550888762528	-0.76432101208798775
Determination Of Digestive Tract Left/Right Asymmetry (7g)	1.6939974522606807	-0.5551792781495405	0.6250973372335759	-0.6631063785332386	-0.9896092323299104	-0.11119990048156458
Phasic Smooth Muscle Contraction (21g)	1.714559593421851	0.44689228308787526	0.0551830736575907	-0.3615669750711023	-0.8720441563741217	-0.9830238187221019
Gpi Anchor Biosynthetic Process (31g)	1.74805507515023	0.20453719272479	-0.5878774148741618	0.2828227653638828	-1.0684004890023537	-0.5791371293623954
Gpi Anchor Metabolic Process (32g)	1.8058269143038685	0.10348406597607206	-0.3515215569248474	0.15480864850151596	-1.095308453282115	-0.6172896185744858
Glucuronoside Metabolic Process (3g)	1.7317800352781827	-0.10233633521848089	0.020228009807639766	0.2008150740047894	-0.5805851199223923	-1.269901663949741
Glucuronoside Catabolic Process (3g)	1.7317800352781827	-0.10233633521848089	0.020228009807639766	0.2008150740047894	-0.5805851199223923	-1.269901663949741
Negative Regulation Of Interleukin-1-Mediated Signaling Pathway (5g)	1.9894888299890428	-0.12151713044994578	-0.3560161167887961	-0.29944915426332763	-0.8007584730316852	-0.411747955455288
Cell Proliferation Involved In Mesonephros Development (4g)	1.8811002903653593	-1.0902524302568524	0.0357852259447169	-0.2202770790085634	-0.44313327911842365	-0.1632227279262367
Secretory Granule Maturation (4g)	1.7243272230942452	-0.0349473823002472	0.18820882143142423	0.1067399309089346	-1.062443568355187	-0.9218850247791734
Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing (9g)	-0.9873743089464081	1.8497539607772044	-0.2486995237962957	0.31239596053520524	-0.3757136249734438	-0.5503624635962595
Mrna Cleavage (22g)	0.14129926019688396	1.7443205084395437	-0.9773705324852168	0.00556720965313388	0.07439493114457006	-0.9882113769489107
Galactose Metabolic Process (14g)	-0.796836747687812	1.7004493296270327	-0.9226556601647371	-0.4278931769099639	0.6353305006657776	-0.18839424553029546
Intestinal Epithelial Cell Development (11g)	-0.53776380740330465	1.7888311339774345	-0.8015900855928828	-0.03306374461528639	0.4165145036779816	-0.8329280000439423
Positive Regulation Of Protein Deubiquitination (7g)	-0.794402166152753	1.730823424721487	-0.561998913982172	0.06650567994446135	0.4708032749167927	-0.9117312994478161
Galactose Catabolic Process (10g)	-0.6775091916103847	1.7386647969270312	-1.0987940933022464	-0.16482260973352808	0.46387074175745013	-0.26140964403832573
Viral Budding (25g)	-0.370182629844163	1.7511770019264892	-0.5816093984171875	-0.2513412871709345	0.5148780402515553	-1.0629217267457594
Dorsal Aorta Morphogenesis (8g)	-0.4838804916873103	1.7315847994481357	-0.0851781228413325	-0.4499520446351539	-1.1637152850013905	0.45114114471704986
Dorsal Aorta Development (9g)	-0.4381778871555527	1.720314606913485	-0.015520480651550438	-0.4182791853305445	-1.2345639710517617	0.3862269172759245
Intestinal Epithelial Cell Differentiation (20g)	-0.9057313020494552	1.9428523286646753	-0.5726363600235128	-0.15603122201208114	-0.10350330220614369	-0.20495014237348036
Positive Regulation Of Histone Ubiquitination (5g)	-0.16053442076636318	1.8362737684259722	-0.5331315689786259	-0.14882512048367086	0.13641237961638072	-1.130195037813692
Connective Tissue Replacement Involved In Inflammatory Response Wound Healing (6g)	-0.9541799601225454	1.7586981301174	-0.6802752648207279	-0.6348588607424547	0.26828786205760424	0.24232809351071832
Positive Regulation Of Cell Proliferation Involved In Heart Morphogenesis (6g)	-0.1549355927488342	1.7009015871234014	0.2383960255115444	-0.4652613189170065	-1.344975278362134	0.02587457739303357
Inflammatory Response To Wounding (11g)	-0.7504494794447238	1.765451840197353	-0.11967028284344672	-1.1285547786406351	0.06735640295816293	0.16586629777328993
Dolichol-Linked Oligosaccharide Biosynthetic Process (19g)	-0.17561773149575308	1.8716009690884714	-0.9186282429237493	-0.28529185574693067	0.21219101122208314	-0.704254150144127
Myoblast Migration Involved In Skeletal Muscle Regeneration (4g)	0.33319056183847706	1.786655611454771	-0.44784307769684634	0.04188051339913602	-0.9705856853792055	-0.7432979236163364
Oligosaccharide-Lipid Intermediate Biosynthetic Process (20g)	-0.2354197926831232	1.808949304087272	-1.044221035739468	-0.16824320976025392	0.31362954904001505	-0.6746948149444505
